ar	MatConf
27 - نوّه أعضاء اللجنة في مناسبات عديدة إلى التكامل بين وظائف اللجنة المعنية بالجزاءات المفروضة على تنظيم القاعدة، واللجنة المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1540 (2004)، فيما يتعلق بمكافحة الإرهاب الدولي، والحاجة إلى تنسيق الأنشطة وتبادل المعلومات فيما بين هذه اللجان الثلاث.	0
وقد أحرقت جميع دور القرية. ودفنت جثث الضحايا في مقابر جماعية بالقرب من القرية.	1
١٨ - خلال الفترة المشمولة بالتقرير، أضرت الهجمات التي تشنها الجماعات المتطرفة في شمال مالي وتصاعد العنف في شمال شرقي نيجيريا بالأمن والاستقرار في المنطقة. وشكّل أثر العنف المرتبط بجماعة بوكو حرام في الجزء الجنوبي من النيجر وفي أقصى شمال الكاميرون مصدر قلق خاص.	1
ولئن كان ثمة انشغال له ما يبرره من إضعاف الجزاءات أو الظهور بمظهر 'لين` تجاه الإرهاب، فإن تحسين إجراءات الشطب من القائمة سيعزز الجزاءات مع إضفاء الإنصاف عليها.	1
تؤكد حكومة الجمهورية العربية السورية بأنها ماضية في أداء واجبها في حماية مواطنيها ونزع أسلحة الإرهاب ومحاسبة مرتكبيه، كما تؤكد أنها مضاية في سعيها لإيجاد حل سياسي للأزمة التي تمر بها سوريا بالتعاون مع المبعوث الخاص السيد كوفي عنان، ومن خلال تعزيز الإنجازات الديمقراطية التي بدأتها منذ شهر آذار/مارس من العام الماضي في مختلف المجالات، بما في ذلك إلغاء حالة الطوارئ وإصدار قانون التعددية الحزبية وقانون الانتخابات المحلية وقانون حرية الإعلام والاهتمام بالوضع الاقتصادي للمواطنين وإصدار الدستور الجديد وغيرها من التشريعات التي تهدف إلى تعزيز الحياة السياسية وتعميق التعددية والديمقراطية وتقود إلى إطلاق عملية إصلاح متكاملة.	0
وأدى كذلك غياب سلطة الدولة إلى تشكيل مجموعات محلية للدفاع عن النفس هدفها حماية المجتمعات المحلية من الجماعات المسلحة أصبحت في حد ذاتها مصدراً للنزاع في كثير من الأحيان.	1
وستُركَّز خبرات إنفاذ القانون ضمن فرقة عمل مخصصة ومستقلة.	0
يحث الهيئات الإقليمية ودون الإقليمية المناسبة على أن تنظر بصفة خاصة في وضع وتنفيذ سياسات وأنشطة وحملات إعلامية لصالح النساء والفتيات المتضررات من العنف الجنسي في النـزاع المسلح.	0
(ج) وتشكل معركة كيسانغاني الأولى محاولة واضحة من جانب الجيش الشعبي الرواندي وحلفائه من التجمع الكونغولي من أجل الديمقراطية - غوما لوقف عملية التحقق التي أقرتها المنطقة لتحديد ما إذا كان التجمع الكونغولي من أجل الديمقراطية - كيسانغاني قائما بصورة مستقلة عن التجمع الكونغولي من أجل الديمقراطية - غوما وله هياكل سياسية وعسكرية منفصلة، ويحظى بدعم سياسي وله أتباع في الأراضي المحررة؛	0
وإننا نؤمن إيمانا أكيدا بأن هذه الزيارة ستسهم كثيرا في إنعاش عملية السلام وتمهد الطريق لتطورات إيجابية جديدة في هذه المنطقة التي أنهكها الصراع.	0
213 - ولعبد العال أيضا علاقة ملحوظة بمخزن سلاح كبير اكتشف في جنوب بيروت في تموز/يوليه 2005. ودهمت قوى الأمن الداخلي مخزن السلاح هذا في 26 تموز/يوليه 2005 وأوقفت خمسة أشخاص على علاقة قوية بميليشيا المرابطون السابقة.	1
ويؤكد من جديد كذلك تصميمه على مكافحة الأخطار التي تهدد السلام والأمن الدوليين بسبب الإرهاب بجميع الوسائل الممكنة وفقا لميثاق الأمم المتحدة.	0
