ar	MatCoop
"ويكرر مجلس الأمن أيضا تأكيد ندائه إلى جميع الأطراف المذكورة أسماؤها في مرفقي تقرير الأمين العام عن الأطفال والنزاع المسلح، أن تتصدى لسائر الانتهاكات المرتكبة في حق الأطفال وضروب الإيذاء الذي يتعرضون له، وأن تقطع على نفسها التزامات محددة وتتخذ تدابير ملموسة بهذا الصدد.	0
وإذ يرحب بنتائج اجتماع مجلس السلام الاستشاري المنعقد في 6 حزيران/يونيه 2010، والذي قام فيه 600 1 من المندوبين الأفغان، الذين يمثلون شريحة واسعة من كل الجماعات العرقية والدينية الأفغانية والمسؤولين الحكوميين وعلماء الدين وزعماء القبائل والمجتمع المدني واللاجئين الأفغان المقيمين في إيران وباكستان بمناقشة إنهاء حالة انعدام الأمن ووضع خطة لتحقيق سلام دائم في البلد،	0
يقر بالأثر الضار لانتشار الأسلحة، ولا سيما الأسلحة الصغيرة، في أمن المدنيين من جراء تأجيج النزاع المسلح، ويشجع [البعثة] على مواصلة جهودها في مجال تقديم المساعدة إلى حكومة [المنطقة المتضررة] فيما يتعلق بعملية نزع سلاح المدنيين، بخاصة عن طريق تعزيز قدرة السلطات المحلية على ردع النزاعات بين الطوائف ورصد مبادرات النزع القسري لسلاح المدنيين للحيلولة دون حدوث عمليات نزع للسلاح يمكن أن تؤدي إلى تفاقم حالة انعدام الأمن في [المنطقة المتضررة].	1
4 - يسرني أن أذكّر بأن العديد من أحكام قرار مجلس الأمن 1559 (2004) نُفذ منذ اتخاذه في 2 أيلول/سبتمبر 2004. فقد أجريت الانتخابات الرئاسية والبرلمانية بطريقة حرة ونزيهة. وسحبت الجمهورية العربية السورية قواتها وأصولها العسكرية من لبنان في نيسان/أبريل 2005. وأقام لبنان والجمهورية العربية السورية علاقات دبلوماسية كاملة في عام 2009.	1
فيما يخص تنفيذ أمر التحقيق الذي أصدره قاضي التحقيق الأول للمحكمة العسكرية في بيروت بشأن التحقيقات وكل ما يمكن أن يلقي الضوء على التحقيق في الانفجار الذي تسبب في وفاة رئيس الوزراء السابق الحريري وآخرين	1
ولإصدار قرار في حالة عدم وجود محددات الهوية، تطبق اللجنة في كثير من الأحيان المعايير التي يستخدمها الإنتربول، والذي يصدر إلى وكالات إنفاذ القانون الوطنية إعلانات الإنتربول - مجلس الأمن التابع للأمم المتحدة الخاصة بشأن جميع الأشخاص والكيانات المدرجة في القائمة التي يتوافر بشأنها عنصرين على الأقل من عناصر تحر الهوية.	1
ورغم انخفاض عدد معسكرات الاعتقال السياسي وعدد نزلائها بسبب وفاة سجناء وإطلاق سراح آخرين، ما زال العدد يتراوح بين 000 80 و000 120 سجين سياسي في أربعة معسكرات كبرى للاعتقال السياسي.	0
وينبغي أن ترمي تلك المساعدة إلى إنشاء سلطة وطنية ثلاثية يمكنها أن تضطلع بالمسؤولية عن رصد تنفيذ أية قواعد وأنظمة يتفق بشأنها وتوضع من أجل رفاه أكثر من مليون شخص يجتمعون في الخليج، ومن أجل التنمية الاقتصادية للدول الساحلية الثلاث بغية تيسير التجارة البحرية الدولية.	1
وإذ يؤكد من جديد ضرورة مكافحة ما ينجم عن الأعمال الإرهابية من أخطار تهدد السلم والأمن الدوليين، وذلك بجميع الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي، مشددا في هذا الصدد على الدور الهام الذي تؤديه الأمم المتحدة في قيادة عملية المكافحة هذه وتنسيقها،	0
وأُنجز في كانون الأول/ديسمبر 2007 تحت إشراف وحدة السلوك والانضباط برنامج تدريبي شامل إجباري لجميع أفراد البعثة بشأن معايير السلوك المتوقعة، يشمل منع الاستغلال الجنسي والانتهاك الجنسي والتحرش الجنسي.	1
وعلى الرغم من كل ما ذكر أعلاه، ما زلنا نؤمن بأن لا جدوى من الحل العسكري - فعلى عكس ذلك، نحن واثقون أن من شأنه أن يقود إلى نتائج عكسية.	0
(ج) وتشكل معركة كيسانغاني الأولى محاولة واضحة من جانب الجيش الشعبي الرواندي وحلفائه من التجمع الكونغولي من أجل الديمقراطية - غوما لوقف عملية التحقق التي أقرتها المنطقة لتحديد ما إذا كان التجمع الكونغولي من أجل الديمقراطية - كيسانغاني قائما بصورة مستقلة عن التجمع الكونغولي من أجل الديمقراطية - غوما وله هياكل سياسية وعسكرية منفصلة، ويحظى بدعم سياسي وله أتباع في الأراضي المحررة؛	0
وفي مكافحة الإرهاب، لا يجوز تطبيق "معايير مزدوجة" أو اتخاذ خطوات فردية في اتجاه استخدام القوة، قد تهدد تلاحم التحالف المناهض للإرهاب وتزعزع استقرار الأوضاع الإقليمية والعالمية.	1
ولا توجد تدابير لمنع إساءة استغلال إجراءات اللجوء إلا بصورة جزئية في خمس من الدول فحسب.	1
وإذ يلاحظ التطورات والمبادرات التي ظهرت مؤخرا على كل من الصعيد الدولي والإقليمي ودون الإقليمي من أجل منع الإرهاب الدولي وقمعه، وإذ ينوه بالعمل الذي يضطلع به المنتدى العالمي لمكافحة الإرهاب، وبخاصة قيامه مؤخرا باعتماد مجموعة شاملة من الممارسات الجيدة بهدف التصدي لظاهرة المقاتلين الإرهابيين الأجانب ونشره لعدّة وثائق إطارية وممارسات جيدة أخرى، في مجالات منها مكافحة التطرف المقترن بالعنف والعدالة الجنائية والسجون وعمليات الاختطاف للحصول على فدية وتوفير الدعم لضحايا الإرهاب والخفارة المجتمعية، وذلك من أجل مساعدة الدول المهتمة فيما يتعلق بالتطبيق العملي لإطار القوانين والسياسات الذي تأخذ به الأمم المتحدة لمكافحة الإرهاب، واستكمال العمل الذي تقوم به في هذه المجالات كيانات الأمم المتحدة المعنية بمكافحة الإرهاب،	1
وبحلول كانون الأول/ديسمبر، ستحل وحدة السلوك والانضباط محل المكتب المعني بمعالجة الاستغلال والاعتداء الجنسيين، وستنظر الوحدة في قضايا الاستغلال والاعتداء الجنسيين وأشكال سوء السلوك الأخرى.	1
ونحن مقتنعون بأن الإسراع باختتام هذه المحادثات، بتوقيع اتفاق سلام شامل ونهائي، سوف ييسر إلى حد كبير الجهود الرامية إلى مكافحة الإرهاب والجريمة المنظمة عبر الوطنية في منطقتنا.	0
إنشاء وحدة جنسانية وإنمائية في المقر وشبكة لجهات التنسيق الجنساني على الصعيدين القطري والإقليمي.	1
فالاستثمار والتكامل الاجتماعي يتوقفان لا على مركز الإقليم فحسب بل وعلى نشوء كوسوفو مستقرة ويمكن التنبؤ بمستقبلها، حيث تحترم سيادة القانون.	1
"ويحيط مجلس الأمن علما بالدور الهام الذي يمكن للمجتمع المدني، بما فيه المنظمات النسائية، أن يؤديه في مجال منع نشوب النزاعات المسلحة وتسويتها وفي جهـــود بنـــاء الســلام وحالات ما بعد انتهاء النزاع، ويشجع المجتمع الدولي والمنظمات الإقليمية والدول الأعضاء المعنية على تعزيز المشاركة النشطة لتلك الجهــات ومساهمتها الفعالة فــي أدوار متنوعة، متــى كان ذلك مناسبــا، بغية تنفيذ القرار 1325 (2000).	0
وإننا نؤمن إيمانا أكيدا بأن هذه الزيارة ستسهم كثيرا في إنعاش عملية السلام وتمهد الطريق لتطورات إيجابية جديدة في هذه المنطقة التي أنهكها الصراع.	0
(أ) دعوة أطراف النزاع المسلح إلى الامتثال للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي، واتخاذ جميع الخطوات المطلوبة لحماية المدنيين، وتيسير مرور شحنات ومعدات وموظفي الإغاثة بسرعة ودون عوائق،	0
وما أن تقر اللجنة الخطة المنقحة، سيكون النشاط ذو الأولوية للمديرية هو بدء الهيكل الجديد للمجموعات والوحدات، ومباشرة العمل في وضع معايير للنطاق الكامل من أعمال المديرية والمواءمة بين الأحكام الصادرة في هذا الإطار.	1
42 - وقدم الفريق تقريرين إلى اللجنة، كما يقضي بذلك القرار 2083 (2012)، في تموز/يوليه وكانون الأول/ديسمبر 2013 تضمنا توصيات بشأن كيفية تحسين نظام الجزاءات وإعطائها مفعولا أقوى، كما تضمنا تقييما للخطر الذي يشكله تنظيم القاعدة والمرتبطون به ومعلومات مستجدة عن أنشطة الفريق.	1
فمن واجبه على الأقل أن يخفف معاناتهم بإلزام دولة السودان بتعويضهم عما لحق بهم من ضرر.	1
ولكنه لا يمكن أن يعني التنازل عن الالتزامات نحو أولئك الذين يرغبون في العودة إلى ديارهم، والذين هم بحاجة إلى الدعم لتحقيق طموحاتهم. ولا يمكن أن تكون هذه السياسة بديلا للسياسات الحالية، بل ينبغي أن تكون مُكمّلة لها.	1
إن غياب مثل هذه المبادئ التوجيهية، بما في ذلك تحديد معايير اختيار القضايا التي تقتضي التحقيق فيها والمقاضاة عليها، قد حرم اللجان مما يلزم من توجيه فيما يتعلق بالطرق الملائمة للتحقيق في الجرائم التي تشكل انتهاكات جسيمة لحقوق الإنسان.	0
4 - يحث المديرية التنفيذية على مواصلة تعزيز دورها في تيسير تقديم المساعدة التقنية في تنفيذ القرار 1373 (2001) بغية زيادة قدرات الدول الأعضاء والمناطق على مكافحة الإرهاب عن طريق تلبية احتياجاتها في هذا المجال، وذلك بالتعاون الوثيق مع فرقة العمل المعنية بالتنفيذ، وكذلك مع مقدمي المساعدة على أساس ثنائي ومتعدد الأطراف، ويرحب بالنهج المركز والإقليمي الذي تتبعه المديرية التنفيذية في هذا العمل؛	1
105 - وتضطلع الحكومة بولاية وضع السياسة العامة للبلد وتنفيذها.	1
5 - ويتفحص تقرير الفريق سبب عدم إقرار العديد من الدول لغاية الآن بالإمكانات الكاملة لنظام الجزاءات.	0
195 - وإدراكا لأهمية هذه المنطقة دون الإقليمية باعتبارها منطقة "عبور"، سنّت معظم الدول تشريعات بشأن اللجوء، وتنقلات المسافرين، ومنع وقمع تنقلات الإرهابيين عبر الحدود.	1
وخلال هذه الفترة، عُزِّزت قاعدة الدعم الخاصة باللجنة وجرى تركيب برامجيات جديدة، الأمر الذي أكسب قاعدة البيانات فعالية مزيدة.	1
35 - يقرر، بهدف مساعدة اللجنة في الوفاء بولايتها، أن يقوم فريق الرصد التابع للجنة المنشأة عملا بالقرار 1267، المنشأ عملا بالفقرة 7 من القرار 1526 (2004)، بتقديم الدعم أيضا لهذه اللجنة لفترة 36 شهرا، وترد ولاية الفريق في المرفق ألف بهذا القرار، ويطلب إلى الأمين العام بذل جميع الترتيبات اللازمة لتحقيق ذلك؛	0
