ar	VerConf
2 - وجمهورية كرواتيا، باعتبارها الدولة التي ترأس لجنة مكافحة الإرهاب التابعة لمجلس الأمن وأحد أوائل الدول التي شجعت على إنشاء التحالف العالمي لمكافحة الإرهاب، تدين بشدة الإرهاب الدولي بجميع أشكاله ومظاهره، وهي، إذ تأخذ في الاعتبار خطر تضافر الإرهاب مع التهديدات الأخرى للسلام والأمن الدوليين - مثل انتشار أسلحة الدمار الشامل، والجريمة المنظمة عبر الوطنية والإرهاب الحاسوبي - تحث على أن يزداد التعاون الدولي قوة لقمع هذه الآفة المعاصرة.	1
وتوصي اللجنة أيضا بألا يحاكم من بين الأشخاص الذين تلقوا أسلحة قوات الدفاع التيمورية في 24 و 25 أيار/مايو سوى الأشخاص الذين استخدموا هذه الأسلحة لاحقا في أنشطة إجرامية.	0
ألا يُقبل طلب حكومة الكويت المتعلق بالمطالبة الخاصة بالملكية العقارية لسجين متوفى، باعتبار أن هذه المسألة تشكل في الواقع طلبا بتقديم مطالبة تخص الجزء المتعلق بالملكية العقارية بعد انقضاء مهلة قبول المطالبات، وأن َيطلُب إلى الأمانة إبلاغ حكومة الكويت بذلك.	1
باء - المحافظة على مسرح الجريمة	0
وتدفقت من جانب إلى آخر عبر هذه الحدود جماعات متنقلة من المحاربين الشبان - المحاربين الإقليميين - الذين يعتبرون الحرب أساسا فرصة اقتصادية.	0
10 - وقدم الناتو قوات إضافية لضمان بيئة آمنة ومأمونة لانتخابات المجلس الوطني ومجالس المقاطعات المقرر إجراؤها في 18 أيلول/سبتمبر (انظر الفقرة 15).	0
وتظل هذه الجماعة إحدى أقوى الجماعات المسلحة المتطرفة في العراق.	1
إلا أن احتمال انهيار النظام والقانون بالكامل، إضافة إلى انهيار الاقتصاد الهش وتفسخ مؤسسات الحكم الذاتي الفلسطينية، لا يزال قائماً.	1
"ويرى مجلس الأمن أن الجزاءات أداة مهمة من أدوات مكافحة الإرهاب، ويشدد على أهمية التنفيذ الفوري والفعال للقرارات ذات الصلة، ولا سيما قراري مجلس الأمن 1267 (1999) و 1989 (2011) باعتبارهما أداة رئيسية في مكافحة الإرهاب.	1
5 - يؤكد من جديد أيضا إدانته بكل شدة لجميع أعمال العنف والاعتداءات التي ترتكب ضد المدنيين في حالات الصراع المسلح، بما يتنافى والالتزامات الدولية السارية بشأن الحالات التالية على وجه الخصوص: '1` التعذيب وغيره من ضروب المعاملة المحظورة، '2` العنف الجنساني والجنسي، '3` ممارسة العنف ضد الأطفال، '4` تجنيد الأطفال واستخدام الجنود الأطفال، '5` الاتجار بالبشر، '6` التشريد القسري، '7` الحرمان المتعمد من المساعدة الإنسانية، ويطالب جميع الأطراف بوضع حد لهذه الممارسات؛	1
وحثت الحكومة الأفغانية اللجنة على الاستجابة بمزيد من المرونة لمقترحاتها الداعية إلى شطب أسماء من القائمة، مبدية مخاوفها من أن عجزها عن تحقيق شطب الأسماء من القائمة يسلبها نظاما أساسيا لمكافأة أعضاء حركة الطالبان الذين ينضمون للمصالحة، مما يعني مخاطرتها بعودتهم إلى القتال.	1
ويبقى إصلاح القطاع الأمني واحدا من التحديات الرئيسية للسلام والاستقرار في الأجل الطويل.	1
(ب) مواصلة تعزيز الأمن في مداخل الحدود وعلى امتداد الحدود المفتوحة لمنع وقمع حركة شحنات الإرهابيين من الأسلحة/المتفجرات عبر الحدود شأنها في ذلك شأن العملات والصكوك القابلة للتداول والدفع لحاملها وتنفيذ أفضل القواعد والمعايير الدولية التي أرستها وكالات متخصصة مثل منظمة الطيران المدني الدولي والمنظمة البحرية الدولية ومنظمة الجمارك العالمية؛	0
فمن جهـة، هناك من رأوا من الطبيعي أن يحدد البلد شروط المواطنة أو الجنسية، بينما أدان آخــــرون من جهــة أخرى استغلال هذا المفهوم لأنه كان أصل الأزمة المتفجرة في كوت ديفوار.	1
ونحن نعتبر موقف أرمينيا تحديا مفتوحا ومباشرا أمام عملية تسوية النزاع وتهديدا خطيرا للسلم والأمن الدوليين والإقليميين.	1
لقد أمضيت أربعة أيام في أفغانستان في نهاية شهر حزيران/يونيه لتقييم الحالة الإنسانية، نظرا للشواغل المتزايدة بشأن صعوبة الأوضاع الإنسانية ومسألة حماية المدنيين.	1
إننا نشعر بقلق شديد حيال حقيقة أن العنف في الشرق الأوسط ما زال يرتكبه جانب واحد ضد الجانب الآخر، بالرغم من الإعراب الواضح للمجتمع الدولي ومجلس الأمن عن الاشمئزاز من تلك الحالة.	1
وقد أجرى فريق الوساطة مناقشات ثنائية مع الحكومة ومجلس التنسيق الذي يتألف من الحركة الوطنية لتحرير أزواد والمجلس الأعلى لوحدة أزواد والحركة العربية لأزواد، وانضم إليهما أشخاص من مجلس التنسيق الثاني للحركات والقوات الوطنية للمقاومة، وفصيل تابع لائتلاف الشعب من أجل أزواد، من جهة، ومن جهة أخرى، مع الحكومة والجماعات المسلحة لائتلاف الخطة التمهيدية الذي يضم مجلس التنسيق الأول للحركات والقوات الوطنية للمقاومة وائتلاف الشعب من أجل أزواد والفصيل الآخر للحركة العربية لأزواد، فضلا عن أفراد من مجموعة طوارق إمغاد وحلفائهم للدفاع الذاتي (غاتيا) دعاهم ائتلاف الخطة التمهيدية.	0
علما بأن عدم قيام قيادة قوات الشرطة بالمعاقبة على الهجمات التي وقعت يومي 23 و 24 أيار/مايو الضالع فيها بعض ضباط من قوات الشرطة، يرجع إلى انهيار التسلسل القيادي، والشقاق الحزبي القائم وإلى محدودية المساءلة في السابق.	1
ومن ثم، فمن رأي اللجنة أن هذه الأعمال قد تشكل جرائم ضد الإنسانية.	1
"ويسلِّم مجلس الأمن بأهمية المساعدة في منع نشوب الصراعات في المستقبل من خلال معالجة أسبابها الجذرية بطريقة مشروعة وعادلة.	0
وسينشأ عنصر مخاطرة يتمثل في تحول الانتباه عن هذه المعايير ليتركز على قضية مركز الإقليم.	1
