ar	VerCoop
وتبقى أوغندا منشغلة بشأن الوضع الإنساني في دارفور.	0
"ويؤكد مجلس الأمن أن للمنظمات الإقليمية ودون الإقليمية دورا هاما ينبغي أن تؤديه في مجال التصدي للاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة، وأنه من الضروري أن تراعى، عند الاقتضاء، في الولايات المسندة إلى عمليات حفظ السلام الصكوك الإقليمية التي تمكّن الدول من الكشف عن الأسلحة الصغيرة والخفيفة غير المشروعة وتعقبها.	1
وبالمثل، سلمتنا قيادة الوحدة، عملا بالأمر رقم 206/1735 المؤرخ 18 شباط/فبراير 2005، تفويضا مكتوبا من تلك الجهة، رقم 36/2005 تاريخ 18 شباط/فبراير 2005، يتضمن أمرا بإبقاء سيارات موكب الحريري داخل الثكنة، وبسترها بالخيام وبوضعها تحت الحراسة.	0
ورحب ممثل إسرائيل باعتماد القرار وأكد على ضرورة بذل المزيد من الجهود من أجل التنفيذ الكامل لأحكام القرار 1701 (2006)، بما في ذلك ما يتعلق منه بنزع سلاح وتفكيك حزب الله وغيره من المليشيات.	1
وعلى الرغم من أنني سأوصل الاتصال بالدول التي لم ترد بعد على النداء الذي وجهته لتقديم تبرعات لإنشاء قوة متعددة الجنسيات، وسألتمس مساعدتكم المستمرة لتحديد دولة يمكن أن تقوم بدور الدولة الرائدة، أود أن أعرض على المجلس الاقتراحات المرفقة المتعلقة بالخيارات البديلة (انظر المرفق).	1
377 - ويحظر التعذيب والمعاملة القاسية بموجب المادة العامة 3 من اتفاقيات جنيف.	0
"ويعرب مجلس الأمن عن قلقه البالغ لأن استمرار حالة عدم الاستقرار وتفاقم حالة الفراغ الأمني في جمهورية أفريقيا الوسطى ما زالا يؤثران سلبا على العمليات المنفذة ضد جيش الرب للمقاومة ويسهمان في تعزيز مركز ذلك الجيش في البلد.	0
ويرحب مجلس الأمن باعتزام الأمين العام زيارة منطقة الساحل، في وقت لاحق من هذا العام، إلى جانب رئيس مجموعة البنك الدولي، ويتطلع إلى تقديم إحاطة إلى مجلس الأمن عقب هذه الزيارة.	1
ومع ذلك، فهم يبدون بجلاء، يوما بعد يوم، روحا أكثر إيجابية إزاء البعثة.	1
483 - وقد رفضت اللجان العديد من الحالات بحجة أن استجوابها للضحايا كشف عن أن الجريمة المشكو منها لا تصل إلى حد الاغتصاب، إذ لم يقع فيها إيلاج، أو أن الشاكيات قد خلطن بين الاغتصاب والاضطهاد، وجئن عن خطأ بشكاوى تتعلق بأشكال أخرى للاعتداء أو العنف، مثل الضرب.	0
ونُشر في المجموع 72 في المائة من العدد المقرر لأفراد الشرطة (5 في المائة منهم نساء).	0
24 - وقد دعا الرئيس اللبناني سليمان فرنجيه القوات السورية إلى دخول لبنان في أيار/ مايو 1976 في المراحل الأولى للحرب الأهلية في لبنان.	0
وينبغي أن يظل المعيار الرئيسي الذي يحكم التخفيض التدريجي لقوام البعثة هو تقلص التهديد الذي تشكله الجماعات المسلحة الكونغولية والأجنبية على المدنيين، وإنشاء مؤسسات للدولة أقوى وأكثر خضوعا للمساءلة، وترسّخ الممارسات الديمقراطية التي تحد من خطر عدم الاستقرار.	0
فمثلا، تولي بوركينا فاسو أهمية لمحاربة التطرف العنيف وتعمل على مكافحة محاولات تجنيد الإرهابيين.	0
52 - يكرر تأكيد ضرورة تعزيز التعاون الجاري بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، إضافة إلى أفرقة الخبراء التابعة لكل منها بسبل منها، حسب الاقتضاء، تعزيز تبادل المعلومات والتنسيق بشأن زيارات البلدان كل حسب ولايته، وتيسير المساعدة التقنية ورصدها، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، وبشأن سائر المسائل التي تهم اللجان الثلاث جميعها، ويعرب عن اعتزامه تقديم توجيهات للجان فيما يتعلق بالمجالات ذات الاهتمام المشترك بغرض تنسيق جهودها وتيسير هذا التعاون على نحو أفضل، ويطلب من الأمين العام أن يتخذ جميع الترتيبات اللازمة لكي تتمكن الأفرقة من العمل في أقرب وقت ممكن في مكان مشترك؛	1
