ar_en_DEEPL	MatConf
The Council stressed that reform of the defense and security sectors, the fight against impunity, and the fight against illicit drug trafficking remain peacebuilding priorities in Guinea-Bissau, and urged the armed forces of Guinea-Bissau to respect civilian governance and oversight.	0
(b) supplying, selling or transferring arms and related materiel to or for the benefit of Al-Qaida, Osama bin Laden or the Taliban; or (c) recruiting for Al-Qaida, Osama bin Laden or the Taliban; or	1
At least one person was reportedly killed and 20 injured during clashes between riot police and protesters, which also brought mobile courts to a standstill.	1
23. The security situation in most areas of the country remained fragile but generally stable, with only a few incidents reported.	1
He agreed that Somalia, the region and the international community should focus more on counter-piracy capacity-building activities and maximize the gains made by the naval forces.	0
24. The UNTAET period has been characterized by significant changes.	0
The commission obtained credible evidence of the use of Mi-8, Mi-24, and Antonov helicopters during air attacks on villages.	1
37. The Committee encourages its Executive Directorate to continue to focus on the implementation of resolution 1624 (2005), including by paying due attention to relevant issues, such as the role of new information and communications technologies, promoting dialogue, including at the national level, to foster tolerance, diversity and inclusion, developing strategic partnerships between Governments and non-State actors, defining roles for victims of terrorism and preventing the subversion of institutions by terrorists and their supporters.	0
In September 2005, due to intense public and international pressure, three Nepalese Army officers were brought before a military court and sentenced to six months in prison for failing to follow proper procedures in the disposal of Meena Sunuwar's body.	1
A drastic reduction in the number of military contingents in the Mission would reduce the Mission's ability to perform preventive functions and, in the event of a crisis, which his country hoped would not occur, would force it to respond using operational concepts that remained unclear, with all the risks that entailed.	1
However, most states have yet to incorporate into their domestic laws the offenses set forth in the international counterterrorism instruments.	1
The Council considers activities aimed at strengthening the rule of law to be critical to peacebuilding strategies in post-conflict societies, and emphasizes the role of the Peacebuilding Commission in this regard.	0
Some reports hinted, and a few confirmed, that the elements of the crime of genocide are present in the patterns and nature of violations committed by the government and affiliated militias.	1
However, I remain concerned about continued restrictions on the freedom of movement of UN military observers who seek to visit the parties' units, headquarters and bunkers for verification purposes.	0
The effectiveness of asset freezes can be improved by establishing contacts between those familiar with current issues (e.g. law enforcement and intelligence agencies) and FIUs.	1
On the ground, however, the situation is complex and worrisome, especially for minority communities.	1
A senior government official at the provincial level described how, in the first phase, the government also recruited Arab outlaw fighters and, according to other reports, convicted criminals.	1
24. The Chairman of the Committee and the Chairmen of the Committees established pursuant to Security Council resolutions 1373 (2001) and 1540 (2004), which in turn deal with counter-terrorism issues, gave joint briefings to the Security Council in 2009. The briefings took place on May 26 (see S/PV.6128) and November 13 (see S/PV.6217).	0
I have requested that BINUCA continue its efforts to support the government in its endeavors to secure bilateral assistance to build the capacity of its national forces.	0
