ar_en_DEEPL	MatCoop
1. In the statement by its President on September 4, 2008 (PRST/2008/33S/), the Security Council requested the Secretary-General to identify and approach States that could contribute the necessary financial resources, personnel, equipment and services for the establishment of a multinational force for Somalia.	0
The Organization of Islamic Cooperation calls for an end to the Israeli military occupation of the Palestinian Territory, including East Jerusalem, and to the illegal actions of the occupying Power, which have claimed thousands of civilian lives, caused widespread destruction and exacerbated the social, economic and humanitarian suffering of the Palestinian people in violation of international law, including international humanitarian and human rights law.	0
Many countries are also investing in social programs to better understand and prevent radicalization and potential terrorist recruitment, and almost all have engaged, to some extent, in counterterrorism dialogue.	0
42. UNOCI has enhanced its efforts to sensitize the Ivorian public to the Mission's mandate and objectives in an effort to counter the ongoing campaign to discredit the Mission.	1
71. Member States should be invited, in their tracing efforts, to utilize, as appropriate, the INTERPOL Global Police Communications System âI-24/7â and the INTERPOL Electronic Weapons Tracing System.	0
As I explained, I am confident that your esteemed council will not pay attention to these false accusations, which are not true and do not meet the minimum standards of professionalism.	0
An eighth formed police unit from Nigeria is expected to be deployed in October.	1
24. The UNTAET period has been characterized by significant changes.	1
(a) Encourage the development of measurable goals in the area of armed violence reduction.	1
The Committee will endeavour to ensure that both committees and expert groups fully exchange national reports, visit reports and other relevant information, including on organized visits to States and other official travel and technical assistance.	0
In particular, the Commission found that government forces and militias carried out indiscriminate attacks, including killing civilians, torture, enforced disappearances, destruction of villages, rape and other forms of sexual violence, looting, and forced displacement, throughout Darfur.	0
Security Council Committee established pursuant to resolution 1718 (2006) Sanctions List	0
36. Encourages all Member States, in particular designating States and States of residence or citizenship, to submit to the Committee additional identifying and other information, with supporting documentation, on listed individuals, groups, undertakings and entities and other information, including updates on the operational status of listed entities, groups and undertakings, the movement, incarceration or death of listed individuals and other relevant facts, as such information becomes available.	0
The violence that erupted in the Gali region is a logical consequence of the escalating situation of gross violations of the rights of peaceful citizens by the Abkhaz regime, which encourages the smuggling of weapons and drugs.	0
68. I am appalled by the killings of hundreds of innocent civilians and the resulting displacement of the population in Beni and deplore the serious violations of human rights and international humanitarian law occurring in other parts of the country, which are also unacceptable.	0
These changes, in addition to bringing renewed hope to the people of the Republic, have provided a new opportunity for MINURSO to improve its consultations with the federal authorities and engage in constructive dialog on matters of mutual concern.	0
UNOCI will also provide logistical support for the redeployment of the national police to the northern part of the country in support of an agreed comprehensive security plan for the electoral process developed by the Ivorian authorities, with the assistance of UNOCI and the Licorne force.	1
It was recommended that the Committee strengthen and, where appropriate, institutionalize its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and nuclear-weapon-free zones, which could add value to the implementation of resolution 1540 (2004) by expanding formal and informal working relationships.	1
âThe Security Council calls on the parties to refrain from the use of force, settle their differences by peaceful means, normalize their relations, promote stability between them, and lay the foundations for lasting peace in the region.	0
Emphasizing its support for multilateral treaties aimed at eliminating or preventing the proliferation of nuclear, chemical or biological weapons, and the importance of their full implementation by all States parties to such treaties in order to promote international stability.	0
However, my delegation notes with regret that the security situation remains of concern.	0
CTED has facilitated workshops on border control management in a number of regions and intends to continue this practice in the future. 268. Member States should (a) Implement more effective prevention, inspection and detection procedures, relying on risk assessments, intelligence sharing and analysis and international cooperation at official border crossings and along open or porous borders.	1
43. In pursuit of these objectives, the mission documented widespread cases of unlawful arrests, ill-treatment and prolonged pre-trial detention.	0
Second, the lack of information causes frustration and exasperation among those responsible for verifying the list on which effective implementation most relies, increasing the risk that listed names will go undetected and measures may be applied to unintended targets.	0
Conduct research to discover the causes of gender disparity in early warning mechanisms, and develop indicators that take into account the results of that research.	1
53. Integrated plans are being implemented to support the planned withdrawal of the Mission's military and civilian components between 15 October and 31 December 2010.	1
544. The Commission has identified 14 Janjaweed suspected of having committed an international crime under the principle of joint criminal enterprise.	0
Determining that the situation in the region continues to constitute a threat to international peace and security.	0
All but one of the East Asian states are members of several regional organizations or mechanisms for international counterterrorism cooperation, with little information provided, and are seeking to strengthen those relationships.	1
The Council supports the idea of establishing a unit within the Secretariat to assist in establishing the rule of law, and looks forward to receiving the Secretariat's proposals on the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	0
The Register has therefore become a tool of direct relevance to the work of the Security Council and the General Assembly on small arms and light weapons.	1
In all of these locations, the team was informed that there have been no recent recruitment attempts, but the situation could change if the conflict erupts again in CÃ´te d'Ivoire.	1
Decides to strengthen and amend the mandate of [the mission] as follows: To promote and protect human rights: - To assist in strengthening the capacity of the judicial system, including transitional justice mechanisms, to strengthen national human rights institutions, and to assist in national reconciliation efforts.	1
32. Requests the Secretary-General to include in his country-specific reports to the Council more comprehensive and detailed information on the protection of civilians in armed conflict, including on protection incidents and actions taken by parties to conflict to implement their obligations to respect and protect the civilian population, and to include information specific to the protection needs of refugees, internally displaced persons, women, children and other vulnerable groups.	1
âThe Security Council expresses its growing concern about the serious threats posed by drug trafficking and related transnational organized crime activities to international peace and stability in West Africa and the Sahel region as referred to in the United Nations Integrated Strategy for the Sahel.	0
Government forces reportedly often committed unwarranted acts of destruction beyond any military necessity.	0
The mechanism, funded by the United Kingdom, through its three working groups on maritime strategy, legal framework and fisheries, provides support to anti-piracy focal points in the federal government and in each region.	1
This situation depicts not only the killing of civilians in large numbers, but also unlawful detentions accompanied by summary executions, rape and other abuses.	0
All countries in the subregion are members of the International Criminal Police Organization (INTERPOL) and have established INTERPOL National Central Bureaus.	1
âThe Security Council reiterates that the growing threat posed by foreign terrorist fighters is part of the emerging issues, trends and developments relevant to resolutions 1373 (2001) and 1624 (2005), and encourages the CTC to hold special meetings in 2015 with the participation of Member States and relevant international and regional organizations to discuss ways to stem the flow of foreign terrorist fighters and prevent terrorists from using the Internet and social media to recruit and incite terrorist acts, while respecting human rights and fundamental freedoms and in compliance with other obligations under international law.	0
24. Requests the Counter-Terrorism Committee, within its existing mandate and with the support of CTED, to identify key gaps in the ability of Member States to implement Security Council resolutions 1373 (2001) and 1624 (2005) that may impede the ability of States to stem the flow of foreign terrorist fighters, identify good practices in stemming the flow of foreign terrorist fighters in implementation of resolutions 1373 (2001) and 1624 (2005), and facilitate technical assistance, in particular by encouraging networking between providers and recipients of capacity-building assistance, in particular those in the most affected regions, including by developing, upon request, holistic counter-terrorism strategies that include countering the spread of violent extremist ideology by encouraging networking between providers and recipients of capacity-building assistance, particularly those in the most affected regions, including through the development, upon request, of inclusive counter-terrorism strategies that include countering the spread of violent extremist ideology and the flow of FTFs, noting the roles played by other actors, including the Global Counterterrorism Forum (GCTF).	0
The Executive Directorate has also developed strong relationships with some regional and subregional organizations, notably the Caribbean Community and the Inter-American Committee against Terrorism of the Organization of American States in the Americas; the African Centre for the Study and Research on Terrorism, the African Union, the Economic Community of West African States, the IGAD Capacity Building Programme for Counter-Terrorism and the Southern African Development Community in Africa; the Council of Europe, the European Union and the Organization for Security and Cooperation in Europe; the Pacific Islands Forum, in the	1
But despite these achievements, challenges to the government's authority and effective control over its national territory still need to be overcome.	0
56. Encourages Member States, when unfreezing the assets of a deceased individual or entity that has been reported or determined to have ceased to exist after delisting, to take into account the obligations set out in resolution 1373 (2001) and, in particular, to prevent unfrozen assets from being used for terrorist purposes.	0
The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is impartial and, with increasing support from Member States, reaffirm the original purpose of the regime: to rid the world of the threat of terrorism posed by Al-Qaida, the Taliban and their listed associates.	1
6. In the second phase of the registration process, conducted from June 2007 to December 2007, United Nations teams verified the age and date of recruitment of all individuals at the cantonment sites.	1
In late September, UNMIL completed the renovation of Iriba prison, improving both detention conditions for prisoners and prison security.	1
Determining that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region.	0
However, the Commission found no evidence that they were so widespread and systematic as to constitute a crime against humanity.	1
While the threat posed by al-Qaeda as a global terrorist organization has diminished, the threat of al-Qaeda affiliates and infectious ideas remains.	0
The prison provides better infrastructure and sanitation, medical support for inmates and staff, educational programs for inmates, and vocational training programs in areas such as masonry, sewing, carpentry, and brick-making.	1
