ar_en_DEEPL	VerCoop
4. The note proposes that the Security Council initiate a formal âstrategic reviewâ to consider the extent to which the intersection of cross-border crime and terrorism may affect the Council's conflict prevention and resolution efforts, particularly in Africa, and to consider the tools at its disposal to reduce the strategic space that cross-border crime affords terrorist groups.	1
Expressing its concern about all violations and abuses of human rights, the Council calls on the Libyan authorities to investigate and bring to justice the perpetrators of all such acts, including those committed against children.	1
23. Six children were killed and 44 others were injured by improvised explosive devices from the conflict.	0
âThe Security Council expresses its intention, when establishing or renewing the mandate of relevant sanctions committees, to consider provisions regarding parties that violate international law applicable to the rights and protection of children in armed conflict.	1
In this regard, and pursuant to the PSC statement of 25 November 2014, we request the Commission and the countries of the region to redouble their joint efforts to mobilize international support, including through a UN Security Council resolution supporting the establishment and deployment of the Joint Multinational Task Force, as well as the establishment of a trust fund.	1
Hezbollah's retention of significant and sophisticated military capabilities beyond the control of the Government of Lebanon creates an overtly threatening atmosphere and represents a major challenge to the safety of Lebanese civilians and to the government's exclusive right to the legitimate use of force.	0
I also remember how unacceptable it was for Israelis to talk about the 1967 borders, and for a long time it was almost unthinkable to suggest evacuating Israeli settlements.	0
122. To enhance the capacity of law enforcement officials in South Asia while promoting regional cooperation and information-sharing among law enforcement practitioners, the Executive Directorate facilitated a series of workshops (starting in November 2009) aimed at bringing together law enforcement officials -- mainly police officers and prosecutors -- to share experiences, lessons learned and best practices in addressing issues related to international crime and terrorism.	0
âThe Security Council urges the DPRK to immediately return to the Six-Party Talks without precondition, work towards the swift implementation of the September 19, 2005 Joint Statement, and abandon all nuclear weapons and existing nuclear programs.	1
Individuals and cells associated with al-Qaeda and its affiliates continue to innovate in targets, methods, and technology.	0
12. The Executive Directorate will strengthen its engagement with international, regional and subregional organizations around the world in order to help them develop and/or implement appropriate counter-terrorism action plans and engage them more directly in addressing the capacity-building needs of States identified by the Committee through preliminary implementation assessments and country visits.	1
Other soldiers began beating the other four women, including the witness.	0
