ar_en_DEEP	MatConf
That the Committee take into account the final results of the monitoring and evaluation process derived from the oiled coast survey conducted by the Kingdom of Saudi Arabia when monitoring the process of using the compensation granted to finance environmental restoration activities; Including the compensation awarded under the Committeeâs claim No. 5000451.	0
This situation depicts not only mass killings of civilians, but also unlawful detention, summary executions, rape and other abuses.	1
30 - On 18 March, the commanders of the Presidential Guard and the Presidential Security Squad sent a letter to the Minister of Internal Security in which they announced that the areas surrounding the Presidential Palace were considered a âred zoneâ and that anyone arrested there would be considered an enemy combatant and would be treated as such, that is, they would be shot. Fire without warning.	0
Also, names that are not sufficiently specific may lead to sanctions being applied to persons other than those targeted.	0
B - Preserving the crime scene	0
In other places, deaths occur in violent circumstances and the authorities are unable or unwilling to issue an official document to prove the death.	1
Syrian security forces committed a number of violations of international human rights law and international humanitarian law. Some of these violations may amount to war crimes and crimes against humanity.	1
Nonprofits manage large budgets and move funds across jurisdictions legally and with great ease, so they can provide a relatively secure global framework within which they can be exposed with minimal risk. The sheer number of beneficiaries of large nonprofits allows funds to be transferred with little Risk, especially where non-profit organizations have a semi-autonomous status that allows them to carry out their activities outside the scope of regulators and law enforcement authorities.	1
On November 9, 2014, regime helicopters dropped several explosive barrels on the city of Dael, killing six people, including two children, and damaging residential buildings.	1
Other provisions of the Criminal Code may also apply such as unauthorized arming (Article 185), or the development, production or possession of prohibited means of war (Article 185(a). Endangering the public	1
From our previous discussions, Belgium shared the Secretary-General's concern about the danger that the violence in Iraq poses to a society, institutions and political process that is still fragile.	0
120 - There are still activities that took place on Mina Al-Hosn Street, prior to the explosion, which require further investigation, and which could clarify details from the planning stage, and then lead to the perpetrators.	1
Eighteen individuals arrested in BouakÃ© in connection with the events were transferred to a civilian prison in Korhogo. In another incident, on 17 January, 11 individuals, including two French citizens, were arrested in Abidjan, allegedly associating with Mr. Coulibaly, for planning a coup. On 30 January, the prosecutor at the military court in Abidjan issued an international arrest warrant against Mr. Coulibaly, on charges of conspiracy against the state.	1
The Acting Assistant Secretary-General briefed on political developments in Ukraine, including the holding of parliamentary elections on 26 October, and the elections held by rebels in Donetsk and Lugansk on 2 November, which were denounced by the Secretary-General and many in the international community.	0
âIn the context of the expiration of the Missionâs mandate on 31 December 2010, the Security Council commends the Missionâs contribution to the security it has provided, without prejudice to the primary responsibility of the Government of Chad, for refugees, internally displaced persons and humanitarian workers in eastern Chad, and its efforts to strengthen the capacity of Chad's Integrated Security Detachment.	0
11 - Based on a two-track investigation, one of which was Lebanese and the other carried out by the United Nations, a unified, complementary investigation emerged, which was carried forward, side by side, by both the Committee and the Lebanese authorities.	0
Since the arrival of French forces, gendarmes have not been subjected to summary execution in Bouake.	1
44 - A partial solution could be to impose time restrictions for submitting reasons. This would be in line with the ombudsman mechanism in general, all stages of which are governed by strict deadlines.	0
Recognizes that, despite progress made on gender equality, enhanced efforts, including work towards practical and measurable targets, are needed to guarantee the rights of women and girls and to ensure that all women and girls in [the country concerned] are protected from violence and abuse and enjoy equal protection under the law and access to justice, strongly condemns discrimination and violence against women and girls, in particular violence aimed at preventing girls from attending school, and stresses the importance of implementing Security Council resolutions 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) and 1960 (2010), and recalls the commitments contained therein to mainstream a gender perspective and to ensure that women fleeing domestic violence have access to safe and secure refuge;	0
The bombing attack in Aleppo on the morning of March 18 was also a continuation of this bloody terrorist plan, as the Takfiri terrorists and those who stand with them and support them with money and weapons openly continue their terrorist acts in implementation of a conspiratorial plan targeting Syria, its people and its institutions.	1
Turkey began implementing the National Unity Project to address the social and economic disparities in Turkish society, which are allegedly the fueling factor for Kurdish dissent and recruitment into the ranks of the PKK.	0
24. During the reporting period, there was no tangible progress towards disbanding and disarming Lebanese and non-Lebanese militias as required by the Taif Agreement and resolution 1559 (2004).	1
The frequency of attacks is increasing, and this includes attacks launched using rocket artillery, and there are large numbers of people who can be recruited.	1
They should include, at a minimum, the mission's senior leadership defining its understanding of the protection of civilians and the detailed roles and responsibilities undertaken within the mission when undertaking these activities, to deal with both persistent low-level threats and potential crises.	0
Emphasizing that, under the Charter of the United Nations, sanctions constitute an important instrument in maintaining and restoring international peace and security, and stressing in this regard the need to strictly implement the measures contained in paragraph 1 of this resolution as an important tool in combating terrorist activities,	0
It is believed that funds paid for the release of detained ships, cargo and crews were used to finance terrorist groups or activities.	0
The Janjaweed also brought to this camp a number of other women from the villages surrounding Tawila after they were kidnapped following the attacks on their villages.	1
10. NATO provided additional forces to ensure a safe and secure environment for the National and Provincial Council elections scheduled for 18 September (see paragraph 15).	0
In October 2009, Tajikistan established the Financial Monitoring Department (Financial Intelligence Unit) and, in November 2010, prepared a new draft law on combating money-laundering and combating the financing of terrorism.	0
All countries have put in place legislation and measures to regulate and monitor the production, sale and transfer of weapons and explosives. However, the information provided is not sufficient to evaluate the effectiveness of its implementation.	0
35. Security incidents continued to occur in relation to restrictions on the mission's freedom of movement in South Sudan during the reporting period.	1
In order to continue this struggle, it is imperative that the international community make a greater contribution and pay more attention to this important aspect of the fight against terrorism.	0
This invitation, as well as the cooperation received by the Special Rapporteur during his visit, highlighted the commitment of the Government of Burkina Faso to ensuring that its efforts to combat terrorism are consistent with international human rights laws and standards.	0
(a) Continue to ensure that any measures it takes to combat terrorism comply with its obligations under international law, in particular international human rights law, international refugee law and international humanitarian law;	0
102. The Commission learned that when the rebellion, initiated by two rebel movements, broke out in Darfur in early 2003, the Government asked a number of Arab tribes to assist it in the fighting.	1
48. According to accounts received from the G7 march organizers, demonstrators who wanted to participate in the march were told to regroup in the large public areas within their communes on their way to the Abidjan plateau, the âred zoneâ.	1
(i) With respect to travel restrictions, when the Committee determines that such travel is justified by a humanitarian need, including the performance of religious duties, or when the Committee concludes that an exception could, otherwise, support the purposes of this resolution;	1
In order to strengthen United Nations engagement in this field, the Council should request its principal counter-terrorism bodies - the Executive Directorate of the Counter-Terrorism Committee and the Analytical Support and Sanctions Implementation Monitoring Team - to focus on the threat posed by foreign terrorist fighters, including by assessing national efforts Efforts to implement existing international legal obligations to combat this threat.	1
As stated in the report of the Secretary-General on the situation in Abkhazia, Georgia (S/2005/657), dated 19 October 2005, since last summer there have been some positive developments in the conflict resolution process in the region.	0
âThe Security Council notes that a number of obstacles undermine efforts to secure access for humanitarian and United Nations agencies to people in need, including attacks directed against humanitarian personnel, the authoritiesâ refusal to allow passage and a failure to work in an organized manner with non-State actors.â .	1
However, women and children were also among the victims of killings in many attacks.	1
