ar_en_DEEP	MatCoop
Council members encouraged the Burundian authorities to make further efforts to create the necessary conditions for holding non-exclusive elections by establishing constructive political dialogue and open political space, ending politically motivated violence and combating impunity, in accordance with resolution 2137 (2014).	1
57. The Mission should continue to prioritize its work in monitoring and reporting on violations of international humanitarian law and human rights law, in particular killings, sexual violence and grave violations against children, while at the same time providing support to the Government in its efforts to address the consequences of violations. broad precedent, through transitional justice mechanisms and strengthening efforts to combat impunity.	1
Implementing public policy related to gender equality and the empowerment of women and girls.	1
27 - In accordance with paragraph 13 of Security Council resolution 1822 (2008), and in coordination with the States proposing the listing, the Group began writing draft narrative summaries of the justifications for all listings.	0
He was later killed in Syria.	0
Fourth, piracy off the coast of Somalia is an international problem that requires our collective efforts and contributions.	0
115. Two unarmed Eastern Rapid Response Unit officers were attacked by members of the protesting crowd in Gleno on 8 May, as described in paragraphs 61 to 63 above.	0
57. In addition, the International Civil Aviation Organization and the International Maritime Organization, as well as non-governmental industry associations such as the International Air Transport Association, have established and regularly updated standards relating to the conduct of their members and the carriage of dangerous goods, including shipments of ammunition and explosive materials.	1
Emphasizing the central role of the United Nations in the global fight against terrorism and welcoming the adoption by the United Nations General Assembly of the United Nations Global Counter-Terrorism Strategy (A/60/288) on 8 September 2006 and the establishment of the Counter-Terrorism Implementation Task Force to ensure comprehensive coordination and coherence in the counter-terrorism efforts of the United Nations system,	0
âThe Security Council condemns the deaths of innocent civilians and human rights violations in the eastern Democratic Republic of the Congo, and calls for a full investigation into these incidents.	0
Following the above, on May 15, 2012, the President of the Republic issued Executive Decree PCM 014-2012 in the Council of Ministers. Article 1 of that decree stipulates that the official map issued by the Republic of Honduras, with the boundaries designated in the Regional Administration System, shows that the municipalities located on the land border with the Republic of El Salvador, including: Ocoteppe, Sinuapa, and Mercedes in the Department of Ocoteppe; Cololaca, Guarita, San Juan Guarita, Valladolid, Labertod, Mabulaca, Birgenha and Pereira in Lempira Province; San Antonio, Santa Lucia, Magdalena and Colomuncagua in Intibucca Province; Santa Elena, Yarulla, Murcala, CabaÃ±as, Santa Ana, Ubaturo, Mercedes Oriental, and San Antonio North, in the province of La Paz; Caridad, Aramsina, GuascorÃ¡n and Aliansa in the province of Bali.	1
:: Using starvation of civilians as a method of warfare by depriving them of things indispensable to their survival, including deliberately obstructing relief supplies, as required by applicable international humanitarian law.	0
21. Progress has been made in the program of registration, screening and certification of National Police personnel, with as of 20 September the number of fully certified National Police officers reaching 2,944 (including 565 women), representing 94 per cent of its strength.	1
(b) A Sanctions Enforcement Support Team, coordinated by the Monitoring Team, consisting of up to 15 members with expertise in areas such as customs, border security and counter-terrorism, based in the States referred to in paragraph 2 above, in full consultation and close coordination with those States;	1
- That terrorism cannot be defeated, in accordance with the Charter of the United Nations and international law, except by following a comprehensive and sustained approach that involves the effective participation and cooperation of all states and international and regional organizations, and the redoubling of efforts at the national level;	0
Mandate the establishment and local adaptation of appropriate truth-finding and reconciliation mechanisms (such as technical assistance, financing and the reintegration of civilians into local communities).	1
Some other members noted the initiative of the Government of Sudan to investigate the allegations through its national machinery and called for the settlement of disputes through negotiations under the supervision of the African Union High-Level Implementation Panel on Sudan led by the former President of South Africa, Thabo Mbeki, and the Special Envoy of the Secretary-General for Sudan and South Sudan, Hayley Menkerius.	1
4. The Security Council, by its resolution 1521 (2003), also established a committee to supervise the implementation of the measures. A group of experts was established to provide the Committee with information on the implementation of the measures and progress made towards meeting the conditions for lifting the sanctions.	1
This invitation, as well as the cooperation received by the Special Rapporteur during his visit, highlighted the commitment of the Government of Burkina Faso to ensuring that its efforts to combat terrorism are consistent with international human rights laws and standards.	0
12. With regard to border and export controls, the Malaysia Strategic Trade Act 2010 came into force on 1 January 2011, and Finland adopted a new export control law.	1
Integrating gender concerns into needs assessment and resource allocation in post-conflict reconstruction.	1
The Mission is also working to establish new support bases for the referendum with the aim of providing support at the district level in South Sudan.	1
I stand ready to work closely with the Security Council, collectively, and with stakeholders individually, to find a solution to this serious crisis, to quickly complete the peace process, and to restart vital humanitarian activities in Eritrea.	0
But we are concerned about reports of increasing tension between the ruling parties and the opposition parties.	0
These visits include a total of 8 comprehensive visits (Uganda, Uzbekistan, Libyan Arab Jamahiriya, Lao People's Democratic Republic, South Africa, Cambodia, Egypt, and Saudi Arabia); Two regional visits covering six countries (Belgium, Denmark, Luxembourg, and the Netherlands in Western Europe; Burkina Faso and Senegal in West Africa); seven targeted visits (Australia, Panama, Republic of Korea, Singapore, Madagascar, United Kingdom of Great Britain and Northern Ireland, New Zealand), and three follow-up symptom visits (Bangladesh, Kenya, Mali).	0
53. Integrated plans are being implemented to support the planned withdrawal of the military and civilian components of the Mission between 15 October and 31 December 2010.	1
3. Progress towards neutralizing foreign and Congolese armed groups in North Kivu and South Kivu provinces remains limited.	1
Requests all parties concerned to adhere to the international obligations applicable to them in relation to the protection of children affected by armed conflict, as well as the specific commitments they have undertaken to the Special Representative of the Secretary-General for Children and Armed Conflict, the United Nations Childrenâs Fund (UNICEF) and other United Nations agencies, and to cooperate fully with United Nations peacekeeping missions and United Nations country teams...	0
âThe Security Council reaffirms its strong commitment to the sovereignty, independence, unity and territorial integrity of Syria and other states affected by the Syrian conflict, and to the purposes and principles of the Charter of the United Nations.	0
Hereby decides to establish an international tribunal for the sole purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [affected State] between [dates].	1
295. In addition, given the politically discriminatory nature of the systematic and widespread killing of civilians, such acts may very well constitute the crime of persecution, which falls within the crimes against humanity.	0
(c) Decided that the Executive Directorate would continue to function as a special political mission, within the framework of the overall policy guidance provided by the Committee, for the period ending 31 December 2010, and further decided to conduct an interim review by 30 June 2009 and to consider comprehensively the work of the Executive Directorate before the end of its mandate;	1
In the context of the food crisis, as in other cases, UNHCR has been able to provide vital information at various levels that has made it possible to enhance effectiveness on the ground and help strengthen coherence among response policies.	1
562 - There is another, more specific reason why the political and military leadership of the Sudan Liberation Movement and the Justice and Equality Movement cannot refuse to bear responsibility for every crime committed by its soldiers in the field, if that leadership refrains from preventing or suppressing those crimes.	0
Ten people were questioned on the day of the explosion, and about 40 people were questioned over the following two months.	1
All but one country has legislation regulating the activities of national non-profit organizations, but only one country has introduced and effectively implemented legal provisions to prevent the financing of terrorism through the aforementioned organizations.	1
Some countries have begun to recognize this by developing comprehensive national counter-terrorism strategies that go beyond traditional law enforcement and involve multiple social actors.	1
Given that Al-Qaida and its affiliates do not hesitate to use any available type of explosive to launch attacks, the Panel recommends that the Committee encourage Member States, within the framework of the arms embargo on Al-Qaida, to apply the concept contained in the phrase âweapons and related weapons.â âEquipment of all kindsâ applies to all types of explosives, whether military, civilian, or improvised explosives, as well as to raw materials and components that can be used in making improvised explosive devices or unconventional weapons, including (but not limited to) chemical components and pipes. Blasting, fertilizers and poisons.	0
KFOR and UNMIK police cooperated to manage security for major public events, respond to political violence and provide special security services to threatened minority communities.	1
The trial is still ongoing in the case of the murder of Floribert Chibia Bizer, a human rights activist, and his driver, Fidel Bazana, on 2 June 2010.	1
