ar_en_DEEP	VerConf
Building on the November 2010 workshop for Central Asia between the Executive Directorate and the OSCE on resolution 1624 (2005) and combating incitement to terrorist acts motivated by extremism and intolerance, through similar initiatives in other regional regions;	0
Consider the application of targeted and graduated measures against parties to armed conflict that threaten the peace, attack or obstruct the work of United Nations peacekeeping and other relevant missions, and violate applicable provisions of international humanitarian law and international human rights law.	0
The Abkhaz regime spares no effort to legitimize the demographic situation that it forcibly changed through ethnic cleansing and created intolerable living conditions for Georgian citizens returning to the Gali region.	0
(e) The inaugural meeting of the International Contact Group on Libya scheduled to be held in Addis Ababa on 3 December 2014. The Heads of State supported the efforts made by neighboring States and the Special Representative of the Secretary-General in Libya to create the appropriate conditions for establishing a dialogue between all Libyan parties, with the exception of Known terrorist groups.	0
32. The Prosecutor advanced five arguments in support of his opinion in paragraph 68 in which he explained why careful review was not applicable in this context, as follows: (a) the preventive nature of the sanctions imposed on Al-Qaida; (b) The international context of the sanctions measures; (c) The need to find a balance between the requirements of combating terrorism and the requirements of protecting fundamental rights; (d) The political nature of the evaluations carried out by the committee established pursuant to resolution 1267; (e) Improvements made in recent years to the Committee's de-listing procedures, in particular since the Court of Justice issued its decision in the Al-Qadi case in 2008.	1
Rather, they insist on treating the case as a secondary immigration crime.	1
However, the Caribbean States have adopted the Caribbean Treaty on Mutual Legal Assistance in Serious Criminal Matters (including offenses relating to terrorism, terrorist financing, money laundering and drug trafficking).	0
However, my delegation notes with regret that the security situation remains a cause for concern.	1
He reiterated his personal condemnation of the incident, which he described as sending false and unwanted messages, ahead of the 2012 elections, and would undermine and hinder the gains that have been made in reshaping the image of the country, and in the field of building and consolidating peace, which were achieved through strenuous efforts and with the help of our partners. Development experts and the international community.	1
77 - This section briefly addresses the various groups that have an active role in the armed conflict in Darfur.	0
Its assessment is contained in reports issued twice a month, a practice that has contributed to raising awareness of human rights problems.	0
The Cuban delegation strongly condemns the attacks against Palestinian civilians and the general destruction caused by the Israeli occupation forces in the northern Gaza Strip. We also demand an immediate end to these attacks and the urgent withdrawal of the occupation forces.	1
Colonel Reis and his deputy protested to Brigadier General Ruak, who apologized for the shooting.	0
585- There is no doubt that the crimes allegedly committed and documented in Darfur meet the conditions specified in the Rome Statute in Articles 7 (1), 8 (1) and 8 (2) (f).	0
This is an important aspect as it greatly increases the level of frustration among the target population, including supporters or perceived supporters of opposition parties and local groups, and their hatred of the police and security forces.	1
President Al-Bashir took diplomatic retaliatory measures against the Kenyan decision and threatened to impose economic and trade sanctions.	1
Deeply concerned about the activities of armed groups and acts of banditry in the [area], which threaten the security of the civilian population, the conduct of humanitarian operations in those areas and the stability of those countries, and result in grave violations of human rights and international humanitarian law,	1
They said: Why do you live here, you are slaves.	1
The government's armed forces later confiscated the village residents' weapons.	0
Once again, Egypt demands an immediate halt to Israeli attacks on the Gaza Strip.	1
96. The Brigadier General told the Committee that he was not aware of any special law prohibiting the arming of âreserve personnelâ. He also said that he obtained permission to do so from the Minister of Defense after he proposed the matter to him.	0
10 - Reiterates the importance of all States identifying, or where appropriate introducing, appropriate procedures to fully implement all aspects of the measures set out in paragraph 1 above; Strongly urges all Member States to implement the comprehensive international standards embodied in the 40 revised recommendations of the Financial Action Task Force on combating money laundering, terrorist financing and proliferation, in particular Recommendation 6 on targeted financial sanctions relating to terrorism and the financing of terrorists;	1
1. It categorically condemns as criminal and indefensible acts of terrorism, regardless of their motives, all acts, methods and practices of terrorism, in all their forms and manifestations, wherever they occur and whoever commits them, especially acts that could threaten international peace and security;	1
102. The Commission learned that when the rebellion, initiated by two rebel movements, broke out in Darfur in early 2003, the Government asked a number of Arab tribes to assist it in the fighting.	0
In this regard, the Council commends the efforts made so far by Uganda, the Central African Republic, the Republic of South Sudan and the Democratic Republic of the Congo to put an end to the threat posed by the Lord's Resistance Army, and urges continued efforts by these countries, as well as other countries in the region.	0
On 5 November, the Council held consultations on the Syrian Arab Republic and heard a briefing via videoconference from Beirut by the Special Adviser to the Secretary-General, Sigrid Kaag, on the implementation of resolution 2118 (2013) and the elimination of the chemical weapons program in the Syrian Arab Republic .	0
The multi-ethnic character of Kosovo and Metohija mentioned in the report was ignored, and this neglect is most evident in the judicial system that was established in Kosovo and Metohija (para. 57).	1
The strategy also addresses investigations into terrorist acts and the prosecution of their perpetrators, so that terrorists and those who support them are brought to justice.	0
60. It is particularly important to develop practical exchanges between the Security Council and the General Assembly on halting illicit flows of arms and ammunition into crisis and conflict areas.	0
In another case, the Janjaweed attacked the village of Malaga in October 2004. Eighteen men were killed, and four men and two women were injured.	0
Thanks to the establishment of the Joint Mission Analysis Cell, the Mission has been able to significantly increase its capacity to analyze and exchange information throughout the Mission. However, the mission continued to lack access to reliable tactical information.	0
The commission claimed that an unknown number of soldiers and 13 civilians were killed by rebels inside the hospital in Buram.	0
We note that civil society organizations have expressed their deep concern in this regard.	1
43. The experts of the Security Council Committee established pursuant to resolution 1540 (2004) held discussions with the United Nations Interregional Crime and Justice Research Institute and the United Nations Institute for Disarmament Research on programs and activities that could be organized to support the effective implementation of resolution 1540 (2004).	0
139- Among these groups is the National Movement for Reform and Development. On 6 June, the movement issued a statement saying that it was not a party to the ceasefire agreement concluded in April between the Government, the Sudan Liberation Movement/Army and the Justice and Equality Movement, and that it would fight against the Government.	1
We took note of the concern regarding the implementation of the joint statement of 2 April 2009, which was referred to in the report.	1
It is clear that this was due to the aforementioned countries' rejection of his measures.	1
At the same time, the G7 expressed its intention to organize a march on 25 March 2004, urging the full and unhindered implementation of the Linas-Marcoussis Agreement.	0
1 - Condemns and condemns in the strongest terms the terrorist acts committed by the Islamic State in Iraq and the Levant and its violent extremist ideology, and its continued gross, systematic and widespread violations of human rights and international humanitarian law;	1
Meanwhile, President Bashir threatens the international community with revenge, and thus more crimes.	1
This means that the separatists continue their blatant disregard for international law and rejection of the universal principles of the United Nations Charter.	1
84 - Four countries signed a letter of intent expressing their commitment to implementing the framework of standards for securing and facilitating global trade to ensure that shipments are not exploited for terrorist purposes, and three of them have reached an advanced stage of implementation.	0
59. As part of the Mission's ongoing efforts to increase local capacity-building and in order to ensure cost savings, the Mission proposed converting eight international posts and four United Nations Volunteer posts to national posts in the 2008-2009 fiscal year. A recommendation was also made to establish an archives unit, consisting of an international staff member and a national General Service staff member.	0
Further development of the situation in this direction could threaten efforts to reform and build the country, and in the long term it would threaten peace and stability throughout the region.	1
At a time when this danger is increasing, the international community must develop a way to confront and keep pace with it.	1
Al-Qaeda has succeeded to some extent in recovering its health after the loss of Afghanistan as a training base for terrorism by exploiting the situation in Iraq.	0
The latest report of the Secretary-General (S/2012/376), like its predecessors (S/2009/277 and S/2010/579), focused the discussion around five core challenges that he identified: enhancing compliance by parties to conflict with international law; enhancing the compliance of non-state armed groups; Strengthening the protection provided by United Nations peacekeeping and other relevant missions; improving access to humanitarian assistance; and enhancing accountability for violations.	0
But we are concerned that the violence could cause a portion of the population to stay away from polling sites in the south and elsewhere.	1
The joint mission met with a number of national and international stakeholders, including representatives of civil society, traditional and religious leaders, opposition parties, and the military establishment.	0
At the request of the Alliance of Patriots for a Free and Sovereign Congo, MONUSCO supported the efforts of this coalition to integrate into the armed forces.	0
Although in early 2003 only a very small number of countries in Africa had ratified at least four of the 12 existing international legal instruments against terrorism, most countries have now ratified the majority of them.	0
However, the UN Compensation Commission appears to be an exceptional example of how all members of the Security Council can reach agreement and, perhaps most importantly of all, that a mechanism has been established to ensure that funds are available to pay compensation, as a result of the UN's ability to control Iraq's oil exports.	0
In that context, we believe it is important for the Security Council to pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as Hizb ut-Tahrir and we urge the Council to impose severe sanctions on terrorist organizations.	1
He warned that there was a risk that inviting the Group of Friends, including non-Council members, to participate in the Council's decision-making process might result in ineffectiveness.	1
Fundamentalist extremism may continue to exist in its manifestations in regions in the East.	0
First, according to United Nations estimates, there are 1.65 million internally displaced people in Darfur, and there are more than 200,000 refugees from Darfur in neighboring Chad.	0
Now, what Afghanistan has achieved is being eroded by the serious challenges the country faces to its security and stability.	1
No eyewitnesses reported that leaflets were distributed, warnings were given on the radio or by tribal elders, or that planes flew at low altitudes over villages to warn civilians of an imminent attack.	1
