ar_en_DEEP	VerCoop
It is time for the international community to take effective measures to protect and enforce the most basic rights of the Palestinian people, and to break the vicious cycle of violence resulting from Israel's continuing and ongoing illegal occupation of Palestinian territories.	0
The Security Council notes with appreciation the urgent initial steps taken by the Government of Rwanda to address this situation and encourages the Government of Rwanda to continue its cooperation with the United Nations and relevant international organizations to ensure the permanent demobilization of these combatants and their treatment in accordance with relevant international law, with particular attention to children and women among them. .	1
Most Governments also appear to be strongly committed to ensuring that law enforcement agencies respect human rights, although in some cases serious concerns have been raised about violations by security forces.	0
The Mission, together with the African Union High-Level Implementation Team and other international partners, will continue efforts to help the parties break the current stalemate.	1
The Security Council commends the continued efforts of the Contact Group on Piracy off the Coast of Somalia to coordinate international efforts in the various aspects of the fight against piracy.	1
4 - Calls on the Syrian armed opposition groups and relevant elements to respect the relevant provisions contained in the initial agreement;	1
Despite the recent escalation in the number and severity of Taliban attacks, its future is surrounded by doubts.	0
2 - Building confidence and enhancing stability within the host country by encouraging truth-telling and reconciliation through the following:	0
First and foremost, security concerns remain paramount.	0
The UN Security Council encourages the United Nations, the African Union, the International Conference on the Great Lakes Region, the Southern African Development Community and other relevant international and regional organizations to continue to work together, with the continued commitment and support of the international community, to implement the peace, security and cooperation framework.	1
The team also actively participates in the Global Counter-Terrorism Forum.	1
On 21 December, the Council heard in open session a briefing by the Chairman of the Committee established pursuant to resolution 1737 (2006) and the Permanent Representative of Colombia, Nestor Osorio, on the work of the Committee in the period from 1 September to 18 December 2011.	1
In resolution 1820 (2008), the Council encourages the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls from violence, including in particular sexual and other forms of gender-based violence, in refugee camps And internally displaced persons and around those camps.	1
First, there were more than a million internally displaced persons within Darfur (1.65 million people, according to UN reports), and more than 200,000 refugees from Darfur in neighboring areas extending from Chad to eastern Sudan.	0
We would also like to express our concern that the return of these incidents could lead to an unstable situation in the region, making it difficult to achieve a peaceful solution to the Kosovo situation that is acceptable to both parties.	0
In conclusion, I would like to make a number of recommendations regarding any fact-finding mechanism that is established:	1
However, without greater transparency â which would undermine one of the main advantages of the mechanism â it is unlikely to meet the requirements for an effective and independent judicial review.	0
In Lerneb (Timbuktu province), in September, the Arab Movement of Azawad (MAP) warned in several public meetings that it would punish local residents who provided information to MINUSCA and French forces. On September 23, the headless body of a man was found in the Zoueira region, 80 kilometers north of Timbuktu. He was one of five men kidnapped by Al-Qaeda in the Islamic Maghreb on September 16 and accused of collaborating with international forces. They have since disappeared.	0
The Court of First Instance distinguished between previous decisions supporting the sanctions stipulated in Resolution 1267 by saying that Resolution 1373 (2001) does not specify the persons whose assets must be frozen, and this made the decision to impose sanctions on specific targets, and the process adopted to reach this decision is a matter of discretion. Member States will therefore be subject to more careful review.	0
