ar_en_GOOGLE	MatCoop
As for law enforcement agencies, they are well organized and have established special agencies, committees and units to combat terrorism.	1
Efforts continued to represent minorities in all staff positions working in administrative departments.	1
As mentioned above, the Sudanese judicial system has proven unable to ensure accountability for crimes committed in Darfur, and the authorities have proven unwilling to do so.	0
The Center has prepared a withdrawal strategy to address the transfer of responsibilities, including continued clearance of any remaining hazards, mine awareness and victim assistance, to the appropriate departments of the Interim Joint Administrative Structure.	1
Law enforcement efforts to combat cross-border crime have also been strengthened, and these efforts can be adapted to combat terrorism as appropriate.	1
The deadlines for completing the destruction of Syrian chemical weapons were mentioned in the general report on the elimination of the Syrian chemical weapons program (paragraph 25 of document EC-76/DG.16 of 4 July 2014), which the Council took note of at its seventy-sixth session.	1
A system will be established to ensure that victims of sexual exploitation and abuse are referred on a case-by-case basis to a non-governmental organization that will provide the necessary support.	1
211. All States of the subregion have established and operational financial intelligence units, although some are still working to improve their capabilities.	1
All the houses of the village were burned. The bodies of the victims were buried in mass graves near the village.	0
In resolution 22/13, the Council mandated the Committee to investigate the systematic, widespread and gross violations of human rights in this country with a view to ensuring full accountability, especially for violations that may constitute crimes against humanity.	0
Since the categories of international crimes have been included in another part of the report, it is sufficient here to briefly mention the various ways of participating in the commission of international crimes that give rise to individual criminal responsibility.	0
Improvised explosives and homemade explosives, such as ammonium nitrate and urea nitrate: car bombs.	0
Therefore, the establishment of hybrid courts that may be able to rely on the national legal system will lead to serious problems, especially with regard to the Sudanese Criminal Procedure Code of 1991.	1
36. At its 47th formal session, on 20 June 2014, the Working Group heard from the Prosecutor of the International Criminal Court on the work of the Court in relation to children and armed conflict.	0
One of the tools placed at the disposal of states to achieve this goal is the United Nations Register of Conventional Arms. It includes data provided by States on international arms transfers as well as information on military stocks, purchases of national production, and related policies.	1
All countries in this subregion are members of the International Criminal Police Organization (INTERPOL) and have established National Central Bureaux of INTERPOL.	1
During this period, the Commission&#39;s support base was strengthened and new software was installed, making the database more effective.	1
Attacks in Afghanistan increasingly demonstrate the influence of Al-Qaeda&#39;s tactics in Iraq, where suicide bombings are used and beheadings are a common practice demonstrated on television.	0
Uganda&#39;s only concern and categorical demand remains that the LRA terrorists be immediately disarmed, arrested and brought to justice.	0
The Special Representative stressed the importance of political progress, particularly in the state-building process, and welcomed the ongoing reconciliation process and the establishment of interim administrations.	0
The countries visited by the Committee have practical measures and policies to suppress terrorist recruitment.	1
We believe that the appointment of a special envoy, whatever the name given to him or the rationale given to him, can only be tantamount to establishing a ânew mechanism.â	0
The parties to the peace process have yet to make arrangements for the release of children and reintegration programs that would have given children in those forces rights to benefit from recovery and reintegration measures.	0
However, widespread strikes and blockades by armed and unarmed political groups, parties and groups have mostly disrupted humanitarian activities and access to health and education services in the Terai region.	0
