ar_en_GOOGLE	VerConf
Progress has also been made in exchanging information on these individuals - particularly through the International Criminal Police Organization (INTERPOL) - and in cooperation in the field of border security.	0
25 - Reiterates its call on the Secretary-General to continue to transmit relevant information and analysis on the protection of civilians to the Council, if it is of the opinion that such information or analysis may contribute to resolving the issues before it; Requests him to continue, as appropriate, to include observations related to the protection of civilians in armed conflict in his written reports to the Council on matters before it, and encourages it to continue to undertake consultations and take specific steps to strengthen the capabilities of the United Nations in this regard;	0
While piracy off the coast of Somalia remains a critical challenge, we call on the international community not to lose sight of the fact that the solution to this problem must be achieved on land, not at sea. A comprehensive solution to the Somali conflict must address all the root causes of piracy and other challenges, including the exploitation of marine resources and the dumping of toxic waste.	1
The Group also considers the growing international concern regarding terrorist use of the Internet, and provides views on this issue and all its monitoring activities.	1
94 - Since the presence of militias and parallel forces has been confirmed, it is the duty of the President of the Republic and the Government of National Reconciliation to take all necessary steps to put an end to their activities.	0
In 1993, that vision was vague at best, and at the time, it was impossible to define an ultimate goal that would come close to meeting the concerns of both peoples.	1
32 - Welcomes the periodic briefings provided by the Government of Afghanistan on the content of the list and the impact of targeted sanctions in deterring threats to peace, stability and security in Afghanistan, as well as support for the Afghan-led reconciliation process;	0
However, the available information does not provide a clear picture of the status of implementation of aviation, maritime or cargo security measures, border controls or implementation programs undertaken to ensure that small arms do not fall into the hands of unauthorized persons.	1
She also visited police stations and the local public prosecutor&#39;s office to obtain information on any already registered cases of rape.	0
The Committee makes a set of recommendations to take immediate steps to put an end to human rights violations and address the human rights concerns raised by the Committee, including specific recommendations addressed to the Security Council, which require the Councilâs attention and consideration.	0
Two armed helicopters and an Antonov plane were used in the attack, possibly for reconnaissance purposes.	0
530. In order to bring clarity to any discussion of perpetrators, two legal tools are necessary: the categories of crimes for which they may be responsible, and an enumeration of the various types of participation in the commission of international crimes for which different persons may be suspected of being responsible.	0
However, the failure to intervene effectively to restore stability in that country truly threatens the effectiveness of the international community, as well as the cost of enormous resources.	1
However, in other areas, progress has not met expectations and many challenges remain.	1
