ar_en_TRANSFORMERS	MatCoop
In particular, I urge the Abkhaz side to fulfil its previous commitments, to allow the opening of a human rights sub-office in Gali, to allow local youth to receive instruction in their Georgian mother tongue and to accept the deployment of UNOMIG police officers in the Gali district.	0
At the invitation of the President of the Economic and Social Council, the President of the Security Council attended a meeting of ad hoc advisory groups on African countries emerging from conflict (Burundi and Guinea-Bissau).	0
One police officer was killed and two injured.	0
The Commission benefited from the report of the Committee of Experts to Review the Trials of Gross Human Rights Violations Committed in Timor-Leste (then East Timor) in 1999 (see S/2005/48). In that assessment, it was noted with concern that the Prosecutor &apos; s interpretation that his constitutional responsibility to the President required him to pursue the President &apos; s policy with regard to trials was noted.	1
"The Security Council stresses the need to continue to take measures aimed at preventing and suppressing the financing of terrorism and terrorist organizations, reiterates the obligations of Member States in this regard, including the effective implementation of those measures, and recognizes the importance of the work of other United Nations entities and multilateral organizations, in particular the Financial Action Task Force.	1
The Directorate will facilitate the provision of required training to customs officers, border police and financial intelligence units in the first quarter of 2014.	1
Civil defence vehicles, the fire brigade and the Red Cross rushed into the area and worked to put out the fire, collect the bodies and transport the wounded to hospitals.	1
192. There is convincing evidence, according to allegations and press reports, that certain areas have been targeted because of their proximity to or involvement in rebel activity and, more importantly, because of the ethnic composition of the population living in those areas.	1
8. By its resolution 2128 (2013), the Security Council amended the notification requirements relating to the arms embargo by deciding that the Liberian authorities should have primary responsibility for notifying the Committee, at least five days in advance, of the shipment of any supplies of lethal weapons and related materials, or of any assistance, advice or training related to military or other security sector activities of the Government of Liberia.	1
The Palestinians and Arab countries must give Israel the necessary and reliable guarantees of its security as a State.	0
The Commission also found that the restrictions imposed on internally displaced persons in the camps, particularly women, by terrorizing them by rape, murder or violent threat to their lives or to their persons by the Janjaweed militia, constituted a severe deprivation of physical liberty in violation of the rules of international law.	0
Thus, there is no alternative to centralizing command and control over the operations of the armed forces.	0
A few States are unable to implement the measures at all, and that is where terrorists can break the embargo whenever they want.	0
The Special Court for Sierra Leone, the first war crimes court since the Nuremberg trials to be based in the country where atrocities occurred, is determined to give priority to public awareness and the dissemination of justice.	1
The Committee received credible information that these persons were tortured and subjected to cruel, inhuman and degrading treatment.	0
Belarus, the Russian Federation and Ukraine have fully operational financial intelligence units, and in 2010 Belarus and Ukraine adopted amendments to the anti-money-laundering and terrorist financing laws on customer identification, due diligence in customer identification, record-keeping, verification of beneficial owner and suspicious transactions, and also expanded control standards to include the transfer of funds through the State postal system.	1
Although local cells are known to be engaged in limited criminal activities, such as credit card fraud and drug distribution), and UNODC indicates that mobile groups on the border between Afghanistan, Pakistan, the Islamic Republic of Iran and Uzbekistan collect transit charges from drug carriers, and thus benefit the Taliban), there is as yet no consistent evidence indicating the involvement of major terrorists in drug trafficking or organized crime.	0
Our proactive policy has the long-term objectives of removing Abkhaz society from its isolation, of familiarizing it with the democratic values and principles that recognize the fundamental human rights of internally displaced persons and refugees, primarily the right to return to their homes regardless of their ethnic origin; and of creating an environment of trust and mutual respect.	1
Taking into account the special nature of resolution 1373 (2001), the continuing threats to international peace and security caused by terrorism, the important role that the United Nations and the Security Council must continue to play in the global fight against terrorism and the need to strengthen the Committee as a responsible body of the Security Council in this area, without setting a precedent for other Security Council bodies;	1
Such a mechanism is essential for the full investigation of the fate of missing persons.	1
Three of them were injured but survived thanks to the assistance of Red Cross personnel.	0
Welcoming the progress made by the Governments of Iraq and Kuwait to resolve the outstanding issues between the two countries, and encouraging further cooperation between them, the Security Council calls upon Iraq to fulfil expeditiously its outstanding obligations under the relevant Security Council resolutions under Chapter VII on the situation between Iraq and Kuwait.	1
An additional problem was that the Government did not appear to have sufficient military resources since many of its troops were still present in the south and those found in Darfur were distributed mainly to major urban centres.	0
A. Committing or participating in the commission of international crimes	0
218. JEM affirmed that its internal regulations contained strong obligations to respect international humanitarian law and human rights law and further affirmed that it had not and would not direct its attacks against civilian targets.	1
She reiterated the Secretary-General &apos; s condemnation of any use of chemical weapons by any party to the Syrian conflict and reiterated his call for the perpetrators of any such acts to be brought to justice.	0
119. Significant resources have been invested worldwide in initiatives to promote dialogue and understanding among civilizations and to counter incitement motivated by extremism and intolerance.	1
The Council also calls upon the United Nations and the African Union to jointly investigate LRA logistics networks and potential sources of illicit financing, including alleged involvement in illicit elephant fishing and related illegal smuggling.	1
During the month of February, more than 20 acts of armed robbery were reported on the side of the road along the Guiglo Du̩kou̩ axis, while 10 armed attacks were reported in Bangolo, and on 23 March 2008, a soldier of the Defence and Security Forces of C̫te d &apos; Ivoire was killed in Du̩kou̩ by unidentified armed gangs.	0
In conclusion, a presidential statement (S/PRST/2004/16) was adopted, in which the Council called upon Member States to provide political and financial support, as well as civilian and military personnel, to allow the many operations to begin in the best conditions and effectively advance their respective mandates.	1
However, parliamentarians belonging to the Sierra Leone People &apos; s Party and the People &apos; s Movement for Democratic Change boycotted the opening of the Parliament, protesting, inter alia, against the banning of political processions and rallies following the 9 September political violence in Bo.	0
In this context, it was pointed out that, in addition to making a decisive contribution to efforts to combat impunity per se, the establishment by the Council of the ad hoc tribunals also had a catalytic effect at the national level: the existence and work of the International Tribunal for the Former Yugoslavia had encouraged the establishment of national war crimes courts in Bosnia and Herzegovina, Croatia and Serbia; and the presence and work of the International Criminal Tribunal for Rwanda had placed considerable pressure on Rwanda to reform its judicial system.	1
"The Security Council welcomes the significant progress made by Timor-Leste in strengthening the institutional and human resource capacities of State institutions, including in the security, justice and governance sectors, which play vital roles in maintaining stability and promoting democracy.	0
In the short term, the focus will be on border and natural resource control in Ituri, restricting the movement of ADF/NALU elements in North Kivu, monitoring areas vacated by FDLR following joint operations by MONUC and FARDC, and assisting the Congolese National Police in providing security for the population in South Kivu.	0
Following the completion of the field mission, UNHCR established a post-mission protection entity in Conakry for a period of three months to provide support and advice to persons whose safety is at risk and to prevent retaliation.	1
The Security Council expresses its particular concern at the withdrawal by [neighbourly State] of the recognition of the status of refugees to a large number of refugees and the consequent cessation of assistance to them... [the affected State] decisions in this regard may mean the involuntary return of tens of thousands of persons to an area that is neither safe nor ready for reception.	0
34. There has also been an increase in the number of regional counter-terrorism centres, where best practices on the implementation of sanctions can be established, in accordance with relevant special circumstances.	1
34. The disarmament, demobilization and reintegration programme, including the effective reintegration of ex-combatants, must be completed.	1
Stressing the urgent need for comprehensive security sector reform and the disarmament, demobilization and reintegration, as appropriate, of [national] armed groups and the disarmament, demobilization, repatriation, resettlement and reintegration of foreign armed groups in order to achieve long-term stability in [the country concerned], recognizing the need to create security conditions conducive to sustainable economic development, and stressing the important contribution of international partners in these areas.	1
