ar_en_TRANSFORMERS	VerConf
On 3 and 7 October, the Council issued two press statements condemning the recent attacks on MINUSMA (SC/11587 and SC/11591).	1
I. GENERAL PROTECTION CONCERNS RELATING TO CONFLICT-affected populations	1
The withholding of this level of funding will paralyse any Government, let alone an occupying Power. If these funds are not released immediately, this measure will threaten the State-building gains made by the Palestinian Authority, including the promotion of good governance for the benefit of the Palestinian people and the development of security forces that maintain law and order in the West Bank.	1
18. These trends are reflected in many contemporary conflict situations on the Council &apos; s agenda.	1
While neither side seems ready to return to war, there is a disturbing pattern of escalation and destabilization that could lead to a widespread confrontation that could endanger the lives of more civilians.	1
(d) Prevent those who finance, plan, facilitate or commit terrorist acts from using their territories for those purposes against other States or their citizens;	0
However, we are concerned that the main factor in decision-making is being undermined by a lack of political consensus.	1
During the closed consultations that followed, Council members stressed the importance of the resumption of Israeli-Palestinian negotiations and condemned unilateral actions, in particular the construction of settlements in the occupied territories, which undermined the efforts of the Quartet to find a negotiated solution to the conflict.	0
In consultations of the whole, the members of the Security Council expressed concern at the continued deterioration of the humanitarian situation and condemned violations of international humanitarian law committed by all parties to the Syrian conflict.	1
African tribes were mainly robbed, targeting the property necessary for their survival and livelihood.	0
In paragraph 3 (d) of resolution 1587 (2005), the Security Council requested the Monitoring Group to continue to improve and update information on the draft list of individuals and entities violating the measures implemented by Member States in accordance with resolution 733 (1992), inside and outside Somalia, and their active supporters, which the Council may need to take possible measures in the future, and to present such information to the Committee established pursuant to resolution 751 (1992), at the time and in how the Committee deems appropriate.	0
According to another witness, one day after the assassination, Faisal Rashid insisted that the case had been resolved, that the perpetrator was Mr. Abu Adas as a suicide bomber and that Mr. Abu Adas &apos; body was still at the scene of the crime.	0
The Security Council also condemns terrorism in all its forms and manifestations, whatever its form or by whomsoever committed.	1
Most States criminalize the use of their territories for the commission or planning of terrorist acts against citizens, diplomatic facilities and representatives of other States.	0
This perception may lead to further radicalization of some Albanian national elements in Kosovo, and may place Kosovo &apos; s minorities at increased risk.	1
I also refer to Chad and Guinea as early warning, where the deterioration of humanitarian conditions may have an impact on stability in the region.	1
United Nations peace operations have adjusted their position accordingly, thus showing a growing tendency to "immunize for protection," which limits the ability of both uniformed and civilian personnel to deal with local populations, gain their hearts and minds, mediate local conflicts and gather information - actions that are crucial for the implementation of peace agreements and conflict resolution efforts.	1
This political incident was strongly denounced through a press release issued by the office of President Ernest Bai Koroma, as well as by numerous press statements issued by political interest groups, including the General People &apos; s Congress, the People &apos; s Movement for Democratic Change, the Independent Media Commission, the Political Parties Registration Commission and the Good Governance Campaign.	1
The European Union also supported the statement made by my Special Representative on 8 September, in which he emphasized that a military solution to the problems facing the transitional federal institutions was not an issue at all.	0
"The Security Council expresses its deep concern at the humanitarian impact of the conflict on the Angolan people.	1
The immunities currently granted to other public officials, such as police officers, for human rights violations should also be abolished.	0
In paragraphs 1 and 2 of resolution 2118 (2013), the Security Council decided that the use of chemical weapons wherever they may constitute a threat to international peace and security and condemned in the strongest terms any use of chemical weapons in the Syrian Arab Republic.	1
As a result, 1,045 soldiers were killed, 1,452 injured and 692 injured.	0
Throughout the reporting period, Ambassador Gennady Tarasov, High-level Coordinator, focused his activities on the task of building confidence and bridges of cooperation between Kuwait and Iraq with a view to enhancing their active involvement in the search for missing persons and property and encouraging them to make clear and concrete progress towards the implementation of the objectives set out in paragraph 14 of Security Council resolution 1284 (1999).	0
Beyond the MINURCAT area of responsibility, other developments are also of concern.	1
Some of these children were recruited into the Maoist army in violation of the Comprehensive Peace Agreement, while others were recruited into organizations affiliated to CPN (M). Approximately 30 per cent of these children were released after a few days with CPN (M), and some 20 per cent later found to be in Maoist army cantonments.	0
"The Security Council strongly condemns the continued use of Afghan territory, in particular areas controlled by the Taliban, to harbour and train terrorists and to plan terrorist acts, reaffirms its conviction that the suppression of international terrorism is essential for the maintenance of international peace and security, and insists that the Taliban cease providing shelter and training to international terrorists and their organizations, take effective measures to ensure that territories under their control are not used to establish terrorist installations and camps, prepare or organize terrorist acts against other States or their citizens, and cooperate with efforts to bring indicted terrorists to justice.	1
Some government soldiers were killed without trial.	0
73. Changes need to be made to the mechanism for submitting reasons, whether de-listing or de-listing, to ensure timely implementation and substantive content that properly reflects the independent reviewer &apos; s analysis and findings.	0
In this connection, I received a letter dated 6 December 2007 from the Permanent Representative of Morocco to the United Nations (S/2007/714) and a further letter dated 12 December 2007 from the Minister for Foreign Affairs and Cooperation of Morocco (S/2007/731), each containing allegations of violations of the provisions of the military agreements reached in 1991.	1
Condemns the continued illicit flow of arms within and into [the affected State] in violation of [sanctions] resolutions, and declares its determination to continue to monitor directly the implementation of the arms embargo and other measures specified by its [affected State] resolutions.	1
2. It is regrettable that, since my previous report to the Security Council, limited progress has been made in the implementation of the provisions of the Pretoria Agreement on the peace process in C̫te d &apos; Ivoire (S/2005/270, annex I) of 6 April 2005, and the huge gap in the positions of the parties has widened.	1
The Committee will seek to ensure that national reports, reports on visits and other relevant information are fully shared by both committees and expert groups, including with regard to organized visits to States and other official travel and technical assistance tasks.	0
5. Also reaffirms its strong condemnation of all acts of violence and abuses committed against civilians in situations of armed conflict, in contravention of applicable international obligations, in particular: (i) torture and other prohibited treatment; (ii) gender-based and sexual violence; (iii) violence against children; (iv) recruitment and use of child soldiers; (v) trafficking in human beings; (vi) forced displacement; and (vii) deliberate denial of humanitarian assistance, and calls upon all parties to put an end to such practices;	1
360. It is clear from the information gathered and examined by the Commission that rape or other forms of sexual violence committed by Janjaweed or Government soldiers in Darfur were widespread and systematic and could therefore amount to a crime against humanity.	0
While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side claimed that the other was responsible for provoking the incident.	1
Government forces intervened late in the course of the events by firing from within their camp, but their efforts were too late and insufficient to save lives or property.	0
Unfortunately for Hizbullah &apos; s actions, and as I said Israel has the right to defend itself, the use of excessive force must be condemned.	1
(b) The General Assembly and the Human Rights Council should expand the terms of reference of the human rights monitoring and reporting mechanisms of the Democratic People &apos; s Republic of Korea established prior to the establishment of the Commission; these include the periodic reports of the Secretary-General and the Office of the United Nations High Commissioner for Human Rights, as well as the mandate of the Special Rapporteur on the situation of human rights in the Democratic People &apos; s Republic of Korea.	0
Reaffirming also the imperative of combating terrorism in all its forms and manifestations by all means, in accordance with the Charter of the United Nations, and stressing also that States must ensure that all measures taken to combat terrorism comply with all their obligations under international law and adopt such measures in accordance with international law, in particular international human rights, refugee and humanitarian law,	0
:: Clear guidelines/guidance are developed to determine what missions can do to protect civilians, including practical protection measures such as intensive and regular security patrols in potentially unstable areas and the establishment of joint protection teams or early monitoring cells.	0
In some cases, internally displaced persons were denied access to their nearby livestock and crops, owing to the risk of Janjaweed attacks outside the camps.	1
At this moment, Qassam rocket fire continues to be deliberately directed from Gaza against the civilian population, targeting innocent civilians and terrorizing them while sleeping in their tricksters, sitting in their living rooms, or taking their children to school.	1
In this climate of insecurity, political parties &apos; freedom of opinion is threatened and even restricted.	1
The Council urged the Sudan and South Sudan to fully implement their obligations under the 29 June 2011 Agreement on a Safe Demilitarized Border Zone and the 30 July 2010 Agreement on a Joint Border Verification and Monitoring Mechanism, and urged the two Governments to cooperate fully with each other and to provide full support to UNISFA to enable it to carry out its mandate.	0
The genuine establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an army and the establishment of an effective and democratic justice system and police force.	1
Inadequately defined names may also lead to the application of sanctions to persons other than those targeted.	1
According to reports, the United Nations arms embargo continues to be violated, and arms flows to the country have increased.	0
As long as we are discussing the development challenges facing Afghanistan, the recent incident justifies the bleak picture of the security situation.	1
25. Requests all Member States, and in particular the Government of Afghanistan, to inform the Committee of any information received indicating that there is a need to consider applying the provisions of paragraph 1 of this resolution to an individual, group, undertaking or entity who has been delisted, and further requests the Government of Afghanistan to submit to the Committee an annual report on the status of individuals who have reportedly been reconciled and removed from the list by the Committee in the previous year;	0
