ar_en_TRANSFORMERS	VerCoop
For example, States in the Sahara region have found it difficult to deal with mobile terrorist training camps run by Al-Qaida in the Islamic Maghreb (listed as QE.T.14.01).	0
Some reports, while a few confirmed that the elements of genocide were present in the patterns and nature of violations committed by the Government and its militias.	0
:: 2 June 2005, journalist Samir Kassir was killed by a car explosion in eastern Beirut.	0
In this regard, the Security Council commends the support provided by neighbouring States to refugees from the Democratic Republic of the Congo.	1
Those meetings will include periodic briefings by the working groups responsible for tracking progress on national monitoring and implementation; assistance; cooperation with international organizations, including the Security Council Committee established pursuant to resolution 1267 (1999) and the Security Council Committee established pursuant to resolution 1373 (2001); and transparency and media outreach.	1
The Council also deplored the adoption of the resolution by the Assembly of Kosovo and agreed with the Special Representative that those resolutions adopted by the Assembly, on matters not within its competence, were null and void.	0
Recognizing that most States have undertaken binding legal obligations under treaties to which they are parties, or other obligations with a view to preventing the proliferation of nuclear, chemical or biological weapons, and have taken effective measures to account for, secure and physically protect sensitive materials, such as those required by the Convention on the Physical Protection of Nuclear Material and the measures recommended in the Code of Conduct on the Safety and Security of Radioactive Sources of the International Atomic Energy Agency,	1
(c) The Commission shall have the authority to determine the location and methods of interviewing Syrian officials and persons whom the Commission deems relevant to the inquiry;	1
Recalls the prohibition of the forced displacement of civilians in situations of armed conflict under circumstances that violate the obligations of the parties under international humanitarian law.	0
The phenomenon of foreign terrorist fighters cannot be addressed by security means alone.	0
The meeting took the form of a very ad hoc question-and-answer session, during which the tripartite group responded to questions from the members of the Working Group.	1
Despite those challenges, we cannot fail to acknowledge that nearly 50 per cent of the Afghan people live in areas for which responsibility for security has been transferred to the Afghan security forces.	0
They noted that Somalia would continue to require substantial capacity-building assistance to ensure that pirate gangs could not return to peak levels.	0
One soldier grabbed the baby and threw it away on the side of the road.	0
Urge relevant regional and/or subregional bodies to develop and implement policies and activities in favour of civilians affected by armed conflict, and advocate for this.	1
