en	es	ar	Relevant
Colombia, Chile, Paraguay and Peru have also enacted legislation giving their law enforcement authorities special investigative powers.	En Colombia, Chile, el Paraguay y el Perú también se han promulgado leyes que otorgan facultades especiales para la investigación a las fuerzas del orden.	وقد سنّت باراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطات خاصة في مجال التحقيق للسلطات المعنية بإنفاذ القانون.	1
To request the secretariat to provide status updates on the issue of potential duplicate awards in categories A and C for the Working Group's continued consideration at its future meetings and to keep it on the agenda for the next Governing Council session; and that the request by the secretariat be approved for the extension of five staff members to 31 December 2005 to provide support to the forensic accountant experts and to implement any recommendations that may be made concerning potential duplicate awards.	Pedir a la secretaría que siguiera presentando informes actualizados sobre la cuestión de la posible duplicación de las indemnizaciones en las categorías A y C para que el Grupo de Trabajo siguiera examinándola en sus reuniones futuras y mantener esa cuestión en el programa del próximo período de sesiones del Consejo de Administración; y pedir a la secretaría que aprobara la prórroga del contrato de cinco funcionarios hasta el 31 de diciembre de 2005, para apoyar a los contadores forenses y aplicar las recomendaciones que hagan respecto de la posible duplicación de las indemnizaciones.	أن يطلب إلى الأمانة أن تقدم تقارير عن المستجدات فيما يتصل بمسالة التعويضات المزدوجة المحتملة من الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها خلال اجتماعاته المقبلة، وأن تبقي المسألة على جدول أعمال الدورة التالية لمجس الإدارة، وأن تتم الموافقة على طلب الأمانة تمديد عقود خمسة من الموظفين حتى 31 كانون الأول/ديسمبر 2005، لتقديم الدعم لخبراء المحاسبة في مجال الأدلة الجنائية وتنفيذ أية توصيات يمكن أن تُقدم بخصوص التعويضات المزدوجة المحتملة.	0
But, although the Team does not assess that paramilitary technical advice available on the Internet presents a threat on a par with real-life training, the potential will increase as the quality of advice improves.	Si bien el Equipo de Vigilancia no estima que la capacitación técnica paramilitar disponible en Internet constituye una amenaza equivalente al entrenamiento real, sus posibilidades aumentarán a medida que aumente la calidad de la capacitación.	ولكن رغم أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا يضاهي التدريب الميداني، فإن إمكانياتها تتزايد مع تحسين نوعية المشورة المقدمة.	0
:: The establishment of the 2015-2017 priority investment programme, in the amount of 7,208 billion CFA francs (approximately $15 billion).	:: El establecimiento del programa de inversiones prioritarias para 2015-2017, por un monto de 7.208 millones de francos de la Comunidad Financiera Africana (CFA) (unos 15.000 millones de dólares).	:: وإنشاء برنامج استثمارات ذات أولوية للفترة 2015-2017 تبلغ قيمته 208 7 بلايين فرنك من فرنكات الجماعة المالية الأفريقية (حوالي 15 بليون دولار).	0
He emphasized the need to foster dialogue within the transitional federal institutions and encouraged his interlocutors to use their influence towards that end.	Destacó la necesidad de fomentar el diálogo en las instituciones federales de transición y alentó a sus interlocutores a ejercer su influencia con ese fin.	وأكد على ضرورة تعزيز الحوار في إطار المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لبلوغ تلك الغاية.	1
The stakes are undeniably high, as failure to meet the deadline for the referendums prescribed by the Comprehensive Peace Agreement could have severe consequences.	Lo que está en juego es, sin lugar a dudas, muy importante, ya que si no se cumple el plazo prescrito en el Acuerdo General de Paz para la celebración de los referendos podrían resultar consecuencias graves.	والمخاطر كبيرة دون شك لأنّ عدم الوفاء بالموعد النهائي المحدّد في اتفاق السلام الشامل لإجراء الاستفتاءين قد تكون له عواقب خطيرة.	1
Some Council members expressed concern at the fact that it had not yet been possible for the investigations of crimes committed by the rebels to progress.	Algunos miembros del Consejo mencionaron con preocupación el hecho de que todavía no hubieran avanzado las investigaciones de crímenes cometidos por los rebeldes.	وأعرب بعض أعضاء المجلس عن قلقهم لأن الظروف لم تسمح حتى الآن ببدء التحقيق في الجرائم التي يرتكبها الثوّار.	1
The Counter-Terrorism Committee Executive Directorate, for example, has worked extensively with States to build their border management capacities to control terrorist movements and their criminal justice capacity to tackle money-laundering.	La Dirección Ejecutiva del Comité de las Naciones Unidas contra el Terrorismo, por ejemplo, ha trabajado intensamente con los Estados para fortalecer su capacidad de gestión de las fronteras a fin de controlar los movimientos de los terroristas y su capacidad en materia de justicia penal para combatir el blanqueo de dinero.	فالمديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، عملت بشكل مكثّف مع الدول من أجل بناء قدرات هذه الدول في مجال إدارة الحدود لمراقبة تحركات الإرهابيين، وقدراتها في مجال العدالة الجنائية على التصدي لغسل الأموال.	1
7. Calls upon all States to act strictly in accordance with the provisions of this resolution, notwithstanding the existence of any rights or obligations conferred or imposed by any international agreement or any contract entered into or any licence or permit granted prior to the date of coming into force of the measures imposed by paragraph 4 above;	7. Insta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de esta resolución, independientemente de la existencia de derechos conferidos u obligaciones impuestas en virtud de un acuerdo internacional o un contrato firmado, o de cualquier licencia o permiso concedido antes de la fecha de la entrada en vigor de las medidas previstas en el párrafo 4 supra;	٧ - يطلب إلى جميع الدول التقيد بأحكام هذا القرار بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد تم إبرامه أو أي ترخيص أو إذن ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة في الفقرة ٤ أعﻻه؛	1
2. Calls upon the Syrian government to implement visibly its commitments in their entirety, as it agreed to do in the Preliminary Understanding and as stipulated in resolution 2042 (2012), to (a) cease troop movements towards population centres, (b) cease all use of heavy weapons in such centres, (c) complete pullback of military concentrations in and around population centres, as well as to withdraw its troops and heavy weapons from population centres to their barracks or temporary deployment places to facilitate a sustained cessation of violence;	2. Exhorta al Gobierno de Siria a que cumpla visiblemente la totalidad de sus compromisos, como convino en hacer en el Entendimiento Preliminar y según se dispone en la resolución 2042 (2012), de: a) detener los movimientos de tropas hacia los centros de población, b) dejar de utilizar armas pesadas en esos lugares, y c) terminar de retirar las concentraciones militares en los centros de población y en sus alrededores, así como sus contingentes y el armamento pesado de los centros de población a sus cuarteles o sitios de despliegue temporal, a fin de facilitar un cese sostenido de la violencia;	2 - يدعو الحكومة السورية إلى أن تنفذ بشكل واضح كل الالتزامات التي وافقت على الوفاء بها في التفاهم الأولي وعلى نحو ما ينص عليه القرار 2042 (2012)، وهي (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف كل استخدام للأسلحة الثقيلة في تلك المراكز، (ج) إكمال سحب الحشود العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية لتعود إلى ثكناتها أو إلى مواقع نشر مؤقتة لتسهيل وقف مستمر لإطلاق النار؛	1
