en	MatConf
13. The joint communiqué committed the Government to undertake measures to end impunity, investigate reported cases of violations and ensure that all individuals and groups accused of human rights abuse were brought to justice without delay.	0
According to testimonies, thousands of members of the security forces may have been in action on those days in Abidjan.	1
The Team has noted that Al-Qaida, the Taliban and their associates will use whatever explosives are available, for example military grade explosives in areas of conflict, or the necessary components to improvise an explosive device, such as ammonium nitrate, elsewhere (S/2007/132, para. 90).	1
After the attack, the whole population of the area went to Kailek.	1
The CPN-M frequently targeted and recruited many girls -- many of whom joined to escape traditional restrictions on their lives.	1
Daily newspapers like Fraternité Matin and Notre Voie which are close to the Front populaire ivoirien political party publish nationalist messages and incitement to total war.	1
This provision is obviously not applicable in this case since the crimes occurred in the Sudan and were allegedly committed by Sudanese nationals.	1
This was the third rocket launched from Gaza into Israel since the summer.	1
5. Calls upon all States to continue to take urgent steps to enforce and strengthen through legislative enactments or administrative measures, where appropriate, the measures imposed under domestic laws or regulations against their nationals and other individuals or entities operating in their territory, to prevent and punish violations of the measures referred to in paragraph 1 of this resolution, and to inform the Committee of the adoption of such measures, and invites States to report the results of all related investigations or enforcement actions to the Committee, unless to do so would compromise the investigation or enforcement actions;	0
The maintenance by Hizbullah of sizeable sophisticated military capabilities outside the control of the Government of Lebanon creates indeed an atmosphere of intimidation and represents a key challenge to the safety of Lebanese civilians and to the Government's monopoly on the legitimate use of force.	1
The attackers caused substantial damage to the main entrance gate, a section of the prison's external perimeter wall, razor wiring on the perimeter wall and the prison's only prisoner transport truck.	1
Regarding the deployment of UNMISS, she noted that the force was making every effort, as the additional deployment was completed, to extend its presence outside the bases.	1
We urge all parties to act with restraint and to avoid provocative actions or pronouncements that may trigger further violence.	0
50. The Committee therefore decided to retain on the List, until the necessary documentation is available, the names of 45 individuals whose death is already reflected on the List or has been reported to the Committee by at least one Member State.	0
While neither side appears ready to return to war, there is a concerning pattern of escalation and destabilization that could lead to large-scale confrontation and put more civilian lives at risk.	0
We give basic training (for example, on the use of weapons, discipline, ...) which can take two weeks or so, depending on the individual.	1
5. The Security Council extended the partial suspension of the arms embargo for the development of the security forces of the Federal Government of Somalia on two occasions: in resolution 2142 (2014), for a period of six months, and in resolution 2182 (2014), until 30 October 2015.	1
42. The position paper openly presents some of the difficulties of the situation facing the Government. It states that the Ivorian army, being in a situation of self-defence, only reacted to the attacks of the assailants for the purpose of freeing the Ivorian territory and ensuring the safety of peoples and properties.	1
They are accessible through the INTERPOL website and can be printed and distributed, along with other law-enforcement information, to border posts that do not have an Internet connection.	0
37. In July 2007, the Government put forward a bill to set up a Truth and Reconciliation Commission, which is currently being consulted with a number of stakeholders.	0
Convinced also that a political settlement of the conflict is likely to advance the struggle against the scourge of terrorism and related activities, which are always present in the region, and to help eradicate them;	1
The attackers were described as wearing the same khaki uniforms as the Government soldiers, and were armed with Kalashnikovs G-3s and rocket-propelled grenades (RPGs).	1
▪ Systematic coordination, between the civil and military components of the mission and between the mission and humanitarian actors, in order to consolidate expertise on the protection of civilians.	0
85. Unless the differences within the transitional federal institutions are addressed, the current political impasse could grow into deeper divisions and undermine the very institutions that the people of Somalia so ardently desire and the international community and the United Nations are willing to support.	0
Third, the Taliban have suffered the death or arrest of many mid-level and some senior leaders, and while there are many who can take their place, the new commanders are younger and have fewer links with the Quetta Shura, which therefore has less control over their actions and a harder job in asserting its authority over the movement as a whole.	1
Reaffirming its call upon all States to become party to the international counter-terrorism conventions and protocols as soon as possible, whether or not they are a party to regional conventions on the matter, and to fully implement their obligations under those to which they are a party,	0
At the same time, President Al-Bashir is threatening the international community with retaliation and yet more crimes.	0
Commending the progress made so far by the Counter-Terrorism Committee established by the Security Council under paragraph 6 of resolution 1373 (2001) acting under Chapter VII of the Charter in discharging its important responsibility to monitor the implementation of that resolution,	0
According to another State, any comprehensive State-led response to counter extremism must consider communities themselves as an integral part of the national security framework.	0
The Government acknowledged the attack and offered to compensate the victims.	0
30. Given that multilateral funding has been suspended, the Government of Côte d'Ivoire is dependent on the cocoa crop to maintain solvency and succeed in paying its civil servants, including the military. Cocoa plays an important role in providing funds for the off-budget and extrabudgetary military procurement efforts of the Government and, although the amount of revenue from cocoa has declined, the percentage taken from what is available is still high.	1
(b) Enhance the legislative and regulatory frameworks for countering the financing of terrorism, including through criminalizing the financing of terrorism, adopting necessary measures to freeze funds without delay, and conducting risk assessments of the non-profit sector;	0
According to them, the children were orphaned as a result of the conflict and SLA takes care of them.	1
In Indonesia, Jemaah Islamiyah appears to have moved away from large, vehicle-borne improvised explosive devices, composed of commercial or improvised explosives (potassium chlorate, sulphur and aluminium powder combined with a primer such as TNT) as used in the first Bali bombing in October 2002, towards a more targeted approach where individuals carry smaller bombs into the target area, as seen in the second Bali attacks in October 2005.	1
For example, States in the Sahara region have found it difficult to deal with mobile terrorist training camps run by Al-Qaida in the Islamic Maghreb (QE.T.14.01.).	1
56. The police and security forces of the Democratic People's Republic of Korea systematically employ violence and punishments that amount to gross human rights violations in order to create a climate of fear that pre-empts any challenge to the current system of government and to the ideology underpinning it.	1
According to the World Bank, nothing so undermines investment climates as armed insecurity.	1
But, although the Team does not assess that paramilitary technical advice available on the Internet presents a threat on a par with real-life training, the potential will increase as the quality of advice improves.	1
However, the effectiveness of controls could be significantly improved by increasing police patrols and acquiring detection equipment, particularly in light of the subregion's porous borders.	1
The assets freeze can constrain terrorist financiers, limiting their access to the formal banking system and limiting their scope for partnering with legitimate business entities.	1
Urge States, United Nations entities, regional and subregional organizations and other concerned parties, to take appropriate measures to control illicit subregional and cross-border activities harmful to children, as well as other violations and abuses committed against children in situations of armed conflict in violation of applicable international law.	0
The Commission verified the presence of two grave sites in the village -- one said to contain the bodies of two men, and another with the bodies of seven men, all of whom died during the attack.	1
Emphasizing that a comprehensive and coordinated return of refugees and displaced persons throughout the region continues to be crucial to lasting peace,	0
Measures of its success are hard to identify, and the apparent resilience of its target groups raises questions as to its impact and brings focus on its deficiencies.	0
a) if by the act described in paragraph 1 above he or she causes serious bodily harm to at least two persons or death, or	1
It remains to be seen whether it can link up with extremists in Nigeria in an effective alliance.	1
8. We are also deeply concerned about the worsening of the scourge of terrorism and violent extremism in the Sahelo-Saharan region, as well as the close links that terrorist armed groups maintain with transnational organized crime, particularly drug and human trafficking, money-laundering and illicit arms trafficking.	0
One of the arrestees was the driver and bodyguard of Majed Hamdan, Mustapha Hamdan's brother, who runs a firm which reportedly provided security for the St. George Hotel.	1
188. Eyewitness accounts of many incidents published in these reports mention that the assailant forces are in uniform, but make a distinction between the uniforms worn by the regular military and the Janjaweed.	1
11. Reaffirms its resolution 1373 (2001) and in particular its decisions that all States shall prevent and suppress the financing of terrorist acts and refrain from providing any form of support, active or passive, to entities or persons involved in terrorist acts, including by suppressing recruitment of members of terrorist groups and eliminating the supply of weapons to terrorists;	0
The Haqqani Network (TE.H.12.12) continues to be directly involved in terrorist attacks in Afghanistan.	1
It will reaffirm the zero-tolerance policy, the need for troop-contributing States to take the necessary disciplinary and judicial measures and the need to attend fully to the victims.	0
The mandate of the Commission is to decide through binding arbitration all claims for loss, damage or injury by one Government against the other, and by nationals (including both natural and juridical persons) of one party against the Government of the other party or entities owned or controlled by the other party that are (a) related to the conflict that was the subject of the Framework Agreement, the Modalities for its Implementation and the Cessation of Hostilities Agreement, and (b) result from violations of international humanitarian law, including the 1949 Geneva Conventions, or other violations of international law.	0
In another case, the Janjaweed attacked Mallaga village in October 2004. Eighteen men were killed and four men and two women injured.	1
Wilful killing of a detained combatant amounts to a war crime.	1
Of particular interest is continued law enforcement cooperation through the South-East European Cooperative Initiative Regional Centre for Combating Trans-Border Crime and by the recently established Police Cooperation Convention for Southeast Europe Secretariat.	0
Afterwards, the soldiers raided homes, and arrested youth and took them onto military buses.	1
The three countries are aware of the sanctions regime and are taking steps to improve implementation, but they have yet to realize fully how the regime might help their national and regional response to the threat.	0
Meanwhile, the first two formed police units were deployed on 5 and 22 August, respectively.	1
48. According to accounts received from the G7 organizers, the demonstrators who wanted to march were told to regroup in large public areas within their communes on their way towards the Plateau of Abidjan, the "red zone".	1
26. In addition to its reports on its trips, the Team submitted some 15 papers in response to requests from the Committee. These covered issues such as Member States' reporting strategies; listed individuals believed to have died; exemptions to the travel ban; cooperation with INTERPOL; humanitarian exemptions; possible cases of non-compliance; the views of the private financial sector towards the sanctions regime; the checklist; working with international and regional organizations; the use of the Internet for terrorist purposes; and a table of Member State experiences in implementing the sanctions.	0
In Somalia, since the beginning of 2007, many of the bombings and suicide attacks that follow the practices of Al-Qaida associated groups in Iraq or Afghanistan have been claimed by Al-Shabaab movement, which is not listed.	1
The subjective element, or mens rea, resides in the accessory having knowledge that his actions assist the perpetrator in the commission of the crime.	1
Nevertheless, since in several cases previously undetected Al-Qaida cells have used such explosives to devastating effect, several States have adopted methods to limit access to critical precursors.	1
The Commission has determined, further, that attackers from all three categories have been identified by victims and other witnesses as Janjaweed.	1
Recent developments in the region reinforce the concerns consistently expressed to the mission by its interlocutors.	0
Apart from the regular meetings of the Council of Arab Ministers of the Interior, no regular and institutionalized exchange of operational information occurs at the subregional level.	0
In accordance with paragraph 39 of this resolution, the Monitoring Team shall operate under the direction of the Committee established pursuant to resolution 1267 (1999) and shall have the following responsibilities:	0
562. There is another and more specific reason why the political and military leadership of SLA and JEM cannot refuse to accept accountability for any crime committed by their troops in the field if such leadership refrained from preventing or suppressing those crimes.	0
Misinformation compounded identity-based discrimination and stigmatization, and triggered violence among and within communities.	1
Timelines for the completion of the destruction of Syrian chemical weapons were provided in the overall report on the elimination of the Syrian chemical weapons programme (paragraph 25 of EC-76/DG.16, dated 4 July 2014), which was noted by the Council at its Seventy-Sixth Session.	0
Many villages are said to have been attacked more than once, until they were completely destroyed.	1
According to Australian official sources, training includes bomb-making and suicide bombing techniques.	1
The Commission also recognizes the need to address the availability of remedies for persons who have suffered as a result of the events of April and May.	0
