en	MatCoop
At the closed consultations that followed, members of the Council underlined the importance of further efforts aimed at advancing security sector reform and establishing democratic and effective national institutions.	0
The team for Western Darfur was composed of two investigators and a military analyst, supported by one or two forensic experts, according to requirements.	1
11. Other investigations have been undertaken or envisaged by the Government or State institutions. These include an investigation by a parliamentary commission, an investigation by the Ministry of Human Rights and an investigation by the Ministry of Justice through a national commission that should soon be established.	1
The International Criminal Investigation Training Assistance Programme and EC CARDS have agreed to provide instruction for local police trainers, to enable them to teach both specialists and senior managers.	1
The Minister of Security has now taken over the chairmanship of the Ministerial Consultative Meeting on Police Matters (originally established by IPTF), through which he coordinates and oversees the political aspects of all the state-level police agencies. In the past six months a series of important new laws have been drafted and adopted, particularly a law that creates and regulates a new Immigration Service, an updated law governing the working of the State Border Service and a law on police officials.	1
On 20 July, the Council met in an open debate (4174th meeting) to consider its role in the prevention of armed conflicts.	1
Other members noted the initiative of the Government of the Sudan to investigate the allegations through its national mechanism and called for the resolution of conflicts through negotiations under the auspices of the African Union High-level Implementation Panel for the Sudan, led by the former President of South Africa, Thabo Mbeki, and the Special Envoy of the Secretary-General for the Sudan and South Sudan, Haile Menkerios.	1
Despite the great deal of evidence to back this up, at no time has the Government of the United States manifested its intention to prosecute Luis Posada Carriles for his terrorist activities.	0
Constraints to humanitarian access that have the most severe effects on people in need of humanitarian assistance include restrictions on movement of humanitarian workers or goods (including physical and bureaucratic obstacles); absence of agreed mechanisms with the parties to conflict for the delivery of assistance during hostilities; interference in the delivery of humanitarian assistance, including demands for payment; and violence against humanitarian actors, including physical attacks on humanitarian workers and on convoys.	0
The report included a bleak description of the situation in the region, characterized by more acts of violence and terrorism.	0
The United Nations Development Group collaborates with the Executive Committees in support of the broader goal of peacebuilding and develops policies, guidelines and procedures to improve the work of the United Nations country team network.	1
We hope that, faced with this clear threat to international peace and security, the Security Council will act without employing the double standard that has characterized its past action on this matter, in order to urgently and decisively adopt the draft resolution that is being put forth by Algeria on behalf of the members of the Arab Group.	0
Ø Call for strict compliance by parties to armed conflict with the rules of international humanitarian law and human rights law prohibiting rape, sexual slavery, enforced prostitution, forced pregnancy, enforced sterilization or any other form of sexual violence.	0
He expressed concern at the increase in demolition of buildings in Palestine, the risk of the forcible transfer of the Um al-Kheir Bedouin community and the ongoing settlement activity of Israel, which, he said, constituted a violation of international law.	0
The Committee also conducts periodic reviews of the names of individuals reported to be deceased and of entities reported to be defunct.	1
In the opinion of the Commission therefore, these may amount to crimes against humanity.	0
43. Reiterates the need to enhance ongoing cooperation among the Committee, the Counter Terrorism Committee (CTC) and the Committee established pursuant to resolution 1540 (2004), as well as their respective groups of experts, including through, as appropriate, enhanced information-sharing, coordination on visits to countries within their respective mandates, on facilitating and monitoring technical assistance, on relations with international and regional organizations and agencies and on other issues of relevance to all three committees, expresses its intention to provide guidance to the committees on areas of common interest in order better to coordinate their efforts and facilitate such cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to be colocated as soon as possible;	1
85. The armed forces also include an operational unit called Borders Intelligence, the primary role of which is to gather information.	1
As recently as May this year, during the Council's discussion (see S/PV.6314) of the Secretary-General's report (S/2010/169) on the United Nations Interim Administration Mission in Kosovo (UNMIK), we drew the international community's attention to the fact that the situation in the province was far from stable and that it was of particular concern.	0
The attackers caused substantial damage to the main entrance gate, a section of the prison's external perimeter wall, razor wiring on the perimeter wall and the prison's only prisoner transport truck.	0
It is thus concerned largely with aspects of social contexts that may be conducive to the spread of terrorism.	0
The technical groups, each of which includes at least one representative of each cluster, deal respectively with technical assistance; terrorist financing; border security, arms trafficking and law enforcement; general legal issues; and issues raised by the Security Council in resolution 1624 (2005), as well as the human rights aspects of counter-terrorism in the context of resolution 1373 (2001). The two units deal with quality control, and public communications and outreach, respectively.	1
68. I welcome the progress achieved in the clearance of mines and explosive remnants of war in Western Sahara.	1
This initiative, open to all Member States, aims to promote measurable reductions in armed violence worldwide as well as tangible improvements in human security by 2015.	1
The Government of Jordan stresses the need for the Israeli Government fully and immediately to halt its acts of violence and destruction in the Gaza Strip and throughout the occupied Palestinian territory, to put an end to its policy of deliberate destruction of Palestinian infrastructure and homes and to cease forthwith its acts of extrajudicial killing, the imposition of collective punishment and its other practices against the Palestinian people.	0
The Sudan has also ratified Convention 182 of the International Labour Organization concerning the Prohibition and Immediate Action for the Elimination of the Worst Forms of Child Labour, which prohibits the forced or compulsory recruitment of children for use in armed conflict.	1
One hundred and forty six States, including non-reporting States, have said that they circulate the List (and any changes) to banks and, to a certain extent, to other financial institutions, as well as to ports of entry and other relevant authorities, but visits reveal that in many States the circulation of up-dates is slow, especially to border posts.	1
All States of the subregion are members of INTERPOL and have established national central bureaux.	1
17. MINURSO continued to enjoy good relations with both the Royal Moroccan Army and the Frente Polisario armed forces.	0
On 12 November, the Council unanimously adopted resolution 2184 (2014), in which the Council renewed for a further 12 months the authorization for States and regional organizations to combat piracy off the coast of Somalia. The resolution stressed the need for a comprehensive response to piracy, including tackling its underlying causes; called for the immediate and unconditional release of all hostages held by Somali pirates; and urged States to ensure that counter-piracy activities took into consideration the need to protect women and girls, in particular, from exploitation.	1
In late 2013, there appeared to be a spike in the number of politically motivated public executions.	0
(c) Prevent the direct or indirect supply, sale and transfer, to these individuals, groups, undertakings and entities from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned and technical advice, assistance, or training related to military activities;	1
Similarly, in terms of recipients of reparations, it was important to look beyond individual victims and also consider affected communities.	1
The Office for Disarmament Affairs made efforts to raise awareness among potential donors in support of the Office-organized regional seminars and workshops.	1
52. With regard to disarmament, UNOCI will continue to support an accelerated implementation of the cantonment of forces, in keeping with the third supplementary agreement.	1
228. Before proceeding with the presentation of the results of the Commission's fact-finding as well as the legal appraisal of these facts, it is worth providing some facts on both the displacement and the destruction, so as to give a clear picture of the magnitude and scale of the situation.	0
For this reason, the rebels had directed their attacks against Government installations, and had deliberately avoided attacking Arab tribes.	0
(c) Mistreatment of Eritrean prisoners of war;	0
The rate of ratification of the international counter-terrorism instruments varies widely: 12 States have ratified at least 10 of the instruments, while 4 States have ratified 5 or fewer.	1
268. From the Commission's findings it is clear that the rebels are responsible for attacks on civilians, which constitute war crimes.	0
(iii) Cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001);	1
(g) The Chief of the Defence Force cannot be held criminally responsible for the shooting of PNTL officers by F-FDTL soldiers after the ceasefire had been established on 25 May;	0
21. The revised strategy envisages both the preparation of more targeted, detailed and sophisticated technical assistance proposals, and more active engagement by the Executive Directorate with key donors, aimed at achieving a better understanding of their priorities and capabilities.	1
