en	VerConf
Demands an end to violence by all sides, to attacks on civilians, peacekeepers and humanitarian personnel, and to other violations of human rights and international humanitarian law...	1
The Operation will also work with the Facilitator to encourage the parties to agree on an effective arrangement for the control of the weapons placed under storage, in keeping with the supervisory role entrusted to UNOCI and the Licorne force under the Ouagadougou Agreement.	0
Thus, where no State objects or presents a delisting request or where the information submitted is insufficient or conflicting, the matter could be referred to the Office.	0
At the same time, in spite of the promises brought by the process of democratic transition, one should not forget that it is an extremely responsible stage in the history of the Middle East that demands the highest vigilance and laborious work in order to rule out miscalculations and unpredictability as to the region's future.	1
"The Security Council further reaffirms the need to combat by all means, in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts. The Council reminds States that they must ensure that any measures taken to combat terrorism comply with all their obligations under international law, in particular international human rights, refugee and humanitarian law.	0
Beyond its immediate consequences, the attack on Aro Sharow and nearby villages is a grave source of concern because it may signal the start of deliberate targeting of internally displaced person populations by militia and the inability, or unwillingness, of Government forces to provide effective protection for the camps and villages where the internally displaced persons reside.	1
Also, greater coordination and interoperability among those organizations, as well as developing and sharing common strategies, operational policies and best practices in civilian crisis management would enhance efficiency and coherence in crisis management.	0
Regarding the humanitarian situation, Guatemala is concerned that, according to the Office for the Coordination of Humanitarian Affairs (OCHA), 20 million people in the Sahel require humanitarian assistance, particularly in Mauritania, Niger, Burkina Faso and Chad.	1
"The Security Council expresses its strong condemnation of this attempt to destabilize Lebanese institutions, in this particular case the Lebanese Armed Forces.	1
Acknowledging the important role played by regional and subregional arrangements in the prevention of, and response to, situations that may lead to genocide, war crimes and crimes against humanity, especially noting Article 4(h) of the Constitutive Act of the African Union,	0
The victim became pregnant as a result of this rape and later gave birth to a child.	0
Promote gender issues and awareness at the national and local level through a network of gender focal points in regional and country offices.	0
It is significant to note that on 22 May 2005, approximately one week before the second battle of Baidoa, a very large arms shipment arrived from Yemen, via the arms-trading networks, at BAM.	0
Somewhere between 1315 and 1330 hours, Lieutenant Colonel Ahmed Al-Assir informed him of the blast and that Mr. Hariri's motorcade had been the target.	1
Reaffirming the obligation of the Member States to freeze without delay funds and other financial assets or economic resources of persons who commit, or attempt to commit, terrorist acts or participate in or facilitate the commission of terrorist acts; of entities owned or controlled directly or indirectly by such persons; and of persons and entities acting on behalf of, or at the direction of such persons and entities, including funds derived or generated from property owned or controlled directly or indirectly by such persons and associated persons and entities,	0
Some concerns have been expressed -- most recently by several presidential candidates -- about the fairness of registration.	1
While we are pleased to note that some 10 million Afghan voters have been registered, we remain concerned that sufficient registration has not taken place in the south and south-eastern parts of Afghanistan, mainly due to security concerns.	1
