en	VerCoop
13. Encourages Interpol to intensify its efforts with respect to the foreign terrorist fighter threat and to recommend or put in place additional resources to support and encourage national, regional and international measures to monitor and prevent the transit of foreign terrorist fighters, such as expanding the use of INTERPOL Special Notices to include foreign terrorist fighters;	1
The leaders of the Provisional Institutions of Self-Government frequently shirk their obligations under resolution 1244 (1999) and the Constitutional Framework.	0
These crimes are subject to universal jurisdiction and, since they have not been prosecuted by the Algerian justice system, they may be brought before any other national or international court.	0
8. On 7 May 2005, General Michel Aoun returned after 14 years in exile and formed the Free Patriotic Movement (FPM) to participate in the legislative elections that began on 29 May and concluded after four rounds on 19 June.	0
Moreover, cases of theft, violence and looting perpetrated by the security forces and the civilian population against the inhabitants of these neighbourhoods have been reported by human rights advocates.	0
States of the Caribbean have, however, adopted the Caribbean Treaty on Mutual Legal Assistance in Serious Criminal Matters (including offences relating to terrorism, terrorism financing, money-laundering and drug trafficking).	0
Decides that [the mission] shall have the following mandate ...: (e) Work closely with the Government to ensure the implementation of its commitments to address serious violations against children, in particular the finalization of the Action Plan to release children present in the [armed forces] and to prevent further recruitment, with the support of the Monitoring and Reporting Mechanism.	0
Condemning in particular sexual violence perpetrated by [militias and armed groups as well as elements of the national armed and police forces] and other security and intelligence services, stressing the urgent need for the [the affected State], in cooperation with [peacekeeping mission] and other relevant actors, to end such violence and bring the perpetrators, as well as the senior commanders under whom they serve, to justice, and calling on Member States to assist in this regard and to continue to provide medical, humanitarian and other assistance to victims.	0
Research shows that when external interventions in domestic conflicts do not lead to a rapid military victory they are likely to make internal conflicts last longer.	0
The Commission also recognizes the need to address the availability of remedies for persons who have suffered as a result of the events of April and May.	1
Since its launch in January 2003, this scheme has aimed to stop the trade in conflict diamonds by ensuring that all rough diamonds traded between its participants (42 States and the European Community) are accompanied by a valid Kimberley Process certificate.	0
6. From 18 February to 13 March, the Royal Moroccan Army undertook a series of pre-scheduled military training exercises in the vicinity of Awsard, involving some 1,200 troops from its infantry, cavalry and artillery units already stationed within the Awsard subsector.	0
They also noted that the increased availability of information about the harmful effects of piracy had led to positive changes in former piracy hotspots.	1
The Syrian Government believes that the issue of the so-called Syrian refugees is, to a large extent, a fabricated one. It hopes that they will return to their homeland and that their presence will not be exploited for political purposes. The notable improvement in the security situation has led sizeable groups to return to their country and resume their work, which the terrorist groups had prevented them from doing.	0
An international tribunal is not considered appropriate given that the crimes under consideration contravene domestic law.	0
Organized crime and corruption have been characterized as the biggest threats to the stability of Kosovo and the sustainability of its institutions.	0
Calling upon States to cooperate fully with the Counter-Terrorism Committee (CTC) established pursuant to resolution 1373 (2001), including the recently established Counter-Terrorism Committee Executive Directorate (CTED), the "Al-Qaida/Taliban Sanctions Committee" established pursuant to resolution 1267 (1999) and its Analytical Support and Sanctions Monitoring Team, and the Committee established pursuant to resolution 1540 (2004), and further calling upon such bodies to enhance cooperation with each other,	1
One soldier sustained a minor injury to his finger as a result of a grenade explosion.	0
14. Invites the Secretary-General to bring to its attention situations where refugees and internally displaced persons are vulnerable to the threat of harassment or where their camps are vulnerable to infiltration by armed elements and where such situations may constitute a threat to international peace and security, expresses, in this regard, its willingness to consider such situations and, where necessary, adopt appropriate steps to help create a secure environment for civilians endangered by conflicts, including by providing support to States concerned in this regard, and recalls, in this regard, its resolution 1208 (1998) of 19 November 1998;	0
My Government believes not only that they are contrary to international law but also that they undermine the concept of the rule of law, which is a key element in the fight against terrorism.	0
17. Through visits to donor countries, the Executive Directorate has been able to gather much more precise information of their regional interests, their counter-terrorism technical assistance capabilities and their existing programmes.	0
The Council demands an immediate end to all attacks by the LRA and urges the LRA to release all those abducted, disarm and demobilise.	0
Since for most purposes the United Nations needs to convey one common message on counter-terrorism, it is appropriate for the Task Force to take the lead in this respect, although the Executive Directorate will also need to maintain its independent public profile and ensure transparency as to its own procedures, as appropriate.	1
First and foremost, concerns on the security front continue to remain paramount.	0
The international commission would be composed of a panel of three eminent personalities having the appropriate experience and a reputation for probity and impartiality.	0
The arms monitors of the United Nations Mission in Nepal (UNMIN) registered and supervised the storage of Maoist army weapons for round-the-clock monitoring.	0
Article 21, paragraph 2, of the annex to Security Council resolution 1757 (2007) provides that, if the Special Tribunal's activities have not been completed by the end of its current mandate, "the Agreement shall be extended ... for a further period(s) to be determined by the Secretary-General in consultation with the Government [of Lebanon] and the Security Council".	1
Import-export of weapons: monitoring and detection of smuggling	0
"The Security Council stresses the urgency of disbanding and disarming all illegal armed groups.	1
The holding of the first open session of the Peace and Security Council on children affected by armed conflict and its proposal to appoint an African Union Special Envoy for Children in Africa were also welcomed.	1
13. During the reporting period, the Committee received 14 requests for exemptions to the arms embargo for non-lethal military equipment pursuant to paragraph 3 of resolution 1356 (2001), one request for an exemption to the arms embargo pursuant to paragraph 11 (b) of resolution 1772 (2007) and a notification pursuant to paragraph 6 of resolution 1744 (2007).	1
It was changed to a panel format where representatives of the Federal Government of Somalia and regional counter-piracy authorities engaged in a discussion with United Nations and European Union bodies and Oceans Beyond Piracy.	1
Arguably, the town of Kulbus was a military target, evidenced by the military camp there.	0
The international community should now be prepared to act with the same determination to protect the interests of Kosovo Serb and other minority communities.	1
The threat to the security and stability of Afghanistan posed by terrorists, criminals and those involved in the illicit drug trade is real and needs to be continuously addressed.	0
As provided in both Security Council resolution 1535 (2004) and the report of the Counter-Terrorism Committee on its revitalization (S/2004/124), the Committee looks forward to a close and cooperative relationship with the Executive Director and his staff with the goal of enhancing the Committee's ability to monitor effectively the implementation of resolution 1373 (2001) by all Member States.	1
"The Security Council calls on the international community to provide, where needed, financial and technical support, as well as adequate training, for national implementation of resolution 1325 (2000), and on the United Nations system, civil society and other relevant actors to collaborate and provide assistance in line with national priorities to Member States, particularly those affected by armed conflict, in the rapid development of national action plans, and work closely with national mechanisms responsible for the implementation of the resolution, including, where appropriate, through the United Nations country teams.	1
213. Abdel-Al also has notable connections to a significant weapons store discovered in southern Beirut in July 2005. This weapons store was raided by ISF on 26 July 2005 and five people with close connections to the former Mourabitoun militia were arrested.	0
