ar	Relevant
كما سنت باراغواي وباراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطات إنفاذ القانون فيها صلاحيات تحقيق خاصة.	1
أن يطلب إلى الأمانة أن تقدم معلومات مستكملة عن حالة مسألة التعويضات المزدوجة المحتملة في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة وأن تبقيها على جدول أعمال الدورة المقبلة لمجلس الإدارة؛ وأن يوافق على طلب الأمانة تمديد فترة خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبة القانونية وتنفيذ أي توصيات قد تقدم بشأن التعويضات المزدوجة المحتملة.	0
ولكن، على الرغم من أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تمثل تهديداً يضاهي التدريب في الحياة الواقعية، إلا أن الاحتمال سيزداد مع تحسن نوعية المشورة.	1
":: إنشاء برنامج الاستثمار ذي الأولوية للفترة 2015-2017، بمبلغ 7,208 مليار فرنك أفريقي (حوالي 15 مليار دولار أمريكي)."	0
وأكد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	1
لا يمكن إنكار أن المخاطر كبيرة بلا شك، حيث أن عدم الالتزام بالموعد النهائي للاستفتاءات المنصوص عليها في اتفاق السلام الشامل قد يكون له عواقب وخيمة.	1
وأعرب بعض أعضاء المجلس عن قلقهم إزاء عدم إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.	1
فقد عملت المديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، على نطاق واسع مع الدول لبناء قدراتها في مجال إدارة الحدود للسيطرة على تحركات الإرهابيين وقدرات العدالة الجنائية على التصدي لغسل الأموال.	1
7. يهيب بجميع الدول أن تتصرف بدقة وفقا لأحكام هذا القرار، بصرف النظر عن وجود أي حقوق أو التزامات يمنحها أو يفرضها أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو إذن ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة بموجب الفقرة 4 أعلاه؛	1
2. يهيب بالحكومة السورية أن تنفذ التزاماتها تنفيذا واضحا في مجملها، على النحو الذي وافقت عليه في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، وذلك من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للحشود العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقت لتيسير وقف العنف بشكل مستدام;	1
