en_ar_DEEPL	MatConf
وهذا التصنيف مطلوب ليس فقط لغرض تحديد ما إذا كانت تلك الجرائم ترقى إلى مستوى الإبادة الجماعية أم لا، بل أيضاً لعملية تحديد هوية مرتكبيها.	1
o في 5 تشرين الثاني/نوفمبر 2014، استهدفت قوات النظام مدرسة حزرما الابتدائية في ريف دمشق، مما أدى إلى إصابة طفل بجروح.	1
وهذا يعني أنها مكلفة بإثبات الوقائع المتعلقة بالانتهاكات المحتملة للقانون الدولي لحقوق الإنسان والقانون الإنساني الدولي المرتكبة في دارفور.	0
إن جمع معلومات دقيقة وموثوقة وموضوعية وفي الوقت المناسب عن العنف الجنسي المرتبط بالنزاعات أمر بالغ الأهمية لتكييف استجابات المجلس، وكذلك لتعزيز العمل على منع العنف الجنسي.	0
585. وليس هناك شك في أن الجرائم المزعومة التي تم توثيقها في دارفور تستوفي الحدود الدنيا لنظام روما الأساسي على النحو المحدد في المواد 7 (1) و 8 (1) و 8 (2) (و).	1
1. يقرر أن تمتنع جميع الدول عن تقديم أي شكل من أشكال الدعم للجهات من غير الدول التي تحاول استحداث أسلحة نووية أو كيميائية أو بيولوجية ووسائل إيصالها، أو احتياز هذه الأسلحة والوسائل أو صنعها أو امتلاكها أو نقلها أو تحويلها أو استعمالها;	0
أحث جميع القادة الصوماليين على اتخاذ الخطوات اللازمة نحو تسوية خلافاتهم.	0
وناقش الاجتماع أيضاً سبل ووسائل زيادة الضغط على الجماعات المسلحة الأجنبية والخطوات التي يتعين اتخاذها في هذا الصدد من قبل الدول المشاركة والاتحاد الأفريقي ومجلس الأمن.	0
79. توجد لدى أربع دول نظم قانونية فعالة لضمان المساعدة القانونية المتبادلة وتسليم المجرمين، ولكن لا توجد لدى أي دولة آليات كافية لتبادل المعلومات مع النظراء الدوليين على وجه السرعة وبصورة فعالة.	0
وفي حين أن اللجنة مقتنعة، استنادًا إلى أدلة الشهود المستقلين، بأن قوات الدفاع عن تيمور الشرقية هي التي بادرت بتبادل إطلاق النار، إلا أن كل طرف كان يعتقد في ذلك الوقت أن الطرف الآخر قد هاجمه.	1
وترد أدناه مناقشة مفاهيم التخطيط للجريمة والأمر بها والتحريض عليها والمساعدة والتحريض على ارتكابها.	1
9. تدعو الدول التي لم تصدق بعد على صكوك القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين الدولي إلى النظر في التصديق عليها، وإلى اتخاذ التدابير التشريعية والقضائية والإدارية المناسبة لتنفيذ التزاماتها بموجب هذه الصكوك؛	0
ومنذ أكتوبر 2013، أحبطت هجومين من هجمات القراصنة ونقلت خمسة قراصنة مشتبه بهم لمحاكمتهم في سيشيل.	1
