en_ar_DEEPL	MatCoop
40. تلقى نحو 490 8 مقاتلا سابقا دعما لإعادة الإدماج من برنامج الأمم المتحدة الإنمائي وشركائه المنفذين في شمال السودان.	1
أسلحة نارية محلية الصنع قنابل المولوتوف الصواريخ المرتجلة المصنوعة في ورش المعادن.	0
فمعظم الدول لديها قدرة محدودة على تجميد الأموال والأصول دون تأخير، ولا تنفذ أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب.	0
وفي حالة أفريقيا، عالج المجلس الوضع الخطير على الحدود بين رواندا وجمهورية الكونغو الديمقراطية، واستعرض استمرار المأزق السياسي بين إثيوبيا وإريتريا، وقيّم تنفيذ حظر الأسلحة المفروض على الصومال، وعزز الجهود الرامية إلى إحياء العملية السياسية المتوقفة في كوت ديفوار.	1
29. وفي غضون ذلك، فإن الجهود التي يبذلها عنصر الشرطة التابع لعملية الأمم المتحدة في كوت ديفوار لإسداء المشورة إلى حكومة المصالحة الوطنية بشأن إعادة هيكلة قوات الدفاع والأمن الإيفوارية والمساعدة في استعادة وجود الشرطة المدنية في جميع أنحاء البلد قد أعاقها الموقف غير المتعاون للسلطات المحلية، وعدم وجود خطة إصلاح شاملة لقوات الدفاع والأمن الإيفوارية، وعدم وجود اتفاق بين الأطراف الإيفوارية بشأن نشر ضباط الشرطة والدرك الإيفواريين في الشمال.	0
10. قدم حلف شمال الأطلسي قوات إضافية لضمان بيئة آمنة ومأمونة لانتخابات الجمعية الوطنية ومجالس المقاطعات المقرر إجراؤها في 18 أيلول/سبتمبر (انظر الفقرة 15).	1
وبمجرد تحديد الوضع المستقبلي، سيتطلب الوجود الدولي - العسكري والمدني - الموارد اللازمة لإدارة تنفيذ التسوية بطريقة مستقرة ومنظمة.	1
ووفقًا لأقواله، فقد كان في مكتبه عندما سمع الانفجار، لكنه اعتقد أن الضجيج كان نتيجة لمرور المقاتلات الجوية الإسرائيلية عبر حاجز الصوت.	0
ويولى اهتمام خاص لقطاع الأمن. ويجري أيضا دراسة إجراءات الحكومة والرئيس ومكتب الأمم المتحدة في تيمور - ليشتي.	1
وتنفذ التدابير المتعلقة بمراقبة الحدود والأمن الداخلي وإنفاذ القانون تنفيذا كاملا في معظم الدول، رغم أن عددا قليلا منها لم يبلغ عن معلومات كافية تسمح بإجراء تقييم في بعض الفئات الفرعية. 139. التوصيات ذات الأولوية هي: (أ) التشجيع على اتخاذ خطوات لتحسين القدرة على تجميد الأموال والأصول المرتبطة بالإرهاب دون إبطاء في معظم الدول، وحماية قطاعها غير الربحي من إساءة استخدام تمويل الإرهاب;	0
وفي إطار مؤتمر القمة أيضا، سيسعى المجلس إلى تعميق التنسيق مع الهيئات الأخرى المتعددة الأطراف العاملة في هذا المجال، مثل فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وكياناتها الـ 31، ومركز الأمم المتحدة لمكافحة الإرهاب، ومكتب الأمم المتحدة المعني بالمخدرات والجريمة، والمنظمة الدولية للشرطة الجنائية (الإنتربول).	1
25. وإدراكا من الفريق للحاجة الخاصة إلى تنسيق عمله مع المديرية التنفيذية للجنة مكافحة الإرهاب والهيئات الأخرى ذات الصلة في المجالات التي قد تشعر فيها الدول بأنها مثقلة بطلبات الحصول على معلومات من مجلس الأمن، وضع الفريق استراتيجية مشتركة مع المديرية التنفيذية والخبراء الذين يدعمون اللجنة المنشأة عملا بالقرار 1540 (2004) لمعالجة المشاكل التي تواجهها الدول التي لم تقدم بعد التقارير المطلوبة من اللجان الثلاث.	0
:: ينبغي أن تكون المنظمات الإقليمية ودون الإقليمية جزءا من نهج متكامل لمكافحة الإرهاب.	1
الإطار الزمني. سيحدد الأمين العام بدء الاستعراض الشامل ووتيرته ومدته على أساس المشاورات التي يجريها المبعوث الخاص، مع مراعاة الوضع على أرض الواقع.	1
وقد أدى المرسوم إلى مزيد من التطورات المتعلقة بإدماج الجماعات المسلحة الكونغولية في القوات المسلحة لجمهورية الكونغو الديمقراطية.	1
وفي حين أن الوصول إلى قاعدة البيانات يقتصر في الوقت الحالي على وكالات إنفاذ القانون، فمن الواضح أن قيمتها تتزايد مع تزايد عدد البلدان التي تقدم المعلومات.	1
ويعرب المجلس عن بالغ قلقه إزاء الحالات التي تتمادى فيها القوات والجماعات المسلحة في ارتكاب انتهاكات وتجاوزات ضد الأطفال المعرضين للنزاع المسلح وحالات ما بعد انتهاء النزاع والمتضررين منه في تجاهل صريح للقانون الدولي الساري وقرارات المجلس في هذا الشأن.	0
103. ومن الواضح أن الإرهابيين سيستخدمون الأسلحة الأكثر موثوقية وفعالية التي يمكنهم الحصول عليها.	0
وعقب المشاورات غير الرسمية، اتخذ المجلس بالإجماع، في 14 أيلول/سبتمبر، القرار 1560 (2004) الذي قدمه الوفد الألماني، والذي مدد بموجبه ولاية بعثة الأمم المتحدة في إثيوبيا وإريتريا حتى 15 آذار/مارس 2005، ووافق على التعديلات التي أدخلت على البعثة (بما في ذلك وجودها وعملياتها على النحو الذي أوصى به الأمين العام في تقريره، الفقرات 13-18). 13-18)، وطلب إلى الأمين العام أن يواصل رصد الحالة عن كثب وأن يستعرض ولاية البعثة في ضوء التقدم المحرز في عملية السلام والتغييرات التي أدخلت على البعثة.	0
ومع ذلك، ظل الوضع محفوفًا بالمخاطر بالنسبة للكثيرين غيرهم، مع تصاعد في خطورة الهجمات ذات الدوافع العرقية - إن لم يكن في تواترها.	0
68. كان مقتل خبيرين من خبراء المكتب في 7 نيسان/أبريل 2014، أثناء قيامهما بمهمة لمكافحة القرصنة في الصومال، تذكيرا واقعيًا بالمخاطر التي يواجهها موظفو الأمم المتحدة في عملهم لتحسين حياة الآخرين.	0
وقد قام أزهري حسين، أشهر صانع قنابل في الجماعة الإسلامية حتى وفاته في نوفمبر 2005، بالإضافة إلى عدد غير معروف من الطلاب العاديين، بتدريب العديد من المدربين الآخرين الذين لا يزالون طلقاء وقادرين على نقل معرفتهم إلى الخلايا في جميع أنحاء جنوب شرق آسيا.	1
وتشير المعلومات المتوفرة لدينا إلى أن المبعوث الخاص يستكشف بالفعل ترتيبات جديدة من شأنها أن تستوعب وترضي عدم امتثال إثيوبيا لشروط اتفاق الجزائر ورفضها لقرار لجنة الحدود.	0
15. غيَّر تنظيم القاعدة في العراق (QE.J.115.04) مؤخرا اسمه إلى الدولة الإسلامية في العراق والشام (داعش) من أجل إضفاء الشرعية على عملياته في الجمهورية العربية السورية وفصل نفسه عن علامة تنظيم القاعدة.	0
ويأتي هذا النهج في أعقاب الالتزام الذي قطعه وزراء منتدى التعاون الاقتصادي لدول آسيا والمحيط الهادئ في تشرين الثاني/نوفمبر 2005 بإجراء تقييم، قبل نهاية عام 2006، لمدى تعرض المطارات للهجوم من قبل أنظمة الدفاع الجوي المحمولة.	1
وأعرب أعضاء المجلس عن قلقهم العميق إزاء التقارير التي تفيد بتجدد القتال والعواقب الإنسانية المترتبة عليه.	0
16. وفي 17 آذار/مارس، أصدرت مجموعة الـ 7 مذكرة صاغت فيها شكاوى ضد رئيس الجمهورية وعددت العقبات والصعوبات التي ينبغي معالجتها من أجل دفع عملية السلام إلى الأمام.	0
32. وتشمل أنشطة منظمة العمل لإزالة الألغام الأرضية أيضا تدريب السكان على التعرف على الذخائر المتفجرة.	1
كما قاموا بزيارة مراكز الشرطة ومكتب المدعي العام للمقاطعة من أجل الحصول على معلومات عن أي حالات اغتصاب مسجلة بالفعل.	1
إجراءات اللجوء محمية من إساءة استخدام الإرهابيين في سبع دول وجزئياً في دولة واحدة.	1
وفي شمال دارفور، اكتظ أكبر مخيم للنازحين في الولاية، وهو مخيم أبو شوك في أبو شوك شمال دارفور، بأكثر من 20,000 وافد جديد من أعمال العنف في العديد من المواقع خلال الشهرين الماضيين.	1
