en_ar_DEEPL	VerConf
وفي الوقت نفسه، فإن هذه المحاكم تفتقر إلى آليات التنفيذ الخاصة بها وتحتاج إلى مشاركة المجلس ودعمه المستمر.	0
36. في 7 نيسان/أبريل، بلغ عدد أفراد الشرطة المنتشرين في عملية الأمم المتحدة في كوت ديفوار 182 1 فردا، مقابل حد أقصى مأذون به يبلغ 200 1 فرد، منهم 434 ضابطا و 748 فردا منتشرين في ست وحدات شرطة مشكلة.	0
2. وقد عُقد هذا الاجتماع عملا بقرار رئيسي الدولتين، رئيس الجمهورية الجزائرية الديمقراطية الشعبية، فخامة الرئيس عبد العزيز بوتفليقة، ورئيس جمهورية مالي، فخامة السيد إبراهيم بوبكر كيتا، بإنشاء هذه الآلية كأداة استراتيجية لمتابعة وتنفيذ أي تدابير يرى الطرفان أنها من شأنها أن تعزز الحل السلمي والدائم لمشاكل شمال مالي.	0
أخيرًا، نحن بحاجة إلى تعميم مشاركة الضحايا وتعويضهم في أعمال هذه المحاكم في المستقبل.	0
وإنه لمن دواعي قلقي البالغ أن أبلغ عن تصاعد الأعمال الإجرامية والهجمات ضد موظفي الأمم المتحدة والعاملين في المجال الإنساني.	1
وفي نهاية المطاف، وبمجرد أن تصبح الظروف مناسبة، ينبغي أن تتضافر جهود هذه المؤسسات والشركات مع الحكومات المعنية لتنسيق الجهود من أجل اعتماد خطة متماسكة لتنمية البلاد وخلق سبل العيش للسكان والنهوض بحالة حقوق الإنسان.	0
فعلى سبيل المثال، لا يزال يتعين على معظم الدول تجريم تمويل الإرهاب واعتباره جريمة أصلية لجريمة غسل الأموال.	1
وتوجد لدى غالبية الدول تشريعات لمكافحة غسل الأموال، وأربعة من تلك الدول تدرج تمويل الإرهاب كجريمة أصلية.	0
ويشدد المجلس على محاسبة جميع المسؤولين عن انتهاكات القانون الدولي، بما في ذلك القانون الإنساني وقانون حقوق الإنسان، وكذلك أولئك الذين أمروا بارتكاب تلك الأعمال.	1
وما لم تعالج الحكومة هذه المشاكل، فإنها يمكن أن تشكل تهديدات خطيرة لأمن واستقرار تيمور - ليشتي.	1
ومع ذلك، نلاحظ أنه من دون وجود قطاع عدالة وأمن مرن، يمكن أن يتعرض السلام والاستقرار المزدهر في البلاد للخطر.	1
