en_ar_DEEPL	VerCoop
وفي ختام المؤتمر، اعتُمدت إعلانات بشأن المجالات المواضيعية الرئيسية، مثل الحوكمة السياسية والاقتصادية؛ وتنمية القطاع الخاص؛ وإدارة الموارد الطبيعية؛ ودعم السيراليونيين في الشتات؛ والمساءلة؛ وأطر استغلال الموارد الطبيعية وتخصيص موارد الدولة.	1
كما تابعوا بدء مهمة مبعوث الأمم المتحدة السيد كوفي عنان للتوصل إلى حل سلمي للأزمة السورية، دون اللجوء إلى إطلاق التهديدات أو الحديث عن التدخل الأجنبي.	1
وإذ يؤكد من جديد ضرورة التصدي بكل الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي، للأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية، مشددا في هذا الصدد على الدور الهام الذي تضطلع به الأمم المتحدة في قيادة هذا الجهد وتنسيقه,	1
غير أن الإضرابات والحصارات الواسعة النطاق التي نفذتها الجماعات السياسية المسلحة وغير المسلحة والأحزاب والجماعات السياسية عطلت النشاط الإنساني والوصول إلى الخدمات الصحية والتعليمية؛ وقد حدث الكثير من هذا التعطيل في تيراي.	0
كما ذُكرت تشاد وغينيا في سياق الإنذار المبكر، حيث كان لتدهور الأوضاع الإنسانية آثار محتملة على الاستقرار الإقليمي.	0
يحث كذلك الأمين العام على السعي إلى توسيع نطاق دور المرأة ومساهمتها في عمليات الأمم المتحدة الميدانية، ولا سيما في صفوف المراقبين العسكريين والشرطة المدنية وموظفي حقوق الإنسان والموظفين العاملين في مجال حقوق الإنسان والمساعدة الإنسانية.	1
ويرى الاتحاد الروسي أن من أولويات الاتحاد الروسي زيادة تعزيز الأساس القانوني الدولي لمكافحة الإرهاب، أولا وقبل كل شيء من خلال إضفاء الطابع العالمي على اتفاقيات مكافحة الإرهاب القائمة من خلال انضمام جميع الدول الأعضاء في الأمم المتحدة إليها.	1
لكن أنشطة إريتريا الاستفزازية لم تقتصر على إصدار إعلانات الحرب.	0
إنشاء لجنة لتقصي الحقائق والمصالحة في كوت ديفوار، بدعم من الأمم المتحدة، مع مراعاة الدروس المستفادة وأفضل الممارسات التي ظهرت في هذا المجال في السنوات القليلة الماضية;	1
التعاون مع لجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)	1
وكما يتضح من الوضع في منطقة بيني، فإن الجهود المبذولة لتحييد الجماعات المسلحة المنتشرة والتي تتمتع بدعم الشبكات الإجرامية المحلية وعناصر من القوات المسلحة لجمهورية الكونغو الديمقراطية تستغرق بعض الوقت لتترجم إلى نتائج ملموسة.	0
وتزود هذه الاجتماعات اللجنة بمعلومات قيّمة عن تنفيذ نظام الجزاءات، وكذلك عن التهديد الذي يشكله تنظيم القاعدة والمرتبطون به، وتوفر منتدى لمسؤولي الاستخبارات والأمن من مختلف البلدان للتفاعل مع بعضهم البعض ومع الفريق وتبادل المعلومات.	0
كما تم تقديم توصيات تتعلق بإشراك الجهات الفاعلة الوطنية لضمان المعرفة الكافية بالخلفية الاجتماعية والسياسية والثقافية ذات الصلة بالقضايا ولتعزيز تطوير قطاع العدالة الوطنية.	1
وأفادت وكيلة الأمين العام كذلك بأن أعمال العنف وانتهاكات حقوق الإنسان استمرت بشكل يومي. وشمل ذلك استخدام التعذيب والقتل والاغتصاب والاسترقاق من قبل تنظيم الدولة الإسلامية في العراق والشام (داعش)، والعقوبات والهجمات على الخدمات المدنية من قبل جماعات المعارضة بما في ذلك الجماعات المصنفة إرهابية، والهجمات الجوية، بما في ذلك بالبراميل المتفجرة، من قبل الحكومة ضد المناطق المدنية ومخيمات النازحين داخليا والمرافق المدنية.	0
وينبغي أن يحدد التقرير أيضا المساهمات التي يمكن أن يقدمها المجلس من أجل التنفيذ الفعال للقانون الإنساني القائم. وينبغي أن يبحث التقرير ما إذا كانت هناك أي ثغرات كبيرة في القواعد القانونية القائمة، من خلال استعراض التقارير الأخيرة في هذا الصدد.	1
وقد برز دور الجنجويد في بعض الحوادث التي ساهمت في التدمير، لا سيما من خلال إلحاق الأذى بالسكان المدنيين ومن خلال عمليات النهب الواسعة النطاق أثناء المعركة أو بعدها.	0
27. وستؤكد البعثة من جديد استعداد المجلس لدعم جهود السلطات الانتقالية لمكافحة الإفلات من العقاب في جمهورية الكونغو الديمقراطية.	1
أدى استبعاد أشكال أخرى من الاعتداء الجنسي من نطاق التحقيق إلى ترك عدد كبير من الادعاءات دون معالجة.	0
('5` العمل مع المنظمات الدولية والإقليمية ذات الصلة من أجل تعزيز الوعي بالتدابير والامتثال لها;	1
توجد لدى خمس دول تدابير جزئية لحماية إجراءات اللجوء من إساءة الاستخدام، وأدخلت دولتان هذه الضوابط بشكل كامل.	0
هاجموا وقتلوا 54 شخصًا، وأصابوا 24 آخرين بجراح وأحرقوا المنازل قبل أن ينسحبوا حاملين معهم الماشية والممتلكات المنزلية المنهوبة.	0
وكان الغرض من الاجتماع الخاص هو اتخاذ الخطوة الأولى في تحسين الوعي الإقليمي بنظام الجزاءات المفروضة على تنظيم القاعدة وتشجيع المزيد من المشاركة بين اللجنة وبلدان الساحل والمغرب العربي.	0
وقد تم إنشاؤها استجابةً لادعاءات بانتهاكات القانون الدولي لحقوق الإنسان والقانون الإنساني الدولي في سياقات النزاع وكذلك في حالات ارتفاع مستويات العنف، والتي غالباً ما تكون مرتبطة بالعمليات الانتخابية أو السياسية ولكن ليس حصرياً بها، والتي تنطوي على انتهاكات خطيرة لقانون حقوق الإنسان.	0
وقد أبلغني رئيس الوزراء السنيورة على وجه الخصوص أن بند القرار المتعلق بنزع سلاح الميليشيات وحلها يخضع لحوار داخلي بدأه مؤخراً وهو ملتزم بالوصول به إلى خاتمة ناجحة.	1
وتشارك دول المنطقة دون الإقليمية على نحو متزايد في المشاريع والبرامج الإقليمية (التي تشجع على التماس المعلومات والاستخبارات وجمعها وتبادلها) كوسيلة لتعزيز القدرة على التصدي لتهديدات الإرهاب والجريمة المنظمة المتصلة بالحدود.	0
601. ولذلك يقترح إنشاء لجنة دولية للتعويضات تتألف من 15 عضوا، 10 أعضاء يعينهم الأمين العام و5 أعضاء تعينهم هيئة سودانية مستقلة.	1
يحث الأطراف الموقعة على [اتفاق السلام] على العمل من أجل التوصل إلى حل مستدام لعودة النازحين الطوعية وإعادة توطينهم وإعادة إدماجهم وتأمينهم، بما في ذلك معالجة مسائل حيازة الأراضي، بدعم من منظومة الأمم المتحدة، والوفاء في هذا الصدد بالتزاماتها وفقا لـ ... الاتفاق السياسي والتزاماتها بموجب القانون الدولي.	1
سيحتاج المجتمع الدولي إلى قوة للمضي قدمًا في عملية تحديد الوضع الراهن.	1
تفاوض العقيد ريس ونائبه مع العميد رواك الذي اعتذر عن إطلاق النار.	0
