en_ar_DEEP	MatConf
ولكن إلى حد ما، تمكن تنظيم القاعدة من التعافي من خسارة أفغانستان كقاعدة تدريب للإرهاب من خلال استغلال الوضع في العراق.	1
وأعرب المدعي العام عن أسفه لتدهور الوضع الأمني ​​في ليبيا، وتزايد عدم الاستقرار السياسي، ونتيجة لذلك، فإن البيئة الحالية لم تكن مواتية لسد فجوة الإفلات من العقاب في ليبيا.	0
51 - ومن العوائق المحتملة أمام تنفيذ الإجراءات القانونية الواجبة الفعالة من خلال مكتب أمين المظالم إمكانية فرض قيود على السرية من شأنها أن تمنع الكشف عن هوية الدولة صاحبة الاقتراح لمقدم الطلب والدول المعنية المشاركة في القضية.	1
وإذا أصبحت أفغانستان أقل جاذبية من حيث الأهداف بالنسبة للجماعات المسلحة، فقد تعيد تركيز جهودها على بلدانها أو على بلدان أخرى.	1
33 - واصلت البعثة توعية الموظفين بقواعد وأنظمة الأمم المتحدة ذات الصلة بمنع الاستغلال والانتهاك الجنسيين.	0
وإنني أرحب بالخطوات التي اتخذها الاتحاد الأفريقي وبلدان المنطقة المتضررة من جيش الرب للمقاومة من أجل تحديد استراتيجية منسقة بشكل أفضل للتعامل مع الجماعة المسلحة وتحسين حماية المدنيين.	0
وحملت الضحية نتيجة لهذا الاغتصاب وأنجبت فيما بعد طفلا.	1
"ويرحب مجلس الأمن ترحيبا حارا بقرار الأمين العام جعل الأمم المتحدة تعمل على تعزيز سيادة القانون والعدالة الانتقالية في مجتمعات الصراع ومجتمعات ما بعد الصراع أولوية خلال الفترة المتبقية من ولايته.	0
ومنذ إطلاقه في كانون الثاني/يناير 2003، كان هذا المخطط يهدف إلى وقف الاتجار بالماس الممول للصراعات عن طريق ضمان أن تكون جميع الماس الخام المتداولة بين المشاركين فيه (42 دولة والجماعة الأوروبية) مصحوبة بشهادة عملية كيمبرلي سارية المفعول.	1
ومن الحالات البارزة الأخيرة كانت مالي، حيث لم يتصرف المجلس بناءً على طلب من الأمين العام لإنشاء فريق خبراء للتحقيق في هوية وأنشطة المتورطين في الجريمة المنظمة عبر الوطنية في مالي والمنطقة دون الإقليمية، مع إمكانية فرض عقوبات عقابية ومستهدفة.	0
المساءلة [تحث] حكومة [البلد المتأثر] على ضمان التنفيذ الكامل لـ "سياسة عدم التسامح مطلقًا" فيما يتعلق بالانضباط وانتهاكات حقوق الإنسان، بما في ذلك العنف الجنسي والعنف القائم على نوع الجنس، التي ترتكبها عناصر من [المسلحين] ويحث كذلك على إجراء تحقيق شامل في جميع التقارير المتعلقة بهذه الانتهاكات، بدعم من [البعثة]، وتقديم جميع المسؤولين عنها إلى العدالة من خلال عملية قوية ومستقلة.	0
66 - ويقدم برنامج الأمم المتحدة لسيادة القانون والأمن الدعم التقني والمالي لحلقة دراسية حول إنفاذ القانون وحلقة عمل تدريبية لقوة الشرطة الصومالية في كمبالا، منذ آب/أغسطس 2005.	0
كما عزز الاتجار بالأسلحة سوق الحماية بين الجماعات المسلحة والمهربين الذين يحمون طرق التجارة غير المشروعة.	1
إنه لمن دواعي قلقي البالغ أن أبلغ عن ارتفاع حاد في الأعمال الإجرامية والهجمات ضد موظفي الأمم المتحدة والعاملين في المجال الإنساني.	0
ورغم أن بعثة الأمم المتحدة واللجنة الانتخابية المستقلة اعتمدتا حتى الآن على المراقبين المدنيين لنزع فتيل الصراعات، فإن مثل هذه الآلية قد لا تكون كافية للتعامل مع أخطر التهديدات.	0
Ø طلب أن تتضمن تقارير الأمين العام عن الحالات الخاصة بكل بلد العنف الجنسي كجانب محدد من التقرير، بما في ذلك، قدر الإمكان، بيانات مفككة بشأن جنس الضحايا وعمرهم؛ وطلب وضع استراتيجيات وخطط عمل خاصة بكل بعثة لمنع العنف الجنسي والاستجابة له، كجزء من استراتيجية أوسع لحماية المدنيين.	1
وإذ يحيط علما بطلب حكومة أفغانستان أن يدعم مجلس الأمن المصالحة الوطنية، بما في ذلك عن طريق إزالة الأسماء من قوائم جزاءات الأمم المتحدة لأولئك الذين يتصالحون، وبالتالي، توقفوا عن المشاركة في أو دعم الأنشطة التي تهدد السلام والاستقرار والأمن. أمن أفغانستان،	0
ومما يثير القلق بشكل خاص نمط سوء السلوك الخطير المزعوم من جانب ضباط الشرطة الوطنية الهايتية، بما في ذلك تورطهم المزعوم في إعدام ما لا يقل عن تسعة أفراد بإجراءات موجزة في 20 آب/أغسطس خلال مباراة لكرة القدم في منطقة مارتيسان في بورت أو برنس.	1
وهدد ضباط وحدة الاستجابة السريعة الشرقية بحمل جثة المتوفى في شوارع ديلي قبل نقلها إلى منزل القائد العام مارتن.	0
وقد قام ضابط الأسلحة على متن السفينة الأمريكية بمصادرة الأسلحة وتم تسليمها بعد ذلك إلى السلطات اليمنية.	1
في جلسة مجلس الأمن 5903، المعقودة في 2 حزيران/يونيه 2008، فيما يتصل بنظر المجلس في البند المعنون "التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	0
وقد تكون لدى الجماعات الإرهابية وغيرها من الجماعات المسلحة من غير الدول التي يمكنها الوصول إلى الأسواق الإجرامية عبر الحدود حوافز أضعف للخروج من النزاع والدخول في تسوية سياسية.	1
60 - ومع ذلك، فإن انتهاكات حقوق الأطفال، بما في ذلك العنف الجنسي، لا تزال تشكل مصدر قلق بالغ في جميع أنحاء البلاد.	1
90. وفي 8 مايو/أيار 2006 أيضًا، أمر وزير الداخلية لوباتو قائد قوات حماية الشعب، أنطونيو دا كروز، بتسليم 15 بندقية هجومية نصف آلية من طراز HK33 إلى مقر إقامته. وكانت هذه الأسلحة من بين 180 سلاحًا ناريًا من طراز HK33 تم توزيعها بشكل قانوني على UPF.	1
4. ستشدد البعثة على أهمية تحقيق السلام والأمن والاستقرار المستدامين لجميع دول المنطقة.	0
وتنشر الصحف اليومية مثل "فراتيرنيتيه ماتان" و"نوتر فوا" القريبة من حزب الجبهة الشعبية الإيفوارية رسائل قومية وتحريض على الحرب الشاملة.	1
سوف يسحق أفراد الخدمة وشعب جمهورية كوريا الديمقراطية الشعبية اعتداء القوى المعادية المتهورة على حقوق الإنسان من خلال أقوى ردود الفعل غير المسبوقة ويدافعون بحزم عن النظام الاشتراكي وحياتهم وروحهم.	1
"توفير وسائل مناسبة ومرنة لدعم السلام في الفترة الانتقالية وأنشطة إدارة الأزمات، مثل حماية المدنيين، بما في ذلك موظفي الأمم المتحدة والعاملين في المجال الإنساني، ونزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، ووضع حد للإفلات من العقاب، وبناء المؤسسات العامة، والعدالة الانتقالية، فضلا عن كما أن تعزيز وحماية حقوق الإنسان وإدماج المنظور الجنساني أمران ضروريان لضمان السلام الدائم بعد انتهاء النزاع.	0
كما ورد ذكر تشاد وغينيا في سياق الإنذار المبكر، حيث قد يكون لتدهور الأوضاع الإنسانية آثار محتملة على الاستقرار الإقليمي.	0
وأنهت اللجنة استعراضها على النحو الواجب قبل الموعد النهائي الجديد.	0
وتتمثل مشكلة إضافية في أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها لا تزال متمركزة في الجنوب، كما أن القوات الموجودة في دارفور تتمركز بشكل رئيسي في المراكز الحضرية الكبرى.	1
ومع ذلك، ينبغي للدول أن تجرم الأفعال المرتكبة ضد دولة أخرى بنفس الطريقة.	1
وتبرز هذه الخلايا باعتبارها التهديد الرئيسي الذي يشكله إرهاب تنظيم القاعدة اليوم.	1
"ويكرر مجلس الأمن تأكيد استعداده لفرض جزاءات على الأفراد والكيانات الذين يقومون بإيواء أفراد أو جماعات أو تمويلهم أو تسهيلهم أو دعمهم أو تنظيمهم أو تدريبهم أو تحريضهم على ارتكاب أعمال عنف أو أعمال إرهابية ضد دول أخرى أو مواطنيها في الصومال أو الصومال. المنطقة وفقا لقراراتها ذات الصلة، والشبكات الإقليمية الأخرى وكذلك الأفراد والجماعات والمؤسسات والكيانات الذين لا يقطعون جميع علاقاتهم مع تنظيم القاعدة والجماعات المرتبطة به، بما في ذلك تنظيم القاعدة في بلاد المغرب الإسلامي، و"الحركة من أجل التحرر". وحركة الوحدة والجهاد في غرب أفريقيا وأنصار الدين، وفقا للقرار 2083 (2012).	0
وطرح أسئلة رئيسية لتوجيه المناقشة حول دور المجلس في ضمان المساءلة، بما في ذلك ما يلي: ما هي الدروس التي يمكن تعلمها، وما هي الممارسات الجيدة التي تم تحديدها، من جهود المجلس لضمان المسؤولية الجنائية؟ ما هي التحديات التي تواجه مختلف آليات تقصي الحقائق؟ كيف يمكن إعطاء التعويضات أهمية أكبر في تحقيق المساءلة؟ ما هي الخطوات الإضافية التي قد يتخذها المجلس لضمان المساءلة عن الانتهاكات المرتكبة في النزاعات المسلحة؟	0
وقبل كل شيء، كانت شواغلنا تتعلق بإصرار سلطات بريشتينا على التنفيذ بطريقة أو بأخرى لما يسمى بالاستراتيجية الخاصة بشمال كوسوفو في انتهاك صارخ للقرار 1244 (1999)، الذي يظل المنبر القانوني الدولي الرئيسي للتسوية في كوسوفو.	0
وفي عرض إضافي للعداء، احتفلت حماس بالذكرى السابعة والعشرين لتأسيسها من خلال استعراض 2000 من مقاتليها المسلحين والصواريخ المحمولة على شاحنات عبر غزة.	1
وحتى لو تم الإبلاغ عن هذه الحوادث إلى الشرطة أو المسؤولين الحكوميين الآخرين، فإنه لا يتم اتخاذ أي إجراء يذكر للقبض على الجناة.	1
ومع ذلك، لا يزال القلق يساورني إزاء استمرار القيود المفروضة على حركة المراقبين العسكريين التابعين للأمم المتحدة الذين يسعون لزيارة وحدات الطرفين ومقارهما ونقاط قوتهما لأغراض التحقق.	0
وبحسب أقواله، فإنه كان في مكتبه عندما تم إبلاغه بالانفجار.	1
o في 11 تشرين الثاني/نوفمبر 2014، نصبت قوات النظام كميناً لقرية اللاهونة، مما أسفر عن مقتل 13 شخصاً.	1
وفي حالة أخرى، هاجم الجنجويد قرية مالاغا في أكتوبر/تشرين الأول 2004. وقُتل ثمانية عشر رجلاً وجُرح أربعة رجال وامرأتان.	1
تحديد مرتكبي الجرائم الدولية المحتملة	1
يتم تناول العمل المحدد المتمثل في تجنيد الأشخاص بغرض ارتكاب أعمال إرهابية في القانون رقم. قانون رقم 535 لسنة 2004 في شأن الوقاية من الإرهاب ومكافحته	1
توثيق أفضل الممارسات بشأن القضايا المواضيعية والمجالات الوظيفية؛ والمراجعات المكتبية وورش العمل حول أفضل الممارسات؛ إنشاء شبكة إلكترونية للتعلم وتبادل المعلومات بين مستشاري الشؤون الجنسانية.	0
ولدى بعض الدول القدرة على تجميد الأموال والأصول المرتبطة بالإرهاب دون تأخير، رغم أن هذه القدرة محدودة في معظم الحالات.	1
وأدت السيطرة المشتركة المنتظمة على المنطقة وعمليات التطويق والتفتيش إلى إلقاء القبض على بعض عناصر الميليشيات والاستيلاء على الأسلحة والذخائر غير المشروعة، فضلا عن الحد من مجال المناورة العملياتي لجماعات الميليشيات.	1
التأكيد في القرارات ذات الصلة على أهمية التوصل إلى حلول دائمة للاجئين والنازحين، بما في ذلك العودة الطوعية والآمنة والكريمة، وضمان مشاركتهم الكاملة في تخطيط وإدارة هذه الحلول.	0
