en_ar_DEEP	MatCoop
والمقصود من النظام أن يكون متاحا لمجموعات مختلفة من المستخدمين، بما في ذلك المديرية التنفيذية للجنة مكافحة الإرهاب والخبراء المعينين لدعم اللجنة المنشأة عملا بالقرار 1540 (2004)، مع حماية المواد التي تقدمها الدول الأعضاء بشكل سري.	1
8 أيار/مايو 2006 حادثة عنف في غلينو تعرض فيها ضباط من قوة الشرطة الوطنية الشرقية لهجوم.	0
أولاً، أدى إنشاء المحاكم المخصصة إلى تحفيز السلطات الوطنية على مكافحة الإفلات من العقاب على هذه الجرائم نفسها.	1
علاوة على ذلك، فإن مشاركة عنصر مدني قوي أمر أساسي لتوفير المساعدة الإنسانية، وإعادة إرساء النظام العام، وتشغيل المؤسسات العامة، وإعادة الإعمار، وإعادة التأهيل، وبناء السلام من أجل تحقيق تنمية مستدامة على المدى الطويل.	1
26 - وواصلت اللجنة تعاونها مع المنظمة الدولية للشرطة الجنائية (الإنتربول)، بما في ذلك من خلال إصدار الإخطارات الخاصة المشتركة بين الإنتربول ومجلس الأمن التابع للأمم المتحدة والتي تهدف إلى تنبيه سلطات إنفاذ القانون الوطنية المختصة المسؤولة عن تنفيذ الجزاءات المفروضة على الأفراد أو الكيانات الخاضعين لرقابة المجلس. تدابير الجزاءات (انظر الفقرتين 32 و34 أدناه).	1
كثيرا ما يناقش مجلس الأمن القضايا الإنسانية في البلدان المتضررة من الصراعات.	0
دورات تدريبية حول موضوع الاستغلال والانتهاك الجنسيين؛ تطوير السياسات والإجراءات المتعلقة بالجوانب التنظيمية لمساعدة الضحايا.	1
- تمكين فريق الخبراء من الوصول دون عوائق، ولا سيما إلى الأشخاص والوثائق والمواقع، حتى يتمكن فريق الخبراء من تنفيذ ولايته؛	1
ويساورنا القلق أيضا إزاء الحالة التي يواجهها أولئك الذين يشاركون في إعادة إعمار البلد.	0
ولم تنفذ جميع الدول السبع تدابير لمنع تهريب الأسلحة والمتفجرات إلا جزئيا.	1
