en_ar_DEEP	VerConf
وقد لاحظنا الحذر الذي أعرب عنه الأمين العام وبعثة التقييم الفني فيما يتعلق بإصلاح قطاع الأمن، وخاصة فيما يتعلق بالشرطة الوطنية.	1
ففي إيطاليا، على سبيل المثال، تتألف الوحدة السياسية العسكرية التي أنشأها مكتب رئيس الوزراء من كبار ممثلي جميع الإدارات والوكالات الحكومية المسؤولة عن مكافحة الإرهاب، وتتولى مهام واسعة وشاملة.	0
"ويعرب مجلس الأمن عن بالغ قلقه إزاء الأثر الإنساني للصراع على الشعب الأنغولي.	1
24 - خلال الفترة المشمولة بالتقرير، لم يحرز أي تقدم ملموس نحو حل ونزع سلاح الميليشيات اللبنانية وغير اللبنانية على النحو المطلوب في اتفاق الطائف والقرار 1559 (2004).	0
وتشعر باكستان بقلق بالغ إزاء ما خلص إليه التقرير من أن التحديات الإنسانية والاقتصادية التي تواجه منطقة الساحل قد تفاقمت بسبب تداعيات الأزمة الليبية.	1
وأود أيضا أن أؤكد من جديد أن أعضاء قوات الدفاع الأربعة المدانين بالقتل غير العمد في مقتل ثمانية من ضباط الشرطة الوطنية بالرصاص في عام 2006، والذين تم العفو عن أحدهم وخففت الأحكام الصادرة على ثلاثة منهم، لم يدفعوا بعد التعويض الذي أمرت به المحكمة لهؤلاء الأفراد. أرامل الضحايا.	1
ومن المقرر إنشاء نظام يتم بموجبه إحالة ضحايا الاستغلال والاعتداء الجنسيين، على أساس كل حالة على حدة، إلى منظمة غير حكومية تقدم الدعم اللازم.	0
وفي ذلك المساء، أصدر ضابط شرقي من قوة الشرطة الوطنية لتيمور - ليشتي إعلانا إذاعيا ألقى فيه باللوم على القائد العام مارتينز ونائب القائد بابو في مقتل ضابط وحدة الاستجابة السريعة.	1
ويبحث تقرير الفريق السبب وراء عدم اعتراف العديد من الدول بالإمكانات الكاملة لنظام الجزاءات.	1
ويشير الأمين العام في تقريره إلى قدر من التحسن في جميع هذه المجالات باستثناء القضية المركزية المتمثلة في إصلاح الحكم المحلي، وعلى وجه الخصوص، اللامركزية، التي لم يحرز فيها تقدم.	1
إننا ندين الإرهاب بجميع أشكاله ومظاهره، لأنه ينتهك أبسط حقوق الإنسان: الحق في الحياة.	1
وفي هذا الصدد، فإن طلب رئيس الوزراء سورو من عملية الأمم المتحدة في كوت ديفوار إصدار تقارير عامة منتظمة عن وسائل الإعلام الإيفوارية يمكن أن يسهم في كبح الاتجاهات الخطيرة في وسائط الإعلام التي قد تحرض على العنف المتصل بالانتخابات.	1
بالإضافة إلى ذلك، تشكو العديد من المؤسسات المالية من أنها لم تتلق سوى معلومات قليلة أو معدومة حول ما يجب البحث عنه كمؤشرات محتملة لمعاملات تمويل الإرهاب.	1
:: وشدد بعض الأعضاء على أن مكافحة الإرهاب يجب أن تحترم القانون الدولي، بما في ذلك قانون حقوق الإنسان. وإذ أكد أحد الأعضاء من جديد أن الإرهاب يشكل انتهاكاً جسيماً لحقوق الإنسان والحريات، بما في ذلك الحق الأساسي في الحياة، شدد على ضرورة إرساء حق الإنسان في الحماية من الإرهاب، وكرر مبادرته الرامية إلى وضع، تحت رعاية الأمم المتحدة، ما يلي: مدونة لحماية حقوق الإنسان من الإرهاب.	0
:: 21 حزيران/يونيه 2005، قُتل زعيم الحزب الشيوعي اللبناني السابق جورج حاوي عندما انفجرت سيارته بالقرب من منزله في وطى المصيطبة.	1
ومن شأن حجب هذا المستوى من التمويل أن يشل أي حكومة، ناهيك عن سلطة تحت الاحتلال. وإذا لم يتم الإفراج عن الأموال على الفور، فإن هذا الإجراء سيهدد مكاسب بناء الدولة التي حققتها السلطة الفلسطينية، بما في ذلك زيادة الحكم الرشيد الذي يستفيد منه الشعب الفلسطيني وتطوير قوات الأمن التي تحافظ على القانون والنظام في الضفة الغربية.	1
وانطلاقا مما تقدم، ترى وزارة خارجية جورجيا أن انسحاب الاتحاد الروسي من القرار الذي اتخذه مجلس رؤساء دول رابطة الدول المستقلة في 19 كانون الثاني/يناير 1996 يشكل تهديدا خطيرا بزعزعة الاستقرار، ويغير الوضع المحيط بالنزاع بشكل كبير، ويقوض القانون القانوني. الإطار الذي يحدد شكل السلام لرابطة الدول المستقلة في منطقة الصراع.	1
ويكرر مجلس الأمن أيضا دعمه للممثل الخاص للأمين العام، السيد أحمدو ولد عبد الله، لجهوده الرامية إلى دفع العملية السياسية في الصومال قدما.	0
إننا نعتبر موقف أرمينيا تحديا مفتوحا لعملية تسوية الصراع وتهديدا خطيرا للسلم والأمن الدوليين والإقليميين.	1
232. يصل العدد التقديري للسكان المتأثرين بالصراع في دارفور بالإضافة إلى اللاجئين في تشاد (1.65 مليون نازح داخليا، و 627.000 شخص متأثر بالصراع، و 203.051 لاجئا) إلى رقم مذهل يبلغ حوالي 2.5 مليون شخص متأثرين بطريقة أو بأخرى. آخر - الغالبية العظمى من النازحين من منازلهم.	0
20 - يدين بنفس القدر من القوة جميع أعمال الاستغلال الجنسي والاعتداء والاتجار بالنساء والأطفال التي يرتكبها الأفراد العسكريون وأفراد الشرطة والموظفين المدنيون المشاركون في عمليات الأمم المتحدة، ويرحب بالجهود التي تبذلها وكالات الأمم المتحدة وعمليات حفظ السلام لتنفيذ مبدأ عدم التسامح مطلقا السياسة العامة في هذا الصدد، ويطلب إلى الأمين العام والبلدان المساهمة بأفراد مواصلة اتخاذ جميع الإجراءات المناسبة اللازمة لمكافحة هذه الانتهاكات التي يرتكبها هؤلاء الأفراد، بما في ذلك من خلال التنفيذ الكامل دون تأخير لتلك التدابير المعتمدة في قرارات الجمعية العامة ذات الصلة استنادا إلى وبناء على التوصيات الواردة في تقرير اللجنة الخاصة المعنية بحفظ السلام، A/59/19/Rev.1؛	1
قرر مجلس الأمن، في الفقرتين 1 و 2 من قراره 2118 (2013)، أن استخدام الأسلحة الكيميائية في أي مكان يشكل تهديدا للسلام والأمن الدوليين، وأدان بأشد العبارات أي استخدام للأسلحة الكيميائية في الجمهورية العربية السورية.	1
وتتمثل ولاية اللجنة في البت من خلال التحكيم الملزم في جميع المطالبات بالتعويض عن الخسارة أو الضرر أو الإصابة من قبل إحدى الحكومات ضد الأخرى، ومن قبل المواطنين (بما في ذلك الأشخاص الطبيعيين والاعتباريين) من أحد الطرفين ضد حكومة الطرف الآخر أو الكيانات المملوكة. أو يسيطر عليها الطرف الآخر وتكون (أ) مرتبطة بالنزاع الذي كان موضوع الاتفاق الإطاري وإجراءات تنفيذه واتفاق وقف الأعمال العدائية، و (ب) ناتجة عن انتهاكات القانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف لعام 1949، أو غيرها من انتهاكات القانون الدولي.	0
ويجب اتخاذ خطوات لقمع تمويل الإرهاب بشكل مناسب.	1
ومع ذلك، لا يزال القلق يساورني إزاء استمرار القيود المفروضة على حركة المراقبين العسكريين التابعين للأمم المتحدة الذين يسعون لزيارة وحدات الطرفين ومقارهما ونقاط قوتهما لأغراض التحقق.	1
ويتضمن التقرير الذي اعتمدته اللجنة الخاصة في 10 آذار/مارس 2000 (A/54/839) عددا من التوصيات التي تتعلق بجوانب من تقرير الأمين العام عن حماية المدنيين في الصراعات المسلحة (S/1999/957). ، ويمكن أن تقدم الإرشادات التالية.	0
وحتى لو كان الأمر يتعلق بأن المدنيين الذين تعرضوا للهجوم كانوا يمتلكون أسلحة، فإن هذا لن يكون بالضرورة مؤشراً على أنهم متمردون، وبالتالي أهداف مشروعة للهجوم، أو أنهم يشاركون بشكل نشط في الأعمال العدائية.	0
وأوصت اللجنة الوطنية بتشكيل لجان تحقيق قضائية تعنى بالادعاءات التالية: حالات الإعدام خارج نطاق القضاء؛ استيلاء المجموعات العربية على قريتين تابعتين لقبيلة الفور في محلية كاس؛ وحوادث قتل وحرق لبعض الجرحى في مستشفيات قرى برام ومليط وكلبس.	0
ولكن على الرغم من هذا التقدم، لا يزال يتعين التغلب على التحديات التي تواجه سلطة الحكومة وسيطرتها الفعلية على أراضيها الوطنية.	1
120- وفي تشرين الأول/أكتوبر 2002، دعا رئيس الجمهورية إلى وضع حد لتدمير مدن الصفيح.	0
ولوحظ تصاعد التوتر بين السكان المحليين ردا على تحصيل الضرائب غير المشروعة والابتزاز من جانب المسؤولين الأبخاز بحكم الأمر الواقع.	0
وقد عدلت عمليات الأمم المتحدة لحفظ السلام وضعها وفقا لذلك، وأظهرت ميلا متزايدا إلى "الاحتماء والاحتماء"، مما يحد من قدرة الأفراد النظاميين والموظفين المدنيين على التعامل مع السكان المحليين، وكسب القلوب والعقول، والتوسط في النزاعات المحلية، جمع المعلومات - العمل الحاسم لتنفيذ اتفاقيات السلام والجهود المبذولة لحل الصراع.	1
وقد تم نقل السجناء بناء على تقارير موثوقة تفيد باحتمال بذل محاولة لتحريرهم من الاحتجاز في بوكافو.	0
271 - وجدت اللجنة أنه على الرغم من أن جميع الأطراف المشاركة في الصراع قد ارتكبت جرائم ضد السكان المدنيين، فإن حكومة السودان والجنجويد يتحملون المسؤولية عن الغالبية العظمى من جرائم قتل المدنيين التي ارتكبت خلال الصراع في دارفور.	1
ويشكل نزع سلاح الميليشيات اهتماما ذا أولوية، وخاصة في الفترة التي تسبق الحملة الانتخابية، مع احتمال حدوث أعمال عنف ذات دوافع سياسية.	1
8 - يوصى بأن تتخذ الأمم المتحدة الخطوات العاجلة والمحددة التالية لتيسير الوجود المستمر والمعزز لبعثة الاتحاد الأفريقي في الصومال:	1
كانت ثلاث عشرة زنزانة تحتوي كل منها على معتقلين اثنين، بينما كانت سبع زنازين تحتوي كل منها على معتقل واحد فقط.	1
كما تمت زيارة الهياكل الحكومية المعنية، مثل مركز الاحتجاز الرئيسي في أبيدجان (Maison d'arrêt et de Correction d'Abidjan, MACA) ومراكز الشرطة.	0
وتم تعديل النظام في القرارين 1333 (2000) و 1390 (2002) لفرض ثلاثة تدابير محددة الأهداف (تجميد الأصول، وحظر السفر، وحظر الأسلحة) ضد الأفراد والكيانات المرتبطة بحركة الطالبان وتنظيم القاعدة. وتتوفر استثناءات من تجميد الأصول وحظر السفر. وفي 17 حزيران/يونيه 2011، اتخذ المجلس بالإجماع القرارين 1988 (2011) و 1989 (2011)، اللذين قسما النظام إلى قسمين، وأنشأ لجنة لتنظيم القاعدة وأخرى لطالبان.	0
