en_ar_DEEP	VerCoop
وفي وقت لاحق من نفس اليوم، أسفرت العمليات العسكرية التي جرت في القاعدة الجوية للقوات المسلحة لكوت ديفوار في مطار أبيدجان الدولي عن تدمير طائرتين أخريين من طراز Su-25 وطائرتي هليكوبتر من طراز Mi-24V وطائرة بدون طيار.	0
إلا أن النساء والأطفال كانوا أيضاً ضحايا لعمليات القتل خلال العديد من الهجمات.	0
"ويشعر مجلس الأمن بقلق خاص إزاء الهجمات التي يتعرض لها العاملون في المجال الإنساني، في انتهاك لقواعد القانون الدولي.	0
"ويطلب مجلس الأمن إلى الأمين العام أن يدعم الجهود الرامية إلى تعبئة الموارد اللازمة لتنفيذ نتائج مؤتمر قمة ياوندي، وتعزيز القدرات الوطنية والإقليمية، بالتشاور الوثيق مع دول خليج غينيا والمنظمات الإقليمية ذات الصلة والجهات الأخرى كيانات الأمم المتحدة.	1
71 - وفي جهود التعقب التي تبذلها، ينبغي دعوة الدول الأعضاء إلى أن تستخدم، حسب الاقتضاء، نظام الإنتربول العالمي للاتصالات الشرطية "I-24/7" ونظام الإنتربول الإلكتروني لتعقب الأسلحة.	1
7 - يلاحظ مع القلق تقارير رصد وسائط الإعلام التابعة لعملية الأمم المتحدة في كوت ديفوار ووسائل الإعلام التي أشارت إليها التقارير باعتبارها تحرض على العنف واستئناف الصراع الداخلي، ويؤكد أنها لا تزال على استعداد لفرض جزاءات على من يعرقلون العملية الانتخابية، ولا سيما عمل اللجنة الانتخابية المستقلة و جميع الفاعلين الآخرين المعنيين، وإعلان نتائج الانتخابات الرئاسية والبرلمانية والتصديق عليها؛	0
وفي أعقاب الانتخابات المرتقبة، سيكون من الضروري إجراء مشاورات مع الحكومة المنتخبة حديثا من أجل تحديد طبيعة ومستوى الدعم الذي ستحتاجه السلطات الإيفوارية من عملية الأمم المتحدة في كوت ديفوار لإجراء الانتخابات التشريعية والمحلية قبل أن تبدأ العملية في الإنهاء التدريجي.	1
وأكدت اللجنة أيضاً أنه في أعقاب الهجوم على الطويلة في فبراير/شباط 2004، اختطفت مجموعة من نحو 30 طالبة على يد الجنجويد واحتجزت في مخيم حيث تعرضن للاغتصاب مراراً وتكراراً.	0
ويحث مجلس الأمن، في هذا الصدد، السلطات المسؤولة عن الفترة الانتقالية على اتخاذ إجراءات سريعة لمكافحة الإفلات من العقاب بشكل فعال وتعزيز العدالة من خلال ضمان تقديم الجناة إلى العدالة.	1
يشدد على الحاجة إلى استراتيجية [وطنية] شاملة لإصلاح القطاع الأمني ​​تركز على إضفاء الطابع المهني على مؤسسات قطاع الأمن، بما في ذلك هيئات الرقابة، وتساعد على ضمان التماسك والكفاءة وتجنب الازدواجية أو الثغرات، ويشجع في الوقت نفسه حكومة [المتضررين الدولة]، للدخول في شراكة استراتيجية جديدة مع [البعثة] في مجال إصلاح القطاع الأمني ​​من أجل تحديد أولويات كل مكون من قطاع الأمن والنهج الجديدة المحتملة لـ [البعثة] لدعم السلطات [الوطنية] في مجال إصلاح القطاع الأمني ​​لبناء قدرات الجيش والشرطة والعدالة والمؤسسات الأمنية الأخرى لتعزيز سلطة الدولة [الوطنية]، ويطلب من الأمين العام أن يقدم تقريرا عن هذه الأولويات والنهج في مرفق لتقريره في [تاريخ تقرير]؛	1
12 - يطالب جميع الأطراف بالتعاون الكامل مع عمليات البعثة وبأن تكفل أمن موظفي الأمم المتحدة والأفراد المرتبطين بها وتمكينهم من الوصول الفوري ودون عوائق إلى جميع أنحاء إقليم جمهورية الكونغو الديمقراطية أثناء اضطلاعهم بولايتهم، ويطالب على وجه الخصوص بأن تتيح جميع الأطراف إمكانية الوصول الكامل للمراقبين العسكريين التابعين لبعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية، بما في ذلك في جميع الموانئ والمطارات والمطارات والقواعد العسكرية والمعابر الحدودية، وبالإضافة إلى ذلك، أن يتم منح مراقبي حقوق الإنسان التابعين لبعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية إمكانية الوصول إلى مراكز الاحتجاز ومراكز الدمج، يطلب من الأمين العام الإبلاغ دون تأخير عن أي فشل في الامتثال لهذه المطالب؛	0
- إدانة الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	0
وتعترف حكومتي بعبارات الإدانة والغضب العديدة التي ولّدتها هذه الفظائع. ونحن نقدر بشكل خاص رد فعل مجلس الأمن السريع على هذه الجريمة البشعة.	0
