en_ar_GOOGLE	MatConf
وحتى في أفغانستان، ورغم أن المسؤولين الأفغان وأعضاء قوات التحالف أبلغوا الفريق بأنهم مقتنعون بأن طالبان تستفيد من الإيرادات الضخمة التي تدرها تجارة المخدرات، فإنه من الصعب تقديم أمثلة ملموسة.	1
وإذ يدعو الدول إلى العمل معا على وجه السرعة لمنع وقمع أعمال الإرهاب النووي، بما في ذلك من خلال زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة، ومن خلال التدابير المناسبة لتعزيز الإطار القانوني القائم بهدف ضمان محاكمة مرتكبي جرائم الإرهاب النووي. ويخضعون للمساءلة بشكل فعال،	0
ومنذ ذلك الحين تضاعف عددهم إلى 16، بالإضافة إلى مستشارها الخاص، ويجري تعيين المزيد من المراقبين ومتطوعي الأمم المتحدة.	0
لقد تم التخلي تقريبا عن مفهوم التعددية العرقية لكوسوفو وميتوهيا الذي طرحه التقرير، وهو ما يتجلى بشكل خاص في إنشاء النظام القضائي في كوسوفو وميتوهيا (الفقرة 57).	0
رابعا. تجميد الأصول ألف - اتجاهات تمويل الإرهاب 41 - بشكل عام، لا يزال تنظيم القاعدة والجماعات المنتسبة إليه يمثلون جهات فاعلة منخفضة التكلفة، لا سيما عندما يتعلق الأمر بخطط الهجمات الدولية.	1
وكانت التدابير التي اتخذتها الحكومة حتى الآن لمعالجة الأزمة غير كافية وغير فعالة على الإطلاق، مما ساهم في خلق مناخ يكاد يكون شبه كامل من الإفلات من العقاب على انتهاكات حقوق الإنسان في دارفور.	1
&quot;ويؤكد مجلس الأمن الحاجة الملحة إلى حل جميع الجماعات المسلحة غير الشرعية ونزع سلاحها.	0
وتستخدم دولتان إجراءات جنائية خاصة، مثل الحبس الوقائي و&quot;الصلاحيات الخاصة&quot; في بعض أساليب التحقيق.	1
وعلى الرغم من القرار الذي اتخذه الحوار الوطني في عام 2006، وتم تأكيده في الاجتماعات اللاحقة للحوار الوطني، لم يتم إحراز أي تقدم فيما يتعلق بتفكيك القواعد العسكرية للجبهة الشعبية لتحرير فلسطين - القيادة العامة وفتح الانتفاضة في البلاد ومقرها دمشق.	0
حظر الحرمان التعسفي من الحرية؛ عقوبة جسدية؛ العقاب الجماعي؛ وإصدار الأحكام وتنفيذ أحكام الإعدام دون حكم سابق صادر عن محكمة مشكلة تشكيلاً قانونياً، وتكفل جميع الضمانات القضائية المعترف بها عموماً على أنها لا غنى عنها.	1
وعلى مدى العام الماضي، ونتيجة للعمليات العسكرية المكثفة ضد الجماعات المسلحة، زادت البعثة دعمها اللوجستي لقوات القوات المسلحة لجمهورية الكونغو الديمقراطية بنسبة 226 في المائة.	1
