en_ar_GOOGLE	MatCoop
وتوصل رئيس الوزراء السنيورة إلى اتفاق مع أعضاء الوفد الثاني المؤلف من الفصائل الفلسطينية المسلحة التي تتخذ من دمشق مقرا لها، على تشكيل لجنة متابعة لبحث كافة القضايا بما فيها قضية السلاح. وفي 13 تشرين الأول/أكتوبر، قرر مجلس الوزراء اللبناني، بعد أن وافق بالإجماع على موقف رئيس الوزراء، إنشاء هذه اللجنة بهدف حل مسألة الأسلحة الفلسطينية داخل المخيمات عن طريق الحوار.	1
وإذ يشير إلى اتخاذ القرار 2122، وإذ يؤكد من جديد اعتزامه زيادة اهتمامه بقضايا المرأة والسلام والأمن في جميع مجالات العمل المواضيعية ذات الصلة المدرجة في جدول أعماله، بما في ذلك التهديدات التي يتعرض لها السلام والأمن الدوليان بسبب الأعمال الإرهابية،	0
ونحن ندين جميع أعمال الإرهاب التي ارتكبت في أفغانستان، وخاصة آخرها الذي وقع في السفارة الهندية في كابول، ونعرب عن تعازينا لحكومات وشعوب البلدان المتضررة ولأسر الضحايا وأقاربهم.	0
على سبيل المثال، تقوم وحدة عسكرية، تعمل بموجب أوامر عليا، باحتجاز عدد من المدنيين الأعداء، وهو ما يتعارض مع القانون الدولي. يقوم أحد الجنود، في خضم العمل العسكري، بقتل أو تعذيب أحد هؤلاء المدنيين.	0
وفي حين أن مناطق حرية الحركة، مثل الجماعة الاقتصادية لدول غرب أفريقيا (ECOWAS)، تفضل النمو الاقتصادي والفرص الاقتصادية، فإن الأفراد المدرجين في القائمة يمكنهم التحرك داخل هذه الأماكن مع قيود قليلة أو معدومة في ضوء عدم وجود نقاط تفتيش منهجية.	1
يعرب عن قلقه العميق إزاء تزايد الصراعات المحلية وزيادة الإجرام والعنف وتأثيرهما على المدنيين، ولا سيما إزاء الزيادة الحادة في الاشتباكات بين القبائل، ويدعو جميع الأطراف إلى وضع حد لهذه الاشتباكات بشكل عاجل والسعي إلى المصالحة والحوار. ..	0
ومع ذلك، وبعد سنوات عديدة من الحرب، وأيضا نتيجة للضغوط الدولية الشديدة، بدأت الحكومة وحركة التمرد الرئيسية في الجنوب، وهي الحركة/الجيش الشعبي لتحرير السودان، محادثات سلام في عام 2002.	1
(ب) تشجيع دول المنطقة دون الإقليمية على الاستفادة من فرص إنفاذ القانون وغيرها من فرص التدريب من أجل تعزيز تنفيذ قوانين مكافحة الإرهاب؛	0
وعلى استعداد لمواصلة مساعدة لبنان في البحث عن الحقيقة ومحاسبة المسؤولين عن هذا العمل الإرهابي على جريمتهم،	1
7 - ومن أجل تحقيق قدر أكبر من الاتساق والتوافق في الحكم على جميع الوثائق المعدة للجنة، سيتم إنشاء آليات مشتركة بين المجموعات للتركيز على المجالات التقنية المختلفة التي يتناولها القراران 1373 (2001) و 1624 (2005)، وتحسين الجودة. وسيتم إنشاء وحدة مراقبة لمراجعة جميع الوثائق قبل إصدارها.	1
ويشدد بشكل خاص على الحاجة الملحة لتوفير حماية بدنية أفضل للسكان النازحين وكذلك للفئات الضعيفة الأخرى، ولا سيما النساء والأطفال. وينبغي تركيز الجهود على المناطق التي تكون فيها هذه المجموعات السكانية والمجموعات أكثر عرضة للخطر.	0
258 - وكما ذكر أعلاه، فإن أحكاما مختلفة من قانون حقوق الإنسان والقانون الإنساني الدولي لها صلة بحماية المدنيين في الصراعات المسلحة.	1
ويولى اهتمام خاص لقطاع الأمن. يتم أيضًا فحص تصرفات الحكومة والرئيس ومكتب الأمم المتحدة في تيمور - ليشتي.	1
57 - بعد مرور ثلاث سنوات فقط على إنشائها، لا تزال قوة المفرزة الأمنية المتكاملة في مرحلة التكوين. لقد نجحت في إثبات قدرتها على إحداث تغيير في أمن السكان المعرضين للخطر في الشرق.	0
الدعوة إلى الامتثال الصارم من جانب أطراف النزاع المسلح والدول الثالثة لالتزاماتها بموجب القانون الإنساني الدولي المعمول به للسماح وتسهيل المرور السريع ودون عوائق لشحنات ومعدات وأفراد الإغاثة الخاضعين لحقهم في فرض الترتيبات الفنية، بما في ذلك التفتيش، والتي بموجبها مثل هذا المرور مسموح به.	0
:: تكفل اللجنة أن تكون أي تدابير تتخذها الدول لمكافحة الإرهاب متوافقة مع جميع التزاماتها بموجب القانون الدولي، ولا سيما قانون حقوق الإنسان، وقانون اللاجئين، والقانون الإنساني.	1
وحتى 31 أغسطس/آب، عاد أكثر من 29,000 لاجئ إلى بلدانهم الأصلية، بما في ذلك 11,724 لاجئاً بمساعدة المفوضية السامية للأمم المتحدة لشؤون اللاجئين، كما عاد ما يقدر بنحو 18,000 لاجئ تلقائياً إلى ليبيريا.	1
