en_ar_GOOGLE	VerConf
وبالإضافة إلى ذلك، قدمت السيدة بيلامي ثلاثة مندوبين من الأطفال إلى منتدى الأطفال - ويلموت من ليبيريا، وإليزا من البوسنة والهرسك، وخوسيه من تيمور الشرقية - الذين قدموا روايات شخصية تصف تجارب الأطفال الذين وقعوا في الصراعات المسلحة، وناشدوا من أجل وضع حد للصراع المسلح. نهاية للحرب.	0
وأشار آخر إلى مخاطر زيادة تدفقات الهجرة والحركات المتطرفة وتنشيط الشبكات الإرهابية الدولية في المنطقة المجاورة مباشرة لأوروبا، رغم أنه ذكر أنه لم يرصد أي تهديد مباشر لأراضيه.	1
ويشكل الوجود المحدود للمفوضية في المخيمات وبين اللاجئين عقبة أخرى يضعها بلد اللجوء في طريق تنفيذ المفوضية لولايتها.	1
وسينصب التركيز على المدى المتوسط على السيطرة على مناطق التعدين والقضاء على التهديد الذي تشكله الجماعات المسلحة في إيتوري وتقييد وجود القوات الديمقراطية لتحرير رواندا في مناطق مختارة في ضوء عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة الإدماج وإعادة التأهيل.	1
وتثير البيئة المتغيرة في أفغانستان تساؤلات بشأن جماعات آسيا الوسطى التي تعمل حاليا هناك، مثل جماعة أنصار الله (غير مدرجة)، وهي الجماعة الطاجيكية المنشقة عن الحركة الإسلامية في أوزبكستان (QE.I.10.01).	1
ومن المرجح أن تشتد حدة النقاش السياسي، مع وجود العديد من التحديات المتعلقة بالانتخابات المعروضة بالفعل على المحاكم.	1
(و) أن يقدموا لبعضهم البعض أكبر قدر من المساعدة فيما يتعلق بالتحقيقات الجنائية أو الإجراءات الجنائية المتعلقة بتمويل أو دعم الأعمال الإرهابية، بما في ذلك المساعدة في الحصول على الأدلة التي بحوزتهم والضرورية للإجراءات؛	0
ويدعو الاتحاد الأوروبي الآن حكومة الوحدة الوطنية إلى المضي قدما بسرعة في الجوانب الأخرى لتنفيذ اتفاق السلام الشامل، بما في ذلك، كخطوة أولى، إنشاء لجنة التقدير والتقييم لرصد التقدم المحرز في هذه المسألة.	0
ونعتقد أن الصومال يواجه تحديا مماثلا لتحدي عداء الماراثون، حيث أن صياغة الدستور يجب أن تنتهي بحلول 20 نيسان/أبريل وأن يتم اعتماده في 22 أيار/مايو.	1
(أ) أعمال القتل والضرب والاختطاف والاختفاء والسخرة والتجنيد الإجباري للمدنيين الإثيوبيين؛	0
1 - يدين بأشد العبارات جميع أعمال الإرهاب، بغض النظر عن دوافعها، ومتى ارتكبت وأيا كان مرتكبها، باعتبارها واحدة من أخطر التهديدات للسلام والأمن؛	1
8 - وسيكون المجلس يقظا بشكل خاص تجاه أولئك الذين قد يسعون إلى عرقلة العملية الانتقالية، ولا سيما أولئك الذين قد يتصرفون بشكل ينتهك حظر الأسلحة المفروض على جمهورية الكونغو الديمقراطية أو يرفضون المشاركة في عمليات نزع السلاح والتسريح. وإعادة الإدماج أو نزع السلاح والتسريح وإعادة الإدماج والإعادة إلى الوطن أو إعادة التوطين ودمج القوات المسلحة لجمهورية الكونغو الديمقراطية.	1
وأشارت إحدى الدول إلى خطة واسعة النطاق لمكافحة التطرف، اعتمدت في عام 2006، وتهدف إلى مكافحة التطرف مع حماية القيم الديمقراطية في الوقت نفسه.	0
والنقطة الثانية التي أود التأكيد عليها اليوم هي اهتمامنا المستمر برفاهية الأبرياء في غزة وفي البلدات والمدن في جنوب إسرائيل.	1
اتخذ مجلس الأمن القرار 1894 (2009) بشأن حماية المدنيين في النزاعات المسلحة، الذي دعا فيه إلى إعطاء الأولوية لأنشطة حماية المدنيين المقررة في القرارات المتعلقة بتخصيص الموارد والقدرات، وطلب وضع مفهوم تنفيذي ومهمة - التخطيط والتدريب على نطاق واسع بشأن حماية المدنيين.	0
&quot;ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في الصراعات المسلحة، ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.	1
ومن ثم فهي تهتم إلى حد كبير بجوانب السياقات الاجتماعية التي قد تؤدي إلى انتشار الإرهاب.	1
من ناحية أخرى، توضح EECC أن آليات الدفع والتنفيذ الخاصة بتحديد الطرف الثالث للمطالبات الجماعية قد تكون مشكلة كبيرة.	1
وهناك أيضًا نمو في المراكز الإقليمية لمكافحة الإرهاب حيث يمكن تحديد أفضل الممارسات فيما يتعلق بتنفيذ الجزاءات وفقًا للظروف الخاصة ذات الصلة.	0
