en_ar_GOOGLE	VerCoop
163. تم تقديم تقرير متماسك وشامل إلى اللجنة حول نتائج ونتائج التحقيق في مسرح الجريمة.	0
وفي الواقع، ونظراً لتاريخ التدخل الأجنبي، فإن مثل هذه الوصفات لن تكون موضع شك في نظر مختلف شرائح المجتمع فحسب، بل قد تؤدي أيضاً إلى تفاقم المشكلة.	0
ونحن ندين جميع أعمال الإرهاب التي ارتكبت في أفغانستان، وخاصة آخرها الذي وقع في السفارة الهندية في كابول، ونعرب عن تعازينا لحكومات وشعوب البلدان المتضررة ولأسر الضحايا وأقاربهم.	0
47 - وقد قدمت اثنتان من الدول الخمس في المنطقة دون الإقليمية تشريعات شاملة تغطي الجرائم الإرهابية ذات الصلة، في حين وضعت دولتان أخريان مشاريع قوانين لمكافحة الإرهاب هي إما قيد النظر أو في انتظار اعتمادها.	0
وخلال المسيرة، أبلغ الجيش الملكي المغربي قائد القوة أن قواته تلقت تعليمات بمراقبة الوضع.	0
72 - لقد قيل الكثير عن تمويل الإرهاب عن طريق المخدرات، بما في ذلك في الاتفاقيات الدولية وقرارات مجلس الأمن.	1
وبدأ المشاركون في المنتدى عملية تحديد عناصر الاستراتيجية الوطنية بشأن مشاركة المرأة في حل النزاعات.	1
والاستدلال الواضح من المادة 33 هو أنه يجوز لعضو الأجهزة الأمنية، تحت مظلة القانون، تعذيب المشتبه فيه، حتى الموت، إذا كانت أفعاله أثناء أداء واجبه.	0
106 - وفي 21 شباط/فبراير 2005، وافقت عملية الأمم المتحدة على السماح للقوات المسلحة لكوت ديفوار بإجراء اختبارين أرضيين لمدة ساعة واحدة للمحرك والأنظمة في يوم الأربعاء الأخير من كل شهر لطائرتها Mi-24P (TU-VHO)، بشرط أن تكون غير مسلحة، خارج حظيرتها في قاعدة أبيدجان الجوية وتحت مراقبة عملية الأمم المتحدة في كوت ديفوار.	1
في القرار 2154 (2014)، الذي اتخذه مجلس الأمن في 8 أيار/مايو 2014، لاحظ مجلس الأمن مع التقدير العميق كيف أنقذ النقيب مباي دياني، من بعثة الأمم المتحدة لتقديم المساعدة إلى رواندا والسنغال، المئات من الأشخاص، وهم غير مسلحين وفي مواجهة خطر شديد، أو ربما حتى ألف رواندي من الموت خلال الإبادة الجماعية عام 1994.	1
وقد أدى عامين من الصراع إلى تفاقم الخلافات السياسية وتعميق الظروف الاجتماعية والاقتصادية القاسية أصلاً للغالبية العظمى من السكان.	0
وإذ نؤكد على الدور المركزي للأمم المتحدة في الحرب العالمية ضد الإرهاب، ونرحب باعتماد الجمعية العامة لاستراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب (A/RES/60/288) المؤرخة 8 أيلول/سبتمبر 2006، وإضفاء الطابع المؤسسي على مكافحة الإرهاب - فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وفقا لقرار الجمعية العامة 64/235 المؤرخ 24 كانون الأول/ديسمبر 2009، الأمر الذي سيزيد من تعزيز جهود فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب لضمان التنسيق والاتساق الشاملين في جهود مكافحة الإرهاب التي تبذلها منظومة الأمم المتحدة، بما في ذلك جهود مكافحة الإرهاب. الميداني، والدعوة إلى تعزيز مشاركة الدول الأعضاء في عمل فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب (A/64/297)،	0
وإذ يؤكد من جديد ضرورة مكافحة التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية، بجميع الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي،	0
وأجبر الهجوم العديد من المدنيين على البحث عن مأوى خارج المدينة، وتكبدت القوات المسلحة السودانية عشرات الضحايا، وهربت حركة/جيش تحرير السودان بكميات من الأسلحة والذخائر والوقود وغيرها من الإمدادات. وفي 29 أيلول/سبتمبر، وقع هجوم آخر على بلدة الطويلة نفسها، عندما دخلت الشرطة الحكومية ووحدات القوات المسلحة السودانية البلدة، ثم دخلت في وقت لاحق مخيم دالي المجاور للمشردين داخليا، وأطلقت النار على المدنيين بشكل عشوائي ودون استفزاز.	0
