en_ar_TRANSFORMERS	MatCoop
ويشير مجلس الأمن إلى مطالبته بأن تمتثل جميع الأطراف في نزاع مسلح امتثالا تاما للالتزامات المنطبقة عليها بموجب القانون الدولي فيما يتعلق بحماية المدنيين في النزاع المسلح، بمن فيهم الصحفيون والإعلاميون والأفراد المرتبطون بهم.	0
”ويعرب مجلس الأمن عن قلقه إزاء تزايد استخدام الإرهابيين ومؤيديهم لتكنولوجيا الاتصالات بغرض التطرف في الإرهاب، وتجنيد الآخرين وتحريضهم على ارتكاب أعمال إرهابية، بما في ذلك عن طريق الإنترنت، وتمويل وتيسير سفر المقاتلين الإرهابيين الأجانب وأنشطتهم اللاحقة.	0
67 - وما زلت أشعر بالقلق إزاء استمرار القيود المفروضة على حصول المواطنين العاديين في جميع أنحاء شمال مالي على الخدمات الأساسية، بما في ذلك الرعاية الصحية والمدارس.	0
وفي المشاورات غير الرسمية التي أعقبت الاجتماع، أصر وكيل الأمين العام، برفقة موظفي البعثة المتكاملة، على أن التهديد هام وحقيقي ومتطور، وأنه يتعين بالتالي بذل كل ما في وسعه لحماية أفراد البعثة المتكاملة في ظل التهديدات المتزايدة غير المتناظرة ولتعزيز القدرة التشغيلية للبعثة تمشيا مع ولايتها.	1
ومن جانبنا، نربط مسألة الشرعية مباشرة بإجراء الانتخابات، التي يجري التحضير لها في الهيئة المشتركة لإدارة الانتخابات.	0
في 19 آب/أغسطس 2014 (اليوم العالمي للشؤون الإنسانية)، تعقد المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية، بصفتها رئيسة مجلس الأمن، جلسة مفتوحة للمجلس، في شكل إحاطة، بشأن حماية العاملين في مجال تقديم المساعدة الإنسانية، في إطار بند جدول الأعمال المتعلق بحماية المدنيين في الصراعات المسلحة.	0
132 - وبما أن اللجنة والمنظمة الدولية للشرطة الجنائية تحددان أفضل السبل للمضي قدما، فإن الفريق يأمل في أن توفر قاعدة بيانات الإنتربول معلومات إضافية لتحديد هوية الأشخاص المدرجين في القائمة الموحدة.	1
وفي عام 2010، اعتمدت أوكرانيا وبيلاروس تعديلات على قوانينهما المتعلقة بمكافحة غسل الأموال وتمويل الإرهاب المتعلقة بتحديد هوية العملاء، وتوخي الحرص الواجب إزاء العملاء، وحفظ السجلات، والتحقق من ملكية المستفيد، والمعاملات المشبوهة، كما وسعت نطاق معايير الرقابة على تحويل الأموال من خلال النظام البريدي الحكومي.	1
32 - وحتى الآن، لم يطلب المجلس إلى الأمين العام أن يقدم تقريرا إلى المجلس عن الجهود التي يبذلها، على نحو ما دُعي إلى القيام به في البيانين الرئاسيين لعامي 2009 و 2010، لتعميم مراعاة مسألة الاتجار بالمخدرات كعامل في استراتيجيات منع نشوب النزاعات، وتحليل النزاعات، وتقييم البعثات المتكاملة وتخطيطها، ودعم بناء السلام.	0
وقد اتخذت جميع الدول بعض الخطوات لتنظيم إنتاج الأسلحة والمتفجرات وبيعها ونقلها.	1
والعنصر البرنامجي الأول هو إنشاء وحدات لمكافحة الجريمة عبر الوطنية في سيراليون وغينيا وغينيا وغينيا - بيساو وكوت ديفوار وليبريا.	1
وبعبارة أخرى، فإن اللجنة الوطنية على علم تام بالادعاءات الخطيرة المتعلقة بالجرائم المرتكبة في دارفور.	0
فعلى سبيل المثال، سمحت صعوبة ضبط الحدود في منطقة الساحل والصحراء لتحالف المغرب الإسلامي وشركائه بالتنقل بحرية، وجمع الأموال من التهريب، وحيازة الأسلحة والمتفجرات، وتدريب المجندين الجدد على السلامة النسبية.	0
ولذلك ستحيل اللجنة التوصيات إلى لجنة مكافحة الإرهاب المنشأة عملا بالقرار 1373 (2001).	0
وقد اضطلعت الدول الثلاث التي زارتها جميعها بدور نشط في إنشاء وكالات متخصصة في مكافحة الإرهاب و/أو وحدات شرطة وفي كفالة تزويد تلك الوحدات بما يلزم من تدريب وأدوات لأداء واجباتها في طائفة من المجالات المتصلة بمكافحة الإرهاب.	0
94 - وضعت جميع الدول، باستثناء دولة واحدة، التي تفتقر إلى معلومات بشأنها، استراتيجيات وهياكل مؤسسية لمكافحة الإرهاب، وهناك إما تنسيق كامل أو جزئي بين وكالات إنفاذ القانون التي تعالج مسائل مكافحة الإرهاب.	1
”ويؤكد مجلس الأمن من جديد الأحكام ذات الصلة الواردة في الوثيقة الختامية لمؤتمر القمة العالمي لعام 2005 المتعلقة بحماية المدنيين في الصراعات المسلحة، بما في ذلك الفقرتان 138 و 139 منها المتعلقتان بالمسؤولية عن حماية السكان من الإبادة الجماعية وجرائم الحرب والتطهير العرقي والجرائم المرتكبة ضد الإنسانية.	0
وستواصل بعثة الأمم المتحدة في السودان، إلى جانب فريق التنفيذ الرفيع المستوى التابع للاتحاد الأفريقي والشركاء الدوليين الآخرين، بذل الجهود لمساعدة الطرفين على كسر الجمود الحالي.	0
