en_ar_TRANSFORMERS	VerCoop
(ب) عدم قبول الطلب المقدم من حكومة الكويت بشأن المطالبة المتعلقة بالممتلكات العقارية فيما يتعلق بمحتجز متوفى على أساس أن هذه المسألة تشكل في الواقع طلباً للتأخر في تقديم الجزء المتعلق بالممتلكات العقارية من المطالبة خارج فترة تقديم الطلب للقبول، وأن تطلب إلى الأمانة إبلاغ حكومة الكويت بذلك.	0
وفي هذا الصدد، يشيد المجلس بالجهود التي بذلتها حتى الآن أوغندا وجمهورية أفريقيا الوسطى وجمهورية جنوب السودان وجمهورية الكونغو الديمقراطية من أجل وضع حد للتهديد الذي يشكله جيش الرب للمقاومة، ويحث هذه البلدان، فضلا عن بلدان أخرى في المنطقة، على بذل المزيد من الجهود.	1
وأعلنت أن الأمين العام قد تلقى طلب تيمور الشرقية للانضمام إلى عضوية الأمم المتحدة، وتتطلع إلى أن ينظر فيه المجلس.	1
وهي تشجع المجتمعات المحلية على الرصد الذاتي والتصدي للآراء الاستقطابية دون تدخل الحكومة كوسيلة أكثر استدامة لمنع التطرف داخل المجتمعات المحلية.	1
”إن مجلس الأمن، إذ يشير إلى قراريه 2042 (2012) و 2043 (2012)، يرحب بتعيين الممثل الخاص المشترك بين الأمم المتحدة وجامعة الدول العربية المعني بسوريا كخطوة هامة إلى الأمام في التعاون بين المنظمتين، ويعرب عن دعمه للجهود التي يبذلها لمواصلة المساعي الحميدة التي يبذلها الأمين العام في هذا الصدد.	1
ويمكن تعزيز تدابير منع وقمع حركة الإرهابيين عبر الحدود في جميع الدول، ولا سيما على الحدود الجنوبية.	0
ويشدد على دور الهيئة العليا لوسائط الإعلام، واللجنة الدولية للشخصيات البارزة، واللجنة الدولية لدعم المرحلة الانتقالية، في التشجيع على سير العملية الانتخابية بسلاسة وعلى تهيئة مناخ سياسي هادئ، ويؤكد من جديد دعمه لها.	0
ويساورنا القلق لأن الحالة الأمنية لا تزال صعبة.	0
وهذا يحد من فعالية المبادرة في توفير العدالة الشاملة للضحايا.	0
ويمكن أن تشكل الزيادة المحتملة خلال عام 2013 في توافر منظومات الدفاع الجوي التي يحملها أفراد لتنظيم القاعدة المنتسبة إلى تنظيم القاعدة في أفريقيا، ونتيجة للنزاع الدائر في الجمهورية العربية السورية، تهديداً في المستقبل.	0
وفيما يتعلق بالجريمة بين الأعراق، فإن آلية إنفاذ القانون ضعيفة أيضا.	0
”ويشجع مجلس الأمن الدول الأعضاء على مواصلة التعاون فيما بينها في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويشدد على المسؤولية الرئيسية للسلطات الصومالية في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويطلب إلى السلطات الصومالية أن تقوم، بمساعدة من الأمين العام وكيانات الأمم المتحدة ذات الصلة، بسن مجموعة كاملة من قوانين مكافحة القرصنة دون مزيد من التأخير، وإعلان منطقة اقتصادية خالصة وفقا لاتفاقية الأمم المتحدة لقانون البحار.	1
ويدعو المجلس أيضا الأمم المتحدة والاتحاد الأفريقي إلى القيام بصورة مشتركة بالتحقيق في الشبكات اللوجستية لجيش الرب للمقاومة والمصادر المحتملة للتمويل غير المشروع، بما في ذلك المشاركة المزعومة في الصيد غير المشروع للفيلة وما يتصل بذلك من تهريب غير مشروع.	0
وتلقت اللجنة معلومات موثوقة تفيد بأن هؤلاء الأشخاص تعرضوا للتعذيب والمعاملة القاسية واللاإنسانية والمهينة.	0
ويلاحظ جيدا الاهتمام بتنفيذ البيان المشترك المؤرخ 2 نيسان/أبريل 2009، المشار إليه في التقرير.	0
32 - وحتى الآن، لم يطلب المجلس إلى الأمين العام أن يقدم تقريرا إلى المجلس عن الجهود التي يبذلها، على نحو ما دُعي إلى القيام به في البيانين الرئاسيين لعامي 2009 و 2010، لتعميم مراعاة مسألة الاتجار بالمخدرات كعامل في استراتيجيات منع نشوب النزاعات، وتحليل النزاعات، وتقييم البعثات المتكاملة وتخطيطها، ودعم بناء السلام.	1
90 - وتشدد الفقرة 4 من القرار 1624 (2005) على أنه "يجب على الدول أن تكفل امتثال أي تدابير تتخذها لتنفيذ الفقرات 1 و 2 و 3 من هذا القرار لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان، وقانون اللاجئين، والقانون الإنساني الدولي".	1
وطرح أسئلة رئيسية لتوجيه المناقشة بشأن دور المجلس في ضمان المساءلة، بما في ذلك ما يلي: ما هي الدروس التي يمكن استخلاصها، وما هي الممارسات الجيدة التي تم تحديدها، من الجهود التي يبذلها المجلس لضمان المسؤولية الجنائية؟ وما هي التحديات التي تواجه مختلف آليات تقصي الحقائق؟ وكيف يمكن إعطاء التعويضات مزيدا من الأهمية في تحقيق المساءلة؟ وما هي الخطوات الإضافية التي يمكن للمجلس اتخاذها لضمان المساءلة عن الانتهاكات في الصراع المسلح؟	1
”ويعرب مجلس الأمن عن اعتزامه، عند إنشاء أو تجديد ولاية لجان الجزاءات ذات الصلة، النظر في الأحكام المتعلقة بالأطراف التي تنتهك القانون الدولي المنطبق فيما يتعلق بحقوق الأطفال وحمايتهم في الصراعات المسلحة.	1
37 - وتشجع اللجنة مديريتها التنفيذية على مواصلة التركيز على تنفيذ القرار 1624 (2005)، بوسائل منها إيلاء الاهتمام الواجب للمسائل ذات الصلة، مثل دور تكنولوجيات المعلومات والاتصالات الجديدة، وتشجيع الحوار، بما في ذلك الحوار على الصعيد الوطني، من أجل تعزيز التسامح والتنوع والشمول، وإقامة شراكات استراتيجية بين الحكومات والجهات الفاعلة غير الحكومية، وتحديد أدوار ضحايا الإرهاب، ومنع الإرهابيين ومؤيديهم من تخريب المؤسسات.	1
