es	Relevant
"Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades policiales poderes especiales de investigación."	1
Pedir a la secretaría que facilite información actualizada sobre la cuestión de la posible duplicación de indemnizaciones en las categorías A y C para que el Grupo de Trabajo la siga examinando en sus futuras reuniones y que la mantenga en el orden del día del próximo período de sesiones del Consejo de Administración; y que se apruebe la solicitud de la secretaría de prorrogar la contratación de cinco funcionarios hasta el 31 de diciembre de 2005 para que presten apoyo a los expertos contables forenses y apliquen las recomendaciones que puedan formularse en relación con la posible duplicación de indemnizaciones.	0
"Pero, aunque el Equipo no considera que el asesoramiento técnico paramilitar disponible en Internet represente una amenaza equiparable a la formación en la vida real, el potencial aumentará a medida que mejore la calidad del asesoramiento."	1
":: El establecimiento del programa de inversiones prioritarias 2015-2017, por un importe de 7,208 billones de francos CFA (aproximadamente 15 billones de dólares)."	0
Insistió en la necesidad de fomentar el diálogo en el seno de las instituciones federales de transición y animó a sus interlocutores a utilizar su influencia con este fin.	1
"Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescrito por el Acuerdo General de Paz podría tener graves consecuencias."	1
Algunos miembros del Consejo expresaron su preocupación por el hecho de que aún no se haya podido avanzar en la investigación de los crímenes cometidos por los rebeldes.	1
"La Dirección Ejecutiva del Comité contra el Terrorismo, por ejemplo, ha trabajado intensamente con los Estados para reforzar su capacidad de gestión de fronteras para controlar los movimientos terroristas y su capacidad de justicia penal para hacer frente al blanqueo de capitales."	1
"7. Exhorta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de la presente resolución, no obstante la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de entrada en vigor de las medidas impuestas por el párrafo 4 supra;"	1
"2. Exhorta al gobierno sirio a que cumpla visiblemente sus compromisos en su totalidad, tal y como acordó hacer en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), para (a) cesar los movimientos de tropas hacia los centros de población, (b) cesar todo uso de armamento pesado en dichos centros, (c) la retirada completa de las concentraciones militares en los centros de población y sus alrededores, así como retirar sus tropas y armamento pesado de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia;"	1
"República Centroafricana y su unidad de guardia, la Fuerza de Tarea Regional de la Unión Africana y las fuerzas francesas desplegadas en la República Centroafricana (párr. 54 (a)); suministros de equipo militar no mortífero destinado únicamente a uso humanitario o de protección, y asistencia técnica o capacitación conexas (párr. 54 (b)); ropa de protección, incluidos chalecos antibalas y cascos militares, exportados temporalmente a la República Centroafricana por personal de las Naciones Unidas, representantes de los medios de comunicación y trabajadores humanitarios y de desarrollo y personal asociado, exclusivamente para su uso personal (párr. 54 (c)); suministros de armas pequeñas y otros equipos conexos destinados exclusivamente a ser utilizados en patrullas internacionales que proporcionan seguridad en la Zona Trinacional Protegida del Río Sangha para defenderse de la caza furtiva, el contrabando de marfil y armas, y otras actividades contrarias a las leyes nacionales de la República Centroafricana o a las obligaciones jurídicas internacionales de la República Centroafricana (párr. 54 (d)); suministros de armas y otros equipos letales conexos a las fuerzas de seguridad de la República Centroafricana, destinados exclusivamente a apoyar o utilizar en el proceso de reforma del sector de la seguridad en la República Centroafricana, según lo aprobado previamente por el Comité (párr. 54 (e)); u otras ventas o suministro de armas y material conexo, o suministro de asistencia o personal (párr. 54 (f))."	1
"Por ejemplo, Croacia y Polonia, con el apoyo de la Oficina de Asuntos de Desarme, llevaron a cabo una revisión paritaria de su aplicación de la resolución, consistente en dos rondas de debates y actividades en Varsovia y Zagreb, que los expertos del Comité observaron. Dicha revisión inter pares contribuyó a identificar prácticas eficaces y facilitó el intercambio de experiencias."	1
"Ha mantenido numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, ha solicitado una reunión para aclarar sus preocupaciones en relación con el último informe del Secretario General (S/2014/258), precisando que Marruecos considera que ello permitiría que el proceso avanzara de la mejor manera posible."	1
"Sin embargo, a pesar de la creciente atención y de los recientes avances positivos en este ámbito, siguen existiendo numerosos problemas sobre el terreno en lo que respecta a la aplicación, en particular problemas relacionados con la continua falta de claridad en torno al concepto y la operacionalización de la protección de civiles, los mecanismos de coordinación interna y externa, la alerta temprana y la respuesta rápida, el apoyo a las fuerzas de seguridad del gobierno anfitrión, las capacidades de las tropas y la dotación de recursos."	1
"15. Desde mi informe de 2 de enero de 2008 al Consejo de Seguridad (S/2008/1), la ONUCI ha retirado todos excepto 2 de los 17 puestos de observación que había establecido a lo largo de la línea verde, de conformidad con las disposiciones del Acuerdo de Uagadugú."	1
"50. El Relator Especial sobre la promoción y la protección de los derechos humanos y las libertades fundamentales en la lucha contra el terrorismo realizó una visita oficial a Burkina Faso del 8 al 12 de abril de 2013, por invitación del Gobierno, para recabar información sobre la situación actual en Burkina Faso y ayudar así al Gobierno en sus esfuerzos por combatir el terrorismo respetando los derechos humanos y promover la aplicación de los instrumentos internacionales."	1
"El objetivo era mejorar la seguridad en la región, reforzar la Alianza del Valle del Juba y reconciliar al general ""Morgan"" y a la Alianza, que llevan varios años disputándose territorios en el valle del Juba."	1
"Los Estados deben abstenerse de inhibir a los actores humanitarios en sus esfuerzos por involucrar a los grupos armados no estatales con fines humanitarios, incluida la realización de actividades destinadas a promover el respeto del derecho internacional humanitario."	1
"Insta a los Estados miembros a que garanticen una mayor representación de las mujeres en todos los niveles de toma de decisiones de las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, gestión y resolución de conflictos."	1
"38. Encarga al Comité que identifique posibles casos de incumplimiento de las medidas de conformidad con el párrafo 1 supra y que determine el curso de acción apropiado en cada caso, y pide al Presidente que, en los informes periódicos que presente al Consejo de conformidad con el párrafo 46 infra, facilite informes sobre la marcha de los trabajos del Comité a este respecto;"	1
"H. Prevenir y responder a la explotación y el abuso sexuales por parte del personal de las Naciones Unidas, el personal conexo y los asociados de las Naciones Unidas;"	1
"En la 6034ª sesión del Consejo de Seguridad, celebrada el 9 de diciembre de 2008, en relación con el examen por el Consejo del tema titulado ""Amenazas a la paz y la seguridad internacionales causadas por actos terroristas"", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:"	0
Acción contra las minas y restos explosivos de guerra	0
(c) Remite desde el Comité toda la información sobre la decisión facilitada al Defensor del Pueblo de conformidad con el apartado 14 anterior.	0
"6. Sobre la base de la revisión exhaustiva de todas las entradas de la Lista completada en 2010, de conformidad con el párrafo 25 de la resolución 1822 (2008), el Comité ha puesto en marcha desde entonces numerosos mecanismos para garantizar que la Lista refleje de la mejor manera posible la amenaza que representa Al-Qaida y para garantizar que cada entrada se revise periódicamente para determinar si es apropiado seguir incluyéndola en la Lista."	1
La falta de capacidades suficientes constituye un reto clave para muchos Estados a la hora de supervisar y aplicar eficazmente los embargos de armas.	0
Tres Estados han introducido procedimientos que prohíben la extradición de personas que puedan correr riesgo de tortura o persecución.	1
"Garantizar la coordinación y aplicación efectivas de la política de acción contra las minas y de las directrices de género para los programas de acción contra las minas. Grupo de Trabajo Interinstitucional sobre desarme, desmovilización y reintegración (presidido por el DOMP y el PNUD) Establecido por el ECPS para mejorar la actuación de la Organización en el ámbito del desarme, la desmovilización y la reintegración, el Grupo de Trabajo Interinstitucional proporciona asesoramiento estratégico, en particular sobre las necesidades de formación, las políticas y las estrategias; mantiene y revisa el conjunto desarrollado de orientaciones de las Naciones Unidas sobre desarme, desmovilización y reintegración; desarrolla y gestiona el Centro de Recursos de las Naciones Unidas sobre desarme, desmovilización y reintegración; y facilita la planificación de operaciones de desarme, desmovilización y reintegración entre los organismos pertinentes de las Naciones Unidas."	1
También expresó que el fracaso del Parlamento libanés a la hora de elegir un nuevo Presidente había socavado la estabilidad del Líbano y su resistencia desde el comienzo del conflicto en la República Árabe Siria.	1
"Las mujeres y los niños, especialmente las niñas, se han visto afectados por la violencia y los conflictos de reciente aparición asociados a la proliferación de milicias y grupos armados, en algunos casos vinculados al extremismo violento, mientras que muchos conflictos prolongados siguen sin resolverse."	1
"Se seleccionaron muy pocos para su revisión y, en última instancia, una vez completados todos los procedimientos descritos en las Directrices del Comité, incluidos los esfuerzos por obtener información de otros Estados pertinentes, la revisión finalizó sin que se produjera ningún cambio en la Lista."	0
"60. Apoyar el restablecimiento y la extensión de un nivel mínimo de autoridad estatal sostenible a las zonas liberadas de los grupos armados exige un mayor compromiso por parte del Gobierno para desplegar la administración del Estado, incluida la policía y el personal judicial y penitenciario con los recursos necesarios."	1
