en_es_DEEPL	MatConf
Una reunión en Damasco entre el Sr. Hariri y el Presidente Al-Assad, el 26 de agosto de 2004, pareció poner fin al conflicto.	1
4. Exhorta a los Estados a que actúen enérgica y decididamente para cortar los flujos de fondos y otros activos financieros y recursos económicos destinados a personas y entidades asociadas con la organización Al-Qaida, Usamah bin Ladin y/o los talibanes, teniendo en cuenta, según proceda, los códigos y normas internacionales de lucha contra la financiación del terrorismo, incluidos los destinados a impedir el uso indebido de organizaciones sin ánimo de lucro y sistemas informales/alternativos de envío de remesas;	0
Además, se sabía que la escena del crimen había sido alterada en varias ocasiones.	1
Aunque en la actualidad el acceso a la base de datos está limitado a los organismos encargados de la aplicación de la ley, es evidente que su valor aumenta a medida que más países facilitan información.	0
La Comisión observa con preocupación las irregularidades en las existencias de armas de las F-FDTL durante varios años.	0
Los trabajadores de ayuda humanitaria fueron acosados y agredidos con frecuencia durante los incidentes de bandidaje.	1
Muchos de los presuntos crímenes documentados en Darfur han sido generalizados y sistemáticos. Cumplen todos los umbrales establecidos en el Estatuto.	1
17. A pesar del desarme de 15.600 excombatientes en Ituri, la Comisión Nacional de Desmovilización y Reinserción sigue teniendo dificultades para cumplir sus responsabilidades, en particular el pago de las prestaciones de desmovilización a los excombatientes, lo que ha provocado un mayor descontento entre ellos. Es necesario pagar las prestaciones con urgencia y regularidad.	0
El Comité espera recibir de la Dirección Ejecutiva del Comité contra el Terrorismo, antes de finales de noviembre de 2009, un primer estudio de aplicación global actualizado, para su examen, con el fin de responder a la petición antes mencionada del Consejo de Seguridad.	0
Al mismo tiempo, es imperativo que todas las partes interesadas somalíes, especialmente las Instituciones Federales de Transición, cumplan sus promesas de resolver los tremendos retos políticos, económicos y de seguridad que tienen ante sí.	0
Además, el PNUD y la UNIPSIL colaboraron en la preparación de módulos de formación para la policía sobre diversos temas, entre ellos la ley electoral y las normas de profesionalidad aplicables en el desempeño de sus funciones.	0
Además, muchas víctimas informaron a la Comisión de que tenían poca confianza en la imparcialidad del sistema de justicia sudanés y en su capacidad para llevar ante la justicia a los autores de los graves crímenes cometidos en Darfur.	0
El Consejo de Seguridad también acoge con satisfacción las recientes mejoras de los procedimientos del Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011), en particular en lo que respecta a la eficaz y valiosa labor de la Oficina del Ombudsman establecida en virtud de la resolución 1904 (2009).	0
651. La Comisión también recomienda que las medidas destinadas a romper el ciclo de impunidad incluyan el ejercicio por parte de otros Estados de la jurisdicción universal, como se señala en otras partes del presente informe.	0
(a) necesarios para gastos básicos, incluidos el pago de alimentos, alquileres o hipotecas, medicamentos y tratamientos médicos, impuestos, primas de seguros y tasas de servicios públicos, o exclusivamente para el pago de honorarios profesionales razonables y el reembolso de los gastos ocasionados por la prestación de servicios jurídicos, o de honorarios o tasas de servicio por la tenencia o el mantenimiento ordinarios de fondos congelados u otros activos financieros o recursos económicos, previa notificación por el Estado o Estados pertinentes al Comité establecido en virtud de la resolución 1267 (1999) (en lo sucesivo, "el Comité") de la intención de autorizar, en su caso, el acceso a dichos fondos, activos o recursos y en ausencia de una decisión negativa del Comité en un plazo de 48 horas a partir de dicha notificación;	0
El potencial de atentados internacionales por parte de AQAP persiste, pero por ahora el impacto de las actividades de AQAP se deja sentir principalmente en Yemen.	1
221. Los Estados de la subregión cooperan adecuadamente con socios regionales e internacionales para reducir el riesgo de terrorismo y su vulnerabilidad ante el mismo. Intercambian inteligencia sobre amenazas y alertas, comparten información operativa y llevan a cabo entrenamientos conjuntos y otros ejercicios en contextos bilaterales y multilaterales.	0
Me preocupa especialmente la inestabilidad que podría surgir si la situación política y socioeconómica siguiera deteriorándose.	0
389. En conclusión, y de conformidad con la mayoría de los incidentes comunicados por otras fuentes, la Comisión constató que la mayoría de los casos de saqueo fueron llevados a cabo por los Janjaweed y, en unos pocos casos, por las fuerzas gubernamentales.	1
En esa batalla, los soldados heridos fueron trasladados a Baram para recibir atención médica.	1
