en_es_DEEPL	MatCoop
En 2009 y 2010 se realizaron varias incautaciones de grandes cantidades de armamento militar en África Occidental (Mali, Nigeria y Senegal).	0
Reunión de expertos de la Convención sobre armas biológicas	0
El programa recoge información a escala nacional sobre todas las personas que han sido detenidas o sospechosas de estar implicadas en fraudes bancarios o con tarjetas de crédito de bajo nivel, o en delitos relacionados con documentos de viaje.	1
5. El marco se basa en la premisa de que el pueblo de Darfur y las partes en conflicto deben liderar el proceso de paz y su aplicación, con las Naciones Unidas, la Unión Africana y los socios internacionales en un papel de facilitación.	1
Los miembros de la comisión llegaron a la conclusión de que había motivos razonables para determinar que en la República Popular Democrática de Corea se habían cometido y se seguían cometiendo crímenes de lesa humanidad como política de Estado.	0
Insto a los dirigentes libaneses a que reanuden y aceleren sus debates sobre el desarrollo de una estrategia de defensa nacional y logren avances tangibles. El resultado final de dicho proceso debe ser que no haya armas sin el consentimiento del Gobierno del Líbano ni más autoridad que la del Gobierno del Líbano.	0
Permítanme comenzar reiterando la profunda preocupación de la Unión Europea por la situación en Somalia y por las implicaciones regionales de su conflicto.	0
Se quemaron dos vehículos. Las oficinas de la planta baja fueron saqueadas.	0
(a) La distinción entre combatientes y civiles, y la protección de los civiles, especialmente contra la violencia contra la vida y la persona, en particular el asesinato (esta norma se reafirmó en algunos acuerdos celebrados por el Gobierno de Sudán con los rebeldes);	0
Uno de los detenidos era el chófer y guardaespaldas de Majed Hamdan, hermano de Mustafá Hamdan, que dirige una empresa que, al parecer, se encargaba de la seguridad del hotel St.	0
16. Los Estados examinadores disponían entonces de tres meses para facilitar cualquier información adicional de identificación o de otro tipo que tuviera relación con la inscripción en la Lista, como actualizaciones sobre la situación operativa de las entidades incluidas en la Lista, o el traslado, encarcelamiento o fallecimiento de personas incluidas en la Lista, o nuevos cargos relacionados con el terrorismo presentados contra ellas.	1
34. Decide revisar la aplicación de las medidas expuestas en la presente resolución dentro de dieciocho meses y hacer los ajustes necesarios para apoyar la paz y la estabilidad en Afganistán;	0
[I]nvita [al Estado afectado] a que, con la asistencia de la comunidad internacional, siga trabajando para establecer un sistema de justicia justo y transparente, que incluya la reconstrucción y reforma del sistema penitenciario, a fin de fortalecer el Estado de derecho en todo el país y eliminar la impunidad.	1
407. La importancia de determinar la responsabilidad penal individual por crímenes internacionales, tanto si han sido cometidos bajo la autoridad del Estado como fuera de dicha autoridad, se añade a la responsabilidad del Estado y es un aspecto crítico de la exigibilidad de los derechos y de la protección contra su violación.	1
Cuatro Estados cuentan con disposiciones legales adecuadas para la represión del reclutamiento de terroristas.	1
(r) Ratifique sin demora la Convención Internacional para la protección de todas las personas contra las desapariciones forzadas, la Convención sobre los derechos de las personas con discapacidad, el Estatuto de Roma de la Corte Penal Internacional y los convenios fundamentales de la Organización Internacional del Trabajo;	1
Además, la Comisión considera que el hecho de que la violación y otras formas de violencia sexual se llevaran a cabo principalmente contra tres tribus "africanas" es indicativo de la intención discriminatoria de los autores.	0
Al concluir esta cuarta ronda de conversaciones, las partes reiteraron su compromiso de proseguir las negociaciones en Manhasset en una fecha que se determinará de común acuerdo.	0
Los supervisores de armas de la Misión de las Naciones Unidas en Nepal (UNMIN) registraron y supervisaron el almacenamiento de armas del ejército maoísta para vigilarlo las 24 horas del día.	1
(c) Los movimientos de equipo y suministros militares a la región de Darfur que apruebe previamente el Comité establecido en virtud del apartado a) del párrafo 3 de la resolución 1591 (2005) a petición del Gobierno de Sudán;	1
Mejorar la protección de los civiles en los conflictos armados es uno de los ejes de la labor del Consejo de Seguridad de las Naciones Unidas para el mantenimiento de la paz y la seguridad.	0
14. El Comité y su grupo de trabajo sobre asistencia siguieron trabajando para mejorar la eficacia de su mecanismo de asistencia.	1
Además, el Fondo Monetario Internacional proporcionó apoyo presupuestario directo por valor de 60 millones de dólares en 2007 en el marco de su ayuda de emergencia post-conflicto y proporcionará lo mismo para 2008, incluso en apoyo de las elecciones y la rehabilitación social.	1
Sobre la base del examen inicial llevado a cabo por la MINURSO, se desplegó un equipo de examen del personal, y posteriormente un equipo de evaluación de la gestión del Departamento de Operaciones de Mantenimiento de la Paz, para ultimar las recomendaciones encaminadas a reconfigurar la estructura civil a fin de apoyar mejor las actuales actividades encomendadas, garantizar una mayor integración entre los componentes militar y civil y mejorar la gestión de la MINURSO.	0
Para orientar los nuevos compromisos de los donantes este año, la UNMIK preparó Kosovo: Reconstrucción 2000 -- un programa público de reconstrucción e inversión que orientaba a los donantes hacia las prioridades de la JIAS.	1
"El Consejo de Seguridad alienta a los Estados miembros a que sigan cooperando entre sí en la lucha contra la piratería y el robo a mano armada en el mar frente a las costas de Somalia, subraya la responsabilidad primordial de las autoridades somalíes en la lucha contra la piratería y el robo a mano armada en el mar frente a las costas de Somalia, y pide a las autoridades somalíes que, con la asistencia del Secretario General y de las entidades pertinentes de las Naciones Unidas, aprueben sin más demora un conjunto completo de leyes contra la piratería y declaren una zona económica exclusiva de conformidad con la Convención de las Naciones Unidas sobre el Derecho del Mar".	0
