en_es_DEEPL	VerConf
En otras palabras, ahora ha surgido en el derecho internacional el derecho de las víctimas de graves abusos contra los derechos humanos (en particular, crímenes de guerra, crímenes contra la humanidad y genocidio) a la reparación (incluida la indemnización) de los daños resultantes de esos abusos.	0
(b) Facilitar el establecimiento de los mecanismos regionales necesarios para la cooperación internacional en los procesos penales;	0
Además de otras informaciones fiables, la Comisión ha registrado testimonios de personas detenidas en relación con el conflicto de Darfur y actualmente recluidas en Jartum sobre la tortura y los tratos inhumanos y degradantes a los que han sido sometidas.	0
531. La Comisión señala en primer lugar que ha identificado a 10 altos funcionarios del Gobierno central, 17 funcionarios del Gobierno que operan a nivel local en Darfur, 14 miembros de los Janjaweed, 7 miembros de diversos grupos rebeldes y 3 oficiales de un ejército extranjero (que participaron a título individual en el conflicto) que son sospechosos de tener responsabilidad penal individual por los crímenes cometidos en Darfur.	1
El decreto provocó nuevos acontecimientos en relación con la integración de los grupos armados congoleños en las FARDC.	0
Subrayando que el desarrollo y mantenimiento de sistemas de justicia penal justos y eficaces debe ser una base fundamental de toda estrategia de lucha contra el terrorismo y la delincuencia organizada transnacional,	1
Hemos pedido al Consejo en varias ocasiones que actúe para obligar a Israel a cesar sus ataques militares, garantizar la protección de la población civil y poner fin a las medidas ilegales y punitivas con las que está provocando deliberadamente una catástrofe humana en la Franja de Gaza.	1
La reducción gradual y escalonada de la policía de la UNMIT comenzó en abril, con la reducción de un total de 22 agentes de policía individuales en mayo.	0
El Consejo reafirma, recuerda o reitera periódicamente su exigencia de que los Estados hagan cumplir los embargos de armas existentes, ya que su aplicación sigue planteando importantes dificultades.	1
Anima [a la misión] a mejorar su interacción con la población civil para aumentar la concienciación y la comprensión sobre su mandato y sus actividades, y a recopilar información fiable sobre las violaciones del derecho internacional humanitario y los abusos contra los derechos humanos perpetrados contra civiles.	0
Con mayor preocupación debo informar hoy de nuevo de que, a pesar de los considerables esfuerzos realizados por la UNAMID, la situación de la seguridad en Darfur no ha mejorado mucho.	1
Acogiendo con satisfacción el aumento de la representación de las mujeres en el Parlamento, elogiando a las autoridades [Nacionales] y subrayando la necesidad de aumentar su papel en la toma de decisiones con respecto a la prevención y resolución de conflictos,	0
He condenado el atentado terrorista contra la embajada india en Kabul.	1
Otras medidas que contribuyen a la polarización de los dos grupos son el conflicto de 1987-1989 por el acceso a los pastos y las fuentes de agua entre los nómadas de origen árabe y los sedentarios fur.	0
La Federación Rusa hace constar su profundo pesar y preocupación por la información sobre la violencia en curso en Darfur.	1
Nos sigue preocupando que, a pesar de todos los intentos por restablecer la paz y la seguridad, los esfuerzos por estabilizar la región oriental de la República Democrática del Congo hayan experimentado importantes reveses en los últimos tiempos.	1
Animo a las autoridades congoleñas a que hagan rendir cuentas a todos los responsables de las violaciones y saqueos masivos perpetrados en Walikale en julio y agosto de 2010.	1
Exhorta a todas las partes interesadas a que cumplan las obligaciones internacionales que les son aplicables en relación con la protección de los niños afectados por los conflictos armados, así como los compromisos concretos que han contraído con el Representante Especial del Secretario General para la cuestión de los niños y los conflictos armados, con el UNICEF y con otros organismos de las Naciones Unidas, y a que cooperen plenamente con las misiones de mantenimiento de la paz de las Naciones Unidas y con los equipos de las Naciones Unidas en los países ... en el seguimiento y la aplicación de estos compromisos.	0
La libertad de circulación de la FPNUL y la seguridad y protección de su personal forman parte integrante de la ejecución eficaz del mandato de la Fuerza.	0
La eficacia de las unidades de lucha contra la delincuencia organizada transnacional de Malí sigue viéndose considerablemente obstaculizada por la escasez de recursos, a pesar de la ubicación conjunta de una célula de lucha contra la delincuencia organizada transnacional de la Policía de las Naciones Unidas con sus homólogos malienses.	0
Se buscan estas armas porque son compactas y ofrecen a los terroristas la posibilidad de atacar con seguridad desde lejos y causar daños significativos.	0
La comisión ha autorizado al ACNUDH, en calidad de secretaría residual de la comisión, a facilitar el acceso a los materiales existentes en la base de datos a las autoridades competentes que lleven a cabo investigaciones fidedignas con el fin de garantizar la rendición de cuentas por los delitos y otras violaciones cometidos, establecer la verdad sobre las violaciones cometidas o aplicar sanciones selectivas ordenadas por las Naciones Unidas contra determinadas personas o instituciones.	0
84. Según otro alto mando, la mayoría de los reclutas de las PDF llegan "bien versados en armas de fuego y son duros y están en forma", pero "necesitan formación en disciplina". Señaló que los uniformes, las armas y la munición no siempre eran devueltos por los reclutas tras la desmovilización, y que en ocasiones las armas y la munición se distribuían a través de los líderes tribales para garantizar su devolución tras la desmovilización.	0
La mayoría de los testigos potenciales que residían fuera del Estado tenían miedo de testificar, incluso de forma confidencial, porque temían por la seguridad de sus familiares y suponían que su conducta seguía siendo vigilada clandestinamente por las autoridades.	1
El último informe del Secretario General sobre las resoluciones 1559 (2004) y 1701 (2006) expresaba claramente la importancia del desarme de Hezbolá y de poner fin al contrabando de armas a través de la frontera sirio-libanesa.	1
44. En cuanto a la reunificación de las dos fuerzas, los Jefes de Estado Mayor de las fuerzas de defensa y seguridad y de las Forces nouvelles informaron a la misión de evaluación de que habían elaborado una propuesta de ejército de transición unificado, que estaría compuesto por unidades mixtas encargadas de proporcionar seguridad al proceso electoral.	0
