en_es_DEEPL	VerCoop
Los miembros del Consejo se mostraron unánimemente preocupados por el estado del proceso de paz y expresaron su esperanza de que la próxima reunión del Grupo de Amigos del Secretario General lo haga avanzar. Otras cuestiones	1
59. La misión examinará con las autoridades ugandesas los medios para resolver este conflicto, incluida la aplicación de la ley de amnistía para los miembros del Ejército de Resistencia del Señor que no sean responsables de las violaciones más graves de los derechos humanos y del derecho internacional humanitario, en el contexto de los recientes intentos de negociación y de los procedimientos incoados por la Corte Penal Internacional para llevar ante la justicia a los responsables de violaciones graves de los derechos humanos y del derecho internacional humanitario.	1
Dijo que el EIIL y todas las demás partes en el conflicto estaban matando e hiriendo a personas y destruyendo aldeas, pueblos y ciudades con impunidad.	0
:: Aumentar la cooperación y la coordinación con el Comité contra el Terrorismo y su Dirección Ejecutiva, el Comité establecido en virtud de la resolución 1540 (2004) y todos los organismos u organizaciones internacionales que hayan acumulado experiencia y conocimientos especializados en la lucha contra el terrorismo.	0
44. Está igualmente claro que muchos de los asesinatos de esos dos días no se produjeron en la calle, sino en las viviendas de posibles manifestantes o incluso de civiles inocentes que eran objetivo de las fuerzas de seguridad simplemente por su nombre, origen o grupo comunitario.	0
En estos momentos no está claro cuándo podría alcanzarse un acuerdo sobre la reestructuración de la policía que permita el inicio de las negociaciones, pero la Unión Europea está dispuesta a ayudar en las negociaciones posteriores una vez que se alcance un acuerdo que satisfaga las condiciones de la Comisión Europea.	1
Al término de la conferencia se adoptaron declaraciones sobre áreas temáticas clave, como la gobernanza política y económica; el desarrollo del sector privado; la gestión de los recursos naturales; el apoyo a la diáspora sierraleonesa; la rendición de cuentas; y los marcos para la explotación de los recursos naturales y la asignación de los recursos estatales.	1
Las medidas para ayudar a las personas cuyos familiares fueron asesinados, el reconocimiento por parte de las autoridades gubernamentales de su responsabilidad y las explicaciones sobre las medidas que se van a tomar para evitar que se repitan las violaciones parecen ser de vital importancia para la comunidad.	1
Todos los Estados han establecido legislación y medidas para regular y controlar la producción, venta y transferencia de armas y explosivos. Sin embargo, la información presentada no es suficiente para poder evaluar la eficacia de su aplicación.	1
Es igualmente importante que el compromiso de una misión con las Naciones Unidas y otros actores humanitarios no socave la independencia y neutralidad de dichos actores ni la percepción que se tiene de ellos.	0
43. En cumplimiento de estos objetivos, la MINUSTAH documentó casos generalizados de detenciones ilegales, malos tratos y detención preventiva prolongada.	0
Alienta a los países que aportan contingentes y fuerzas de policía a que, en consulta con el Secretario General, estudien las medidas que podrían adoptar para aumentar la concienciación y la capacidad de respuesta de su personal que participa en operaciones de mantenimiento de la paz de las Naciones Unidas para proteger a los civiles, incluidas las mujeres y los niños, y prevenir la violencia sexual contra las mujeres y las niñas en situaciones de conflicto y posteriores a los conflictos, incluido, siempre que sea posible, el despliegue de un mayor porcentaje de personal de mantenimiento de la paz o de policía femenino.	1
7. La Dirección Ejecutiva seguirá intensificando su cooperación con los órganos pertinentes de las Naciones Unidas, incluido el Equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones establecido en virtud de la resolución 1526 (2004) del Consejo de Seguridad y el grupo de expertos que presta asistencia al Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), así como con diversas organizaciones internacionales, regionales y subregionales, incluso en el contexto de las visitas del Comité a los Estados.	0
66. Se han establecido varios mecanismos de cooperación regional para mejorar la capacidad de los Estados de prevenir colectivamente la incitación y denegar refugio seguro en la región de América Latina y el Caribe.	0
