en_es_DEEP	MatCoop
193. Para responder eficazmente a la naturaleza asimétrica de la amenaza terrorista, es esencial fortalecer la cooperación estableciendo un intercambio continuo de información entre los organismos encargados de hacer cumplir la ley, la seguridad fronteriza y los de inteligencia.	1
El Consejo tiene la intención de intensificar sus esfuerzos para luchar contra la impunidad y defender la rendición de cuentas por crímenes graves contra mujeres y niñas con los medios adecuados y llama la atención sobre toda la gama de mecanismos de justicia y reconciliación que deben considerarse, incluidos tribunales y cortes penales nacionales, internacionales y mixtos. comisiones de verdad y reconciliación, así como programas nacionales de reparación para las víctimas, reformas institucionales y mecanismos tradicionales de resolución de disputas.	1
El Grupo de Supervisión cree firmemente que los ingresos así obtenidos son utilizados por los responsables para ayudar a mantener sus milicias y comprar armas.	0
Durante el conflicto actual, los soldados del Gobierno masacraron a personas en Monoko-Zohi, y recientemente hubo informes de fosas comunes en Man y Danané atribuibles a las fuerzas del Gobierno.	0
Además, el Grupo de Expertos sobre la República Democrática del Congo recomendó que el Comité del Consejo de Seguridad establecido en virtud de la resolución 1533 (2004) informara sin demora al Grupo y a la Misión de las Naciones Unidas en la República Democrática del Congo (MONUC) de las notificaciones que recibe de los Estados que suministran armas a la República Democrática del Congo en virtud de las exenciones del embargo de armas (S/2008/43), y que el Gobierno de la República Democrática del Congo informe a la MONUC de esos envíos de armas entrantes.	1
Al menos 70 miembros clave del Congreso Popular se encuentran actualmente detenidos sin cargos ni juicio, y varios de ellos han huido del Sudán al exilio.	0
También recomienda que el Gobierno de Nepal se comprometa claramente con la reintegración de los niños asociados con fuerzas y grupos armados, y que mejore la protección jurídica de los niños penalizando el reclutamiento de niños y enjuiciando a los violadores de los derechos de los niños.	0
En primer lugar, según estimaciones de las Naciones Unidas hay 1,65 millones de desplazados internos en Darfur y más de 200.000 refugiados de Darfur en el vecino Chad.	0
Ordena a la Comisión que examine la financiación de las actividades de la CEDEAO con el fin de garantizar que se pongan a disposición de las instituciones recursos adecuados.	0
634. De la información reunida y verificada por la Comisión se desprende claramente que las violaciones y otras formas de violencia sexual cometidas por los Janjaweed y los soldados del Gobierno en Darfur fueron generalizadas y sistemáticas y, por lo tanto, pueden constituir un crimen contra la humanidad.	0
:: Llevar a cabo un examen más detenido en esferas en las que el examen inicial de los informes reveló lagunas en la información o en la aplicación de todos los aspectos de la resolución, incluidas todas las medidas necesarias, para cada tipo de arma, o sus respectivos medios vectores, y para los materiales relacionados con ellos, incluida la modificación de las matrices cuando sea útil	1
66. La gran mayoría de los secuestros y desapariciones forzadas están relacionados con la Guerra de Corea y el movimiento organizado de personas de etnia coreana procedentes del Japón que comenzó en 1959.	0
Un cuarto atacante no logró detonar su bomba y fue arrestado unos días después.	0
Los desequilibrios regionales en las tasas totales de registro de votantes deberían ser una seria advertencia en ese sentido.	0
Respeto por el derecho de los refugiados y desplazados al regreso voluntario en condiciones seguras y dignas a sus hogares.	1
Los intentos infructuosos de Aiman ​​Muhammad Rabi al-Zawahiri de mediar en los conflictos internos entre Al-Qaida y Jabhat al-Nusra (una filial de Al-Qaida en el Iraq), así como las persistentes luchas internas dentro de Al-Shabaab, señalan los límites de Al- La autoridad de Zawahiri.	0
