en_es_DEEP	VerConf
c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que aborden todas las demás violaciones y abusos cometidos contra los niños y contraigan compromisos y medidas específicas a este respecto;	0
Creemos, sin embargo, que una retirada abrupta sería contraproducente y crearía un vacío sin precedentes, sobre todo teniendo en cuenta que aún no se han creado del todo las condiciones propicias para las esperadas inversiones a gran escala y el desarrollo sostenible.	1
Nos preocupa que la situación de seguridad siga siendo problemática.	1
Sin embargo, la situación de la seguridad sigue siendo una verdadera preocupación para todos, a pesar de la disminución de los acontecimientos relacionados con la seguridad en diciembre de 2011 y enero de 2012, en comparación con los dos meses anteriores del año pasado.	1
Como usted sabe, el 12 de diciembre de 2000 fui testigo de la firma del acuerdo entre el Gobierno del Estado de Eritrea y el Gobierno de la República Democrática Federal de Etiopía, que tuvo lugar en Argel en una ceremonia oficial patrocinada por el Presidente Abdelaziz Bouteflika. .	0
Aliento a las autoridades congoleñas a exigir responsabilidades a todos los responsables de las violaciones masivas y los saqueos ocurridos en Walikale en julio y agosto de 2010.	1
Tanto la resolución como el Convenio establecen que para que exista el delito de financiación del terrorismo, los fondos destinados a financiar el acto terrorista no necesitan ser producto del delito, y que el acto terrorista que los fondos estaban destinados a financiar en realidad no necesita haber tenido lugar o incluso haber sido intentado.	0
"El Consejo de Seguridad observa con preocupación que el terrorismo sigue planteando una grave amenaza a la paz y la seguridad internacionales, el disfrute de los derechos humanos y el desarrollo social y económico de todos los Estados miembros, y socava la estabilidad y la prosperidad mundiales; que esta amenaza se ha vuelto más difuso, con un aumento, en varias regiones del mundo, de los actos terroristas, incluidos los motivados por la intolerancia o el extremismo, y expresa su determinación de combatir esta amenaza.	1
b) Continuar atentos al desarrollo de las técnicas más recientes, a fin de prevenir su uso indebido y detectar casos de financiación del terrorismo a través de nuevos métodos de pago; desarrollar leyes y regulaciones apropiadas y mejorar la cooperación internacional en la investigación y procesamiento de sospechas de uso indebido de nuevos métodos de pago con fines de financiación del terrorismo;	0
Insta a los Estados y a todas las demás partes en un conflicto armado a hacer todo lo posible para prevenir violaciones del derecho internacional humanitario contra civiles, incluidos periodistas, profesionales de los medios de comunicación y personal asociado.	1
15. En general, con su atención centrada en Belgrado, los grupos políticos serbokosovares no han articulado una política clara sobre una serie de cuestiones críticas, incluida la futura participación de los serbokosovares en JIAS.	1
22. Después de observar los movimientos de los desplazados internos hacia Kosovo y hablar con personas de etnia albanesa en el sur de Serbia, el ACNUR informó que los desplazados internos habían huido por miedo a quedar atrapados entre las líneas de fuego y por la preocupación general por la acumulación de de las fuerzas policiales y militares en el valle de Presevo.	1
Condenando todos los ataques contra el personal humanitario y de mantenimiento de la paz de las Naciones Unidas, independientemente de sus autores, y destacando que los responsables de esos ataques deben ser llevados ante la justicia.	1
Estas reuniones proporcionan al Comité información invaluable sobre la implementación del régimen de sanciones y la amenaza que representan Al-Qaida y sus afiliados, y ofrecen un foro para que funcionarios de inteligencia y seguridad de diferentes países interactúen entre sí y con el Equipo e intercambien información.	1
621. Si una comisión de la verdad y la reconciliación sería apropiada para el Sudán y en qué etapa debería establecerse es una cuestión que sólo el pueblo sudanés debería decidir mediante un proceso verdaderamente participativo.	0
Llamar a las partes en conflictos armados, a los Estados y a otros actores relevantes a brindar asistencia para la atención, rehabilitación y reintegración económica y social de las víctimas de REG y sus familias y comunidades.	0
La reciente publicación por el Consejo de Ulemas de un decreto religioso que condena los narcóticos y otras actividades conexas puede ser fundamental para desalentar el cultivo de adormidera.	1
96. La Comisión observó que la Ley de las Fuerzas de Seguridad Nacional, modificada en 2001, otorga a las fuerzas de seguridad poderes de amplio alcance, incluida la facultad de detener sin cargos ni acceso a un juez por hasta nueve meses.	1
La recopilación de información oportuna, precisa, confiable y objetiva sobre la violencia sexual relacionada con los conflictos es crucial para adaptar las respuestas del Consejo, así como para mejorar las medidas para prevenir la violencia sexual.	1
27. Preocupados por la situación imperante en el sur de Libia, los Jefes de Estado y de Gobierno subrayan la necesidad de resolver la situación para mantener la estabilidad en el Sahel.	0
152. El caso descrito anteriormente ha atraído la atención, pero el Grupo observó otros ejemplos, no denunciados, de importación de vehículos para uso militar.	0
Debido a la condena ya cumplida, los policías fueron puestos en libertad en la primera semana de marzo. El 8 de marzo de 2008, el Sr. Abdelaziz me escribió para protestar porque la liberación anticipada de los policías equivalía a "una oferta de impunidad" por parte de las autoridades marroquíes por las acciones de los policías.	0
El Presidente Al-Bashir tenía la intención de que su promesa del 19 de junio de 2004 de desarmar a los Janjaweed se aplicara sólo a los bandidos, no a las Fuerzas de Defensa Popular, la policía popular u otros miembros de tribus armados por el Estado para luchar contra los rebeldes.	0
Es evidente que la Comisión puede no estar en condiciones de cumplir estas tareas si no ha establecido previamente (a) si las violaciones equivalen a crímenes internacionales y, de ser así, (b) a qué categorías de crímenes pertenecen (crímenes de guerra, crímenes contra la humanidad, genocidio u otros crímenes).	1
Sistemas de apoyo a la violencia de género establecidos.	0
Pero nos preocupa que la violencia pueda hacer que parte de la población se mantenga alejada de los lugares de votación en el sur y en otros lugares.	1
