en_es_DEEP	VerCoop
También se hacen recomendaciones sobre la participación de actores nacionales tanto para garantizar un conocimiento suficiente de los antecedentes sociales, políticos y culturales relevantes para los casos como para reforzar el desarrollo del sector judicial nacional.	1
La Oficina ya ha comenzado a trabajar en al menos siete casos.	0
3. Los participantes consideraron que, debido a su gravedad, estos acontecimientos subrayaban la necesidad y la urgencia de acelerar los preparativos para un diálogo inclusivo entre los malienses, de manera que se sentaran las bases para una reconciliación genuina entre los malienses y para una paz, una seguridad y una paz duraderas. y estabilidad en el país.	1
Utilizar un enfoque de evaluación participativa para garantizar que las mujeres y niñas retornadas y desplazadas internamente influyan en el establecimiento y el contenido de las estrategias y programas de reintegración; perfeccionar los puntos de referencia de reintegración sensibles al género en cuestiones como la reforma constitucional y los procesos electorales; desagregar indicadores por sexo.	1
La Oficina ha acogido con satisfacción estos intercambios de conocimientos y mejores prácticas en el ámbito de la reparación de las víctimas y ha alentado a otros Estados a continuar por este camino.	1
Reiteró firmemente su condena personal del incidente, que, según dijo, estaba enviando señales muy indeseables y erróneas antes de las elecciones de 2012, y que podría potencialmente anular y descarrilar los avances nacionales logrados en términos de cambio de imagen del país, consolidación de la paz y consolidación de la paz. que se lograron con tanto esfuerzo con la ayuda de nuestros socios para el desarrollo y la comunidad internacional.	0
Otro ha creado un grupo de trabajo interdepartamental sobre migración para implementar medidas que fomenten la integración, incluso en las áreas de habilidades lingüísticas y capacitación laboral, para promover el diálogo con los inmigrantes y monitorear la xenofobia, el racismo y el extremismo.	0
a) Revisar las leyes penales para velar por que los delitos de cada una de las categorías designadas estén debidamente tipificados como delito y promulgar disposiciones legislativas contra el terrorismo, según sea necesario;	1
Tres Estados han establecido un marco jurídico que aborda los requisitos de protección marítima y han implementado parcialmente normas internacionales obligatorias para la protección de puertos y buques de conformidad con el Código PBIP.	1
9. Cambio operativo. Los ataques complejos y simultáneos con múltiples ataques, como lo ilustran los ataques de Arlit y Agadez en el Níger el 23 de mayo de 2013, demuestran que los afiliados locales de Al-Qaida están tratando de seguir las directrices básicas de Al-Qaida para incidentes "espectaculares".	0
Es necesaria una aplicación más eficaz de la resolución 1624 (2005), que fomenta el diálogo y el entendimiento entre religiones y culturas a fin de contrarrestar la incitación a actos terroristas motivados por el extremismo y la intolerancia.	1
560. Es necesario agregar que la noción de responsabilidad superior también se aplica a los conflictos armados internos, como lo han sostenido con autoridad los Tribunales Internacionales. La opinión jurídica de los Estados es en el mismo sentido.	1
En este sentido, la Dirección Ejecutiva seguirá haciendo coincidir las necesidades prioritarias identificadas con los programas de donantes y proveedores actuales y potenciales a fin de mejorar la capacidad de los Estados Miembros para luchar contra el terrorismo y fortalecer el diálogo entre la comunidad de donantes y los Estados receptores.	1
Algunos han argumentado que, en cualquier caso, estas empresas deberían tomar medidas para cerrar sitios que enseñan técnicas terroristas, como la producción de explosivos o el uso de armas que puedan causar víctimas masivas.	1
Las tres Misiones también están estudiando la posibilidad de ampliar aún más la cooperación en el fletamento de aviones de pasajeros de alta capacidad para la rotación de tropas; establecer una oficina regional de adquisiciones con personal conjunto; y mejorar las instalaciones de la MONUC en Entebbe (Uganda), que ya prestan servicios a la MONUC, la ONUB y la UNMIS, para proporcionar alojamiento para el tránsito de tropas y un punto principal de entrada para los envíos de las tres Misiones, entre otras funciones.	1
La protección de los civiles es una obligación ignorada durante mucho tiempo en Somalia.	0
Pero las actividades provocadoras de Eritrea no se han limitado a emitir declaraciones de guerra.	0
Muchos hombres fueron arrestados y llevados a la comisaría.	0
El Consejo de Seguridad también señala la importancia de una estrecha colaboración dentro y entre todos los organismos gubernamentales y con las organizaciones internacionales en la lucha contra el terrorismo y su incitación.	1
(iv) Producir y actualizar periódicamente, y al menos mensualmente, un calendario de eventos de divulgación o actividades similares, que abarquen períodos de al menos seis meses en el futuro, que incluya información sobre otras actividades de los Estados y organizaciones internacionales, regionales y subregionales pertinentes, el Comité contra el Terrorismo, el Comité establecido en virtud de la resolución 1267 (1999) y otros órganos de las Naciones Unidas;	1
d) Adopte un enfoque de la trata de personas centrado en las víctimas y basado en los derechos humanos, incluso proporcionando a las víctimas el derecho a permanecer en el país y acceso a protección jurídica y servicios básicos, como tratamiento médico, educación y oportunidades de empleo equivalentes. a los otorgados a sus propios ciudadanos;	1
En este sentido, se ha llegado a un entendimiento con las partes sobre la posibilidad de revisar los acuerdos militares para responder mejor a las realidades sobre el terreno.	1
Observa que el Departamento de Operaciones de Mantenimiento de la Paz ha enviado una misión de investigación a Chad y la República Centroafricana para evaluar cómo las Naciones Unidas podrían ayudar a esos países a abordar la inestabilidad actual.	0
Instando [al Estado afectado] a emprender, en coordinación con la comunidad internacional, una reforma integral de los sistemas policial, judicial y penitenciario, para proteger y promover los derechos humanos y las libertades fundamentales, y poner fin a la impunidad.	1
Para preservar la soberanía y la independencia de los Estados y mantener la seguridad, la paz y la estabilidad internacionales, Siria insta a las Naciones Unidas y a sus órganos encargados de la lucha contra el terrorismo y su financiación, incluido el Consejo de Seguridad y su comité subsidiario especializado, como así como al Consejo de Derechos Humanos, para negar a los terroristas y a quienes los apoyan cualquier cobertura para sus prácticas destructivas.	1
En este contexto, el Consejo de Seguridad acoge con satisfacción la decisión de la Cumbre de la Unión Africana celebrada en Sirte el 3 de julio de aumentar la fuerza de la AMISOM a los niveles de tropas establecidos por su mandato y su llamamiento a los Estados miembros de la UA para que proporcionen el personal militar y policial necesario.	1
El informe también debería identificar las contribuciones que el Consejo podría hacer para la implementación efectiva del derecho humanitario existente. El informe debería examinar si existen lagunas significativas en las normas jurídicas existentes, mediante la revisión de informes recientes al respecto.	1
Dijeron a la Comisión que, efectivamente, la policía fue el objetivo de los ataques a las aldeas, pero culparon principalmente a los Janjaweed por estas acciones.	0
Por este motivo, la Dirección Ejecutiva siempre plantea estas cuestiones durante las visitas a los países, los talleres de vídeo y otros intercambios, y considera que en el futuro será útil trabajar más intensamente con los Estados sobre los aspectos prácticos de esos enfoques.	1
47. Insta encarecidamente a los Estados miembros a que proporcionen toda la información pertinente al Defensor del Pueblo, incluida cualquier información confidencial pertinente, cuando proceda, alienta a los Estados miembros a que proporcionen información pertinente de manera oportuna, acoge con satisfacción los acuerdos nacionales concertados por los Estados miembros con la Oficina del Ombudsman para facilitar el intercambio de información confidencial, alienta una mayor cooperación de los Estados Miembros a este respecto, incluso mediante la concertación de acuerdos con la Oficina del Ombudsman para el intercambio de dicha información, y confirma que el Ombudsman debe cumplir con cualquier restricción de confidencialidad que se imponga sobre dicha información por parte de los Estados miembros que la proporcionen;	1
Un capo pirata somalí, Mohamed Abdi Hassan, conocido como "Afweyne", fue arrestado en octubre de 2013 en Bruselas. Otro líder pirata, Mohamed Garfanji, fue arrestado en agosto de 2014 en Mogadiscio por posesión de armas ilegales y por otros cargos relacionados con la piratería.	0
Las investigaciones realizadas por la MINUSTAH y la Policía Nacional de Haití sobre el secuestro y el posterior asesinato sugirieron que el crimen tuvo motivaciones políticas, pero no pudieron establecer de manera concluyente la responsabilidad.	0
En cuanto al papel del Consejo de Seguridad en las reparaciones, se señaló que en varias ocasiones se había alentado al Consejo a adoptar medidas en relación con este aspecto de la rendición de cuentas. Por ejemplo, además de recomendar la remisión de la situación a la CPI, la Comisión Internacional de Investigación sobre Darfur también recomendó que el Consejo estableciera una comisión internacional de compensación, sugerencia que recibió poca atención y ningún seguimiento por parte del Consejo.	1
Llamar al cumplimiento por parte de las partes en un conflicto armado del derecho internacional humanitario aplicable y al respeto del estatus civil de los periodistas, profesionales de los medios de comunicación y personal asociado, así como de sus equipos e instalaciones.	1
Acogiendo con beneplácito la continua labor del Gobierno del Iraq en pro de un Iraq federal, democrático, pluralista y unificado, en el que exista pleno respeto de los derechos humanos,	1
h) Proporcionar al Consejo, por conducto del Comité, una sesión informativa de mitad de período dentro de los 90 días siguientes a su establecimiento;	1
El Consejo de Seguridad reconoce que el desarrollo y la seguridad se refuerzan mutuamente y son vitales para un enfoque eficaz e integral de la lucha contra el terrorismo.	1
16. En segundo lugar, la delincuencia transfronteriza debilita las capacidades del Estado, incluidas las militares y policiales.	1
Aproximadamente a las cinco de la tarde. un vehículo pasó a gran velocidad. El Sr. Kiak y sus hombres abrieron fuego e hirieron al sacerdote que conducía.	0
392. Sobre la base de la información de que dispone la Comisión, parecería que los saqueos llevados a cabo principalmente por los Janjaweed en el contexto de ataques contra aldeas se han llevado a cabo en gran escala y han sido tolerados por el Gobierno del Sudán mediante la propagación de una cultura de impunidad y el apoyo directo a los Janjaweed.	0
294. Considerando los límites de sus funciones inherentes, la Comisión no ha podido afirmar con certeza el número de víctimas civiles en Darfur.	0
El Consejo destaca la necesidad de que el nuevo gobierno, una vez formado, interactúe con la comunidad internacional y utilice el período de transición de manera constructiva con fines de reconciliación, estabilidad y reconstrucción.	1
Observando con preocupación que el terrorismo sigue planteando una grave amenaza a la paz y la seguridad internacionales, al disfrute de los derechos humanos y al desarrollo social y económico de todos los Estados Miembros, y socava la estabilidad y la prosperidad mundiales, y que esta amenaza se ha vuelto más difusa, con un aumento, en diversas regiones del mundo, de los actos terroristas, incluidos los motivados por la intolerancia o el extremismo, expresando su determinación de combatir esta amenaza y destacando la necesidad de asegurar que la lucha contra el terrorismo siga siendo una prioridad en la agenda internacional,	1
