en_es_GOOGLE	MatConf
Los peritos forenses de la Comisión han podido comprobar que algunos militares fueron enterrados en las trincheras que existían alrededor del campamento militar, y todos los civiles fueron enterrados en múltiples fosas en el cementerio de la ciudad.	1
Podría prever competencias mejoradas en ámbitos como la policía, la justicia, la educación, la cultura, los medios de comunicación y la economía. Podría permitir vínculos horizontales entre municipios de mayoría serbokosovar.	0
12. Exhorta al Comité a que, en cooperación con el Comité establecido en virtud de la resolución 1373 (el &quot;Comité contra el Terrorismo&quot; o &quot;CTC&quot;), informe al Consejo sobre las medidas adicionales específicas que los Estados podrían adoptar para aplicar las medidas descritas en el párrafo 1 arriba;	0
119. Las pruebas que tiene ante sí la Comisión sugieren que unas nueve personas murieron y tres sufrieron heridas graves por armas de fuego durante el enfrentamiento armado en Taci Tolu/Tibar, como se describe en los párrafos 67 y 68 supra.	1
Los Estados Unidos instan a las autoridades de Haití a cumplir su promesa de cubrir las seis vacantes en el Tribunal Supremo de Casación antes del 3 de octubre de 2011.	0
Estamos convencidos de que una pronta conclusión de estas conversaciones, con la firma de un acuerdo de paz integral y definitivo, facilitará en gran medida los esfuerzos para combatir el terrorismo y el crimen organizado transnacional en nuestra región.	0
El Comité se esfuerza por garantizar que la lista consolidada sea dinámica y responda a la evolución de la amenaza que plantean Al-Qaida y los talibanes.	0
▪ Aplicar medidas disciplinarias militares apropiadas y defender el principio de responsabilidad del mando.	1
44. Es igualmente claro que muchas de las matanzas de estos dos días no tuvieron lugar en la calle sino en las viviendas de posibles manifestantes o incluso de civiles inocentes atacados por las fuerzas de seguridad simplemente por su nombre, origen o grupo comunitario. .	1
Un Estado citó el ejemplo de personas a las que se había negado la entrada durante el último decenio debido a sospechas de su participación en actividades terroristas internacionales.	0
4. Durante todo el período de su mandato, el Grupo de Supervisión mantuvo informado al Comité del Consejo de Seguridad establecido en virtud de la resolución 751 (1992) de sus actividades presentando informes sobre los progresos realizados cada dos semanas a través de la Secretaría de las Naciones Unidas y proporcionando una sesión informativa de mitad de período en las Naciones Unidas. Sede en Nueva York en julio de 2005.	0
Varios detenidos bajo custodia de las autoridades marroquíes iniciaron una huelga de hambre desde principios de agosto hasta el 29 de septiembre.	1
Por eso condenamos el terrorismo.	0
La misión está convencida, por el material recibido y las reuniones celebradas, de que el conflicto ha tenido graves repercusiones sobre los derechos humanos.	1
El entorno cambiante en Afganistán plantea interrogantes sobre los grupos de Asia Central que actualmente operan allí, como el Jamaat Ansarullah (no incluido en la lista), la escisión étnica tayika del Movimiento Islámico de Uzbekistán (QE.I.10.01).	0
45. El Gobierno de Nepal debería velar por que existan medidas de protección adecuadas para los niños víctimas y testigos y para los niños acusados de crímenes en el contexto del conflicto, así como incluir la participación de los niños en cualquier actividad de justicia de transición para asegurar que sus experiencias de Se escucha el conflicto.	0
Decide que las medidas mencionadas en el párrafo [pertinente] ... supra [prohibición de viajar y congelación de activos] se aplicarán a las siguientes personas y, según corresponda, entidades designadas por el Comité: ... e) Personas o entidades que operan en [el país afectado] y cometen violaciones graves que implican atacar a... mujeres en situaciones de conflicto armado, incluidos asesinatos y mutilaciones, violencia sexual, secuestros y desplazamientos forzados;	1
o El 7 de noviembre de 2014, las fuerzas del régimen bombardearon cerca de la mezquita Tayba al-Qadim en Damasco Rural, hiriendo a 14 civiles que salían de la mezquita después de las oraciones del viernes.	1
Condeno en los términos más enérgicos los reprobables ataques contra personas que apoyan al pueblo somalí en sus esfuerzos por combatir el crimen organizado que está obstaculizando el desarrollo de su país.	0
41. Como se describe con cierto detalle a continuación, todas las pruebas disponibles sugieren que el tiroteo inicial que inició las matanzas indiscriminadas en la mañana del 25 de marzo fue el resultado de una acción coordinada de las fuerzas de seguridad.	1
Las implicaciones de la muerte de Khalil Ibrahim para el proceso de paz de Darfur sólo quedarán claras con el tiempo.	1
Me preocupa especialmente la inestabilidad que podría surgir si la situación política y socioeconómica siguiera deteriorándose.	0
La mayoría de los Estados tienen poca capacidad para congelar sin demora fondos y activos vinculados al terrorismo.	1
23. El redespliegue del personal judicial y penitenciario no ha avanzado al mismo ritmo que la rehabilitación de la infraestructura debido a las persistentes preocupaciones sobre su seguridad en zonas del norte de Malí bajo el control de grupos armados, así como a la falta de equipo.	1
Las autoridades de la República Democrática del Congo tienen la obligación internacional de garantizar que su país no sea utilizado como base desde donde estos rebeldes vienen a atacar Uganda.	1
Además, la MONUSCO debe seguir protegiendo al personal y los bienes de las Naciones Unidas y, de conformidad con su mandato actual, y siempre que se disponga de suficientes medios de aviación, contener actos violentos que amenacen la protección de los civiles durante el período electoral.	0
Dado que las categorías de crímenes internacionales se enumeran en otras partes del informe, tal vez baste aquí recordar brevemente las diversas formas de participación en crímenes internacionales que dan lugar a responsabilidad penal individual.	0
Algunos Estados tienen capacidad para congelar sin demora fondos y activos vinculados al terrorismo, aunque en la mayoría de los casos es limitada.	1
Si los Estados no pueden implementar las decisiones adoptadas por el Consejo en virtud del Capítulo VII de la Carta de las Naciones Unidas sin contravenir sus propias leyes, la comunidad mundial perderá el poder de tomar medidas coordinadas contra las amenazas a la paz y la seguridad internacionales.	0
Importación-exportación de armas: seguimiento y detección del contrabando	1
El Gobierno de la República Árabe Siria destaca que está cumpliendo con su deber de proteger a sus ciudadanos, desarmar a los terroristas y exigir responsabilidades a los perpetradores. Prosigue sus esfuerzos por encontrar una solución política a la crisis en Siria cooperando con el Enviado Especial Kofi Annan y aprovechando la serie de logros democráticos que comenzaron en marzo del año pasado. Esos logros incluyen el levantamiento del estado de emergencia; la expedición de leyes sobre pluralismo político, elecciones locales y libertad de medios de comunicación; acciones para abordar la situación económica de los ciudadanos; la promulgación de una nueva constitución; y otras medidas para promover la vida política y fomentar el pluralismo y la democracia hacia el inicio de un proceso de reforma integral.	0
6. Recuerda las obligaciones mencionadas en el párrafo dispositivo 2 (e) de la resolución 1373 (2001) y las recuerda en particular en lo que respecta a los ataques terroristas contra el personal, el personal de mantenimiento de la paz y las instalaciones de las Naciones Unidas;	0
En una reunión plenaria de nueve jueces de primera instancia y cinco jueces de apelación, se debatió extensamente la cuestión de la indemnización a las víctimas de los trágicos acontecimientos de Ruanda.	0
A medida que avanzaba el trabajo de la Comisión se presentaron más testigos.	0
A petición del alto mando de las Forces nouvelles, se creó un grupo de trabajo integrado por las fuerzas imparciales y las Forces nouvelles para elaborar un plan operativo para el acantonamiento de sus tropas.	0
Decide por la presente, habiendo recibido la solicitud de [el Estado afectado], establecer un tribunal internacional con el único propósito de procesar a los responsables de genocidio y otras violaciones graves del derecho internacional humanitario cometidos en el territorio [del Estado afectado] y a los ciudadanos [ del Estado afectado] responsable del genocidio y otras violaciones similares cometidas en el territorio de Estados vecinos, entre [fechas].	1
En primer lugar, las preocupaciones en el frente de la seguridad siguen siendo primordiales.	0
Pide [al Estado afectado que facilite] la ayuda internacional para el desastre humanitario mediante una moratoria sobre todas las restricciones que puedan obstaculizar la prestación de asistencia humanitaria y el acceso a las poblaciones afectadas.	0
79. La misión preguntó sobre los informes de que existía una fosa común en Bouaké con los restos de decenas de miembros de la gendarmería ejecutados.	1
Esperamos profundizar nuestra relación con las Naciones Unidas en el próximo período.	0
