en_es_GOOGLE	MatCoop
Estos incluyen el derecho a la vida; la prohibición de la tortura o penas crueles, inhumanas o degradantes; la prohibición de la esclavitud, la trata de esclavos y la servidumbre; y la libertad de pensamiento, de conciencia y de religión.	1
El Consejo de Seguridad está particularmente preocupado por la retirada del estatuto de refugiado y el consiguiente fin de la asistencia a muchos refugiados del [Estado vecino]... Las decisiones del [Estado afectado] a este respecto pueden dar lugar al regreso involuntario de decenas de miles de personas a una zona que no es segura ni está preparada para recibirlas.	0
Como parte del plan, se hicieron importantes esfuerzos para incluir a miembros elegibles de comunidades minoritarias.	1
En ocho Estados se aplican medidas para prevenir el movimiento transfronterizo ilegal de personas, y nueve vigilan y controlan eficazmente la importación y exportación de armas y explosivos.	1
El equipo de mediación mantuvo conversaciones bilaterales con el Gobierno y la Coordinación, compuesta por el Movimiento Nacional para la Liberación de Azawad (MNLA), el Alto Consejo para la Unidad de Azawad (HCUA) y el Movimiento Árabe de la Azawad (MAA), junto con personas de la Coordination des mouvements et fronts patriotiques de résistance II (CMFPR-II) y una facción de la Coalition du peuple de l&#39;Azawad (CPA), por un lado, y con el Gobierno y la Plataforma grupos armados compuestos por CMFPR-I, CPA y la otra facción del MAA, así como individuos del Groupe d&#39;autodéfense touareg Imghad et alliés (GATIA) invitados por la Plataforma, por el otro.	0
El Consejo de Seguridad reconoce que los derechos humanos de las mujeres y las niñas corren un riesgo particular durante los conflictos armados y las situaciones posteriores a los conflictos y señala que los miembros de la sociedad civil que trabajan en cuestiones de derechos humanos de las mujeres pueden ser blanco de ataques en varias de estas situaciones.	0
El Consejo también impuso a las personas y entidades designadas por el Comité la prohibición del suministro, la venta o la transferencia de armas y equipo militar, así como la capacitación conexa y la asistencia financiera y de otro tipo.	0
Un cuarto elemento que tiene igual importancia en este contexto, que ha surgido en el contexto de la retirada de las tropas, los activos militares y el aparato de inteligencia sirios, es la necesidad de un acuerdo entre el Líbano y la República Árabe Siria sobre la frontera internacional entre ellos. y su demarcación sobre el terreno.	1
91. Los actos de tortura están prohibidos por muchas convenciones, incluido el artículo 7 del Pacto Internacional de Derechos Civiles y Políticos, el artículo 2 de la Convención contra la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes y el artículo 5 de la Carta Africana de Derechos Humanos. y Derechos de los Pueblos.	1
El ataque de septiembre de 2013 al centro comercial Westgate en Nairobi demuestra las capacidades de Al-Shabaab incluso después de haber perdido terreno en Somalia.	0
Un Estado citó el ejemplo de personas a las que se había negado la entrada durante el último decenio debido a sospechas de su participación en actividades terroristas internacionales.	0
Sin embargo, los parlamentarios del SLPP y del PMDC boicotearon la apertura estatal del Parlamento, protestando, entre otras cosas, contra la prohibición de procesiones y mítines políticos impuesta por la policía tras la violencia política del 9 de septiembre en Bo.	0
Los hombres de estos vehículos y los soldados en la calle dispararon contra los vehículos policiales e hirieron a un oficial de la PNTL en las piernas.	0
En respuesta a los acontecimientos ocurridos en la República Árabe Siria, incluido un informe recibido por el Alto Comisionado de las Naciones Unidas para los Derechos Humanos, el Secretario General Adjunto acogió con satisfacción la reciente decisión del Consejo de Derechos Humanos de establecer una comisión internacional de investigación sobre la cuestión .	0
Condenar y pedir el cese inmediato de los actos de violencia sexual cometidos en el contexto de un conflicto armado y asociados con él.	0
Sin embargo, los niños todavía están asociados con el ejército maoísta y no hubo avances para lograr su liberación formal; Todavía hay niños que mueren y resultan heridos en manifestaciones políticas y por artefactos explosivos abandonados durante el conflicto.	0
:: Participar plenamente en seminarios y eventos regionales que creen conciencia y promuevan la aplicación de la resolución 1540 (2004) y aumenten los esfuerzos para crear conciencia entre los parlamentarios y otras autoridades de alto nivel	0
Entre ellas figuraban emboscadas, así como ataques asimétricos y con cohetes contra los bienes y el personal de la Misión Multidimensional Integrada de Estabilización de las Naciones Unidas en Malí (MINUSMA).	0
