en_es_GOOGLE	VerConf
La academia será una institución importante para implementar el nuevo plan de estudios de capacitación y apoyar la implementación de la hoja de ruta para la reconstrucción de la fuerza de policía civil.	0
Observamos que, en su informe (S/2008/728), el Secretario General expresa preocupación por la situación de seguridad en la parte oriental de la República Democrática del Congo.	1
Los desequilibrios regionales en las tasas totales de registro de votantes deberían ser una seria advertencia en ese sentido.	1
d) El enfrentamiento armado entre soldados de las F-FDTL y oficiales de la PNTL en el cuartel general de la PNTL el 25 de mayo, que provocó numerosos heridos y la muerte de un soldado de las F-FDTL, Bure.	1
50. Recuerda su decisión de que cuando el Estado designante presente una solicitud de exclusión de la lista, el requisito de que los Estados adopten las medidas descritas en el párrafo 1 de esta resolución terminará con respecto a esa persona, grupo, empresa o entidad después de 60 días, a menos que el Comité decida por consenso antes del final de ese período de 60 días que las medidas permanecerán en vigor con respecto a ese individuo, grupo, empresa o entidad; siempre que, en los casos en que no exista consenso, el Presidente, a petición de un miembro del Comité, someterá la cuestión de si se debe eliminar de la lista a esa persona, grupo, empresa o entidad al Consejo de Seguridad para que éste adopte una decisión en un plazo de 60 días. días; y siempre que, en caso de tal solicitud, el requisito de que los Estados adopten las medidas descritas en el párrafo 1 de esta resolución permanecerá en vigor durante ese período con respecto a esa persona, grupo, empresa o entidad hasta que se resuelva la cuestión. decidido por el Consejo de Seguridad;	0
Sin duda, el terrorismo representa una de las amenazas más graves a la paz y la seguridad internacionales y sigue siendo un motivo importante de preocupación no sólo para los Estados africanos sino para la comunidad internacional en su conjunto.	1
De hecho, ya es hora de que la comunidad internacional adopte medidas efectivas para proteger y hacer cumplir los derechos más básicos del pueblo palestino y ayudar a poner fin al círculo vicioso de violencia provocado por la persistente y continua ocupación ilegal de los territorios palestinos por parte de Israel. .	1
1. Exhorta a los Estados a volver a comprometerse a prevenir y luchar contra el genocidio y otros crímenes graves previstos en el derecho internacional, reafirma los párrafos 138 y 139 del Documento Final de la Cumbre Mundial de 2005 (A/60/L.1) sobre la responsabilidad de proteger a las poblaciones contra genocidio, crímenes de guerra, limpieza étnica y crímenes contra la humanidad, y subraya la importancia de tener en cuenta las lecciones aprendidas del genocidio de 1994 contra los tutsis en Ruanda, durante el cual también fueron asesinados hutus y otros que se oponían al genocidio;	0
El Consejo exige que el Gobierno del Sudán se retire inmediatamente de la zona de Abyei.	1
Esto incluye evitar el uso de términos que parezcan aceptar las afirmaciones de justificación religiosa de Al-Qaida; El Equipo sigue argumentando que el uso por parte de comentaristas y políticos no musulmanes de términos religiosos al describir a Al-Qaida, por convenientes, comunes o bien intencionados que sean, hace que sea más difícil socavar su mensaje y aislarla de su comunidad objetivo.	1
&quot;El Consejo de Seguridad pide a Burundi que impida cualquier apoyo desde su territorio a grupos armados en la República Democrática del Congo.	1
También señala el creciente problema en Afganistán y la zona fronteriza entre Afganistán y Pakistán, y una amenaza continua en el norte de África, sin reducción de la actividad en otros lugares.	1
El Consejo de Seguridad insta a todas las partes en un conflicto armado, incluidas las partes no estatales, a poner fin a esas prácticas.	1
Instamos a todas las partes a actuar con moderación y evitar acciones o pronunciamientos provocadores que puedan desencadenar más violencia.	1
En este sentido, un equipo multidisciplinario de las Naciones Unidas visitará pronto la República Centroafricana, la República Democrática del Congo, el Sudán y Uganda para evaluar la amenaza del LRA y hacer recomendaciones para fortalecer y coordinar mejor los esfuerzos de las Naciones Unidas para ayudar a abordar el problema del LRA. en la subregión.	0
&quot;El Consejo de Seguridad recuerda que las órdenes de arresto de la Corte Penal Internacional contra Joseph Kony, Okot Odhiambo y Dominic Ongwen acusados, entre otras cosas, de crímenes de guerra y crímenes contra la humanidad, incluidos asesinato, violación y alistamiento de niños mediante secuestro, aún no se han emitido. ser ejecutadas, y pide a todos los Estados que cooperen con las autoridades de Uganda y la Corte Penal Internacional para implementar esas órdenes y llevar ante la justicia a los responsables de las atrocidades.	0
