en_es_TRANSFORMERS	VerConf
Estas armas se buscan porque son compactas y ofrecen a los terroristas la capacidad de atacar de forma segura desde lejos y causar daños significativos.	0
En una región tan compleja como vital para el mantenimiento de la paz y la seguridad internacionales, las autoridades tropiezan con grandes dificultades y limitaciones en su respuesta a las demandas y expectativas de una población deseosa de reformas.	1
Por su parte, dirigentes y partidarios del Gobierno acusaron al MPCI y a otros "movimientos rebeldes" de utilizar fuerzas extranjeras y cometer atrocidades, en particular el asesinato de docenas de miembros de la gendarmería en Bouaké.	1
Esto también serviría para promover la cooperación regional en la lucha contra el terrorismo.	0
Creemos que Somalia se enfrenta a un reto similar al de un corredor de maratón, ya que la redacción de la constitución debe terminar el 20 de abril y su aprobación debe concluir el 22 de mayo.	1
Al-Shabaab está demostrando una mayor capacidad para lanzar ataques terroristas complejos, incluso en la región en general, como lo demuestra recientemente el ataque del Westgate Mall de septiembre de 2013 en Nairobi.	0
Pide al Secretario General que vele por que: a) se siga vigilando y presentando informes, como parte de los informes mencionados en [el párrafo pertinente] supra, sobre la situación de los niños, incluida una estrecha cooperación con los agentes de protección de la infancia, y b) se siga dialogando con las partes en el conflicto para elaborar y aplicar planes de acción con plazos determinados a fin de poner fin al reclutamiento y la utilización de niños soldados y a otras violaciones del derecho internacional humanitario y las normas de derechos humanos contra los niños;	0
Por consiguiente, los órganos de las Naciones Unidas encargados de la lucha contra el terrorismo deben abordar esas deficiencias con mayor seriedad y dedicación.	1
Reafirma su condena de todas las incitaciones a la violencia contra civiles en situaciones de conflicto armado, reafirma además la necesidad de llevar ante la justicia a las personas que inciten a esa violencia o la causen de otro modo, e indica su voluntad, al autorizar misiones, de considerar, cuando proceda, la posibilidad de adoptar medidas para responder a las transmisiones de los medios de comunicación que inciten al genocidio, los crímenes de lesa humanidad y las violaciones graves del derecho internacional humanitario;	0
Sin embargo, la situación actual en Kosovo sigue siendo motivo de preocupación.	1
Además, en virtud del Pacto Internacional de Derechos Civiles y Políticos, incluso en situaciones de emergencia pública no se puede suspender la prohibición del uso de la tortura.	0
El Consejo de Seguridad reafirma las disposiciones pertinentes del Documento Final de la Cumbre Mundial 2005 relativas a la protección de los civiles en los conflictos armados, incluidos sus párrafos 138 y 139, relativos a la responsabilidad de proteger a las poblaciones del genocidio, los crímenes de guerra, la depuración étnica y los crímenes de lesa humanidad.	0
Reitera su llamamiento a las autoridades [nacionales] para que pongan fin a la impunidad, en particular llevando ante la justicia sin demora a los autores de violaciones graves de los derechos humanos y del derecho internacional humanitario, y tengan en cuenta cuando elijan candidatos para cargos oficiales, incluidos puestos clave en las fuerzas armadas, la policía nacional y otros servicios de seguridad, las medidas adoptadas por los candidatos en el pasado en lo que respecta al respeto del derecho internacional humanitario y los derechos humanos.	1
La situación humanitaria en Somalia sigue siendo motivo de gran preocupación.	1
El Consejo de Seguridad expresa su profunda preocupación por la amenaza directa que representan las actividades de los grupos armados para la seguridad de la población civil y la realización de operaciones humanitarias.	1
En este clima de inseguridad generalizada, la libertad de opinión de los partidos políticos está amenazada o restringida.	1
Lo que suceda con estos combatientes dependerá de lo que experimenten durante su estancia en la República Árabe Siria, pero los conflictos pasados en los que participaron voluntarios extranjeros con afiliados a Al-Qaida han demostrado tener un efecto duradero en el panorama de la amenaza local e internacional.	1
30. El 18 de marzo, los comandantes de la Guardia Presidencial y del Grupo de Seguridad Presidencial dirigieron una carta al Ministro de Seguridad Interna y decretaron que las zonas alrededor del palacio presidencial se considerarían una "zona roja" en la que cualquier persona capturada sería vista como un combatiente enemigo y tratada como tal, es decir, con un disparo, sin previo aviso.	1
Las autoridades afganas y la comunidad internacional deben dejar claro que este comportamiento es inaceptable.	1
Así pues, la comunidad internacional debe adoptar las medidas necesarias para impedir que Israel persista en la deplorable y destructiva política que ha iniciado en Gaza, y debe subrayar su rechazo de todas esas prácticas israelíes, que constituyen una violación del derecho internacional y del derecho internacional humanitario.	1
Según la jurisprudencia, en caso de duda también se debe determinar si a) se percibe a un grupo de personas y, de hecho, se las trata como pertenecientes a uno de los grupos protegidos, y además b) se consideran pertenecientes a uno de esos grupos.	0
Del 25 de noviembre al 10 de diciembre, mi Representante Especial se sumó a mi campaña anual "Unidos para poner fin a la violencia contra la mujer", haciendo especial hincapié en los países en conflicto.	0
Según se informa, Al-Shabaab también ha podido obtener el apoyo de otras redes terroristas internacionales.	0
193. Para responder eficazmente al carácter asimétrico de la amenaza terrorista, es esencial fortalecer la cooperación mediante el establecimiento de un intercambio continuo de información entre los organismos encargados de hacer cumplir la ley, la seguridad fronteriza y los servicios de inteligencia.	0
La perspectiva de la PNTL expresada a la Comisión era que los peticionarios debían ser detenidos y entregados a la PNTL sólo si se movían, y que no se autorizaban operaciones para capturar a los peticionarios.	0
Por consiguiente, se sugirió que se establecieran normas internacionales y tal vez un papel más destacado del Comité.	0
El Consejo recuerda la importancia que asigna a poner fin a la impunidad y a la justicia por los delitos cometidos en Darfur.	1
Es evidente que la Comisión tal vez no esté en condiciones de cumplir esas tareas si no ha establecido previamente: a) si las violaciones equivalen a crímenes internacionales y, en caso afirmativo, b) en qué categorías de crímenes caen (crímenes de guerra, crímenes de lesa humanidad, genocidio u otros crímenes).	1
- Prevenir y reprimir en sus territorios, por todos los medios lícitos, la preparación y financiación de cualquier acto de terrorismo;	0
Si bien la UNAMA y la Comisión Electoral Independiente han dependido hasta ahora de los observadores civiles para difundir los conflictos, tal vez ese mecanismo no sea suficiente para hacer frente a las amenazas más graves.	1
