en_es_TRANSFORMERS	VerCoop
49. Durante el período de hambruna se utilizó el adoctrinamiento ideológico para mantener el régimen, a costa de agravar gravemente el hambre y el hambre.	0
En respuesta a esta ola de violencia, la MINUSTAH y la Policía Nacional de Haití llevaron a cabo con éxito varias operaciones para rescatar a los secuestrados, y se ha detenido a un número considerable de presuntos secuestradores.	0
Los Estados deben velar por que las medidas de lucha contra el terrorismo sean administradas y aplicadas por los organismos encargados de hacer cumplir la ley competentes y deben crear dependencias de lucha contra el terrorismo especializadas a fin de aprovechar la capacidad de expertos de sus instituciones encargadas de hacer cumplir la ley.	1
En ese contexto, a pesar de que las Naciones Unidas en general y el Consejo de Seguridad en particular se ocupan más seriamente de la lucha contra el terrorismo, hay pocas pruebas de un esfuerzo verdaderamente común para crear una respuesta internacional más unificada al terrorismo.	0
El Consejo de Seguridad condena inequívocamente el ataque terrorista que tuvo lugar en Marib (República del Yemen) el 2 de julio de 2007 y expresa su más sentido pésame y sus condolencias a las víctimas de esos ataques y a sus familias, así como a los pueblos y Gobiernos de la República del Yemen y del Reino de España.	0
Solicitar la cooperación de los Estados y las misiones de mantenimiento de la paz de las Naciones Unidas y otras misiones pertinentes autorizadas por el Consejo de Seguridad en la detención y entrega de presuntos autores de genocidio, crímenes de lesa humanidad, crímenes de guerra u otras violaciones graves de las normas de derechos humanos.	1
El Consejo de Seguridad recuerda las resoluciones 1267 (1999) y 1989 (2011), 1373 (2001), 1540 (2004) y 1624 (2005), así como otros instrumentos internacionales de lucha contra el terrorismo aplicables, destaca la necesidad de que se apliquen plenamente, reitera su llamamiento a los Estados para que consideren la posibilidad de hacerse partes lo antes posible en todos los convenios y protocolos internacionales pertinentes y cumplan plenamente las obligaciones que les incumben en virtud de los instrumentos en los que son partes, y toma nota de la recomendación del Comité Especial establecido en virtud de la resolución 51/210 de la Asamblea General, observando que se necesitaba más tiempo para lograr progresos sustantivos en las cuestiones pendientes, y decide recomendar que la Sexta Comisión, en su sexagésimo noveno período de sesiones de la Asamblea General, establezca un grupo de trabajo con miras a finalizar el proceso relativo al proyecto de convención amplia sobre el terrorismo internacional.	1
Esto comenzó con el establecimiento por el Consejo de los tribunales especiales para la ex Yugoslavia en 1993 y un año después para Rwanda.	0
5. Confirma que los requisitos del apartado a) del párrafo 1 supra se aplican a los recursos financieros y económicos de todo tipo, incluidos, entre otros, los utilizados para la prestación de servicios de hospedaje en Internet o servicios conexos, utilizados para apoyar a los que figuran en la presente Lista, así como a otras personas, grupos, empresas o entidades asociados con los talibanes, que constituyen una amenaza para la paz, la estabilidad y la seguridad del Afganistán;	1
En el plazo de una semana a partir de la aprobación por el Comité de su orientación normativa en una esfera determinada, la Dirección Ejecutiva debería elaborar un plan para aplicarlo y presentarlo al Comité para su aprobación.	1
