es	MatConf
Así pues, el conflicto no consiste meramente en una situación de tensiones internas y de disturbios interiores, motines o actos esporádicos y aislados de violencia, sino que se cumplen los requisitos de a) existencia de grupos armados organizados que luchan contra las autoridades centrales, b) control por parte de los rebeldes de parte del territorio y c) enfrentamiento armado prolongado, previstos en el artículo 3 común a los Convenios de Ginebra que confieren a esta situación el carácter de conflicto armado interno.	1
4. Exhorta a todos los Estados que no sean partes en el Tratado sobre la no proliferación de las armas nucleares a que se adhieran a él como Estados no poseedores de armas nucleares a fin de lograr en fecha cercana su universalidad, y a que, en espera de su adhesión, cumplan lo dispuesto en él;	0
El Consejo de Seguridad acoge con beneplácito los considerables progresos logrados por Timor-Leste en el fortalecimiento de la capacidad institucional y de recursos humanos de las instituciones del Estado, incluso en los sectores de la seguridad, la justicia y la gobernanza, que desempeñan funciones clave en la salvaguardia de la estabilidad y la promoción de la democracia.	0
Los participantes en la misión conjunta mantuvieron con todos los interesados de Burkina Faso consultas que tenían por objeto implantar disposiciones encaminadas al traspaso de poderes por el ejército en el marco de una transición consensuada dirigida por civiles que culminara con la celebración de elecciones y la pronta restauración del orden constitucional.	0
Mientras tanto, se están movilizando recursos con el apoyo de la ONUCI, el UNICEF y el Programa Mundial de Alimentos a fin de rehabilitar y reintegrar a 511 niños soldados, entre ellos 204 niñas, que los líderes de las Forces Nouvelles han liberado y entregado al UNICEF.	0
Como lo indicó acertadamente la Sala de Apelaciones del Tribunal para la ex Yugoslavia en Kristić (Apelación), "el genocidio es uno de los peores crímenes que conoce la humanidad y su gravedad queda de manifiesto en los estrictos requisitos de intención concreta.	0
El Consejo de Seguridad subraya la necesidad de que los Estados Miembros que se encuentren en situaciones posteriores a conflictos, en consulta, entre otros, con la sociedad civil, incluidas las organizaciones de mujeres, se ocupen de las necesidades y prioridades específicas de las mujeres y las niñas en sus estrategias nacionales para mejorar sus condiciones socioeconómicas, su participación en actividades de generación de ingresos y su acceso a la educación y los servicios básicos.	0
Exhorta a todas las partes interesadas, con inclusión de los Estados Miembros, entidades de las Naciones Unidas e instituciones financieras, a que apoyen el desarrollo y fortalecimiento de la capacidad de las instituciones nacionales y las redes de la sociedad civil local para la labor de defensa, protección y rehabilitación de los niños afectados por un conflicto armado y aseguren la viabilidad de las iniciativas locales de protección de los niños.	0
El Consejo de Seguridad continúa sumamente preocupado por la amenaza que representan los actos de piratería y robo a mano armada en el mar para la navegación internacional, la seguridad de las rutas marítimas comerciales y la seguridad y el desarrollo económico de los Estados de las regiones afectadas, así como para la seguridad y el bienestar de los navegantes y otras personas, incluido el riesgo de ser tomados como rehenes, y por la creciente violencia que emplean los piratas y las personas implicadas en los actos de piratería y robo a mano armada en el mar. El Consejo de Seguridad condena en los términos más enérgicos la toma de rehenes y el uso de violencia contra ellos, y exhorta a los Estados a que cooperen también, según proceda, para lograr la pronta liberación de los rehenes, en particular mediante el intercambio de información e inteligencia.	0
Identificación de los posibles autores de crímenes internacionales Observaciones generales	1
