es	MatCoop
La policía dijo que buscaban a "Enza" y preguntaron a los hombres si habían participado en la marcha.	0
También se refirió a importantes precedentes que sentó el Consejo, en particular el establecimiento de las comisiones de investigación sobre Bosnia, Rwanda y Darfur, que allanaron el camino para el Tribunal Penal Internacional para la ex-Yugoslavia y el Tribunal Penal Internacional para Rwanda y la remisión por el Consejo de la situación en Darfur a la Corte Penal Internacional.	1
13. Insta a la comunidad internacional a proporcionar apoyo y asistencia para que los Estados puedan cumplir sus responsabilidades respecto de la protección de los refugiados y otras personas amparadas por el derecho internacional humanitario;	0
- Encomendar el establecimiento de mecanismos apropiados y adaptados en el plano local para la verdad y reconciliación (por ejemplo, de asistencia técnica, financiación y reintegración de civiles en las comunidades).	1
El Consejo de Seguridad insta a los Estados, a las organizaciones internacionales y al sector privado a que compartan pruebas, información e inteligencia, según proceda, a efectos de las actividades policiales de lucha contra la piratería, incluidos el enjuiciamiento efectivo de los presuntos piratas y el encarcelamiento de los convictos, y alienta las iniciativas existentes y futuras a este respecto.	0
La comunidad internacional debe estar preparada para actuar ahora con la misma determinación a fin de proteger los intereses de los serbios de Kosovo y de otras comunidades minoritarias.	0
En general, las donaciones caritativas constituyen un recurso financiero indispensable, sobre todo en muchos Estados en desarrollo y en aquellos que han sufrido grandes catástrofes.	1
En el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente para fines de reconocimiento.	0
La nota propone que el Consejo de Seguridad inicie un proceso formal de "examen estratégico" para estudiar la forma en que la intersección de la delincuencia transfronteriza y el terrorismo puede afectar a su labor de prevención y solución de conflictos, en particular en África, y examinar los instrumentos a su disposición para reducir el espacio estratégico que la delincuencia transfronteriza brinda a los grupos terroristas.	0
Insta a los Estados Miembros a que velen por que aumente la representación de la mujer en todos los niveles de adopción de decisiones de las instituciones y mecanismos nacionales, regionales e internacionales de prevención, gestión y solución de conflictos.	0
El Centro Jurídico, instituto independiente establecido por el componente de creación de instituciones, continúa también su programa de becas.	1
27. Decide que cuando el Estado proponente presente una solicitud de supresión, la obligación de los Estados de adoptar las medidas descritas en el párrafo 1 de la presente resolución quede sin efecto respecto de la persona, grupo, empresa o entidad de que se trate después de 60 días, salvo que el Comité decida por consenso, antes del fin de ese período de 60 días, que las medidas sigan en vigor respecto de esa persona, grupo, empresa o entidad, entendiéndose que, en los casos en que no haya consenso, el Presidente, a solicitud de un miembro del Comité, someterá la cuestión de si procede suprimir de la Lista el nombre de esa persona, grupo, empresa o entidad al Consejo de Seguridad para que este adopte una decisión al respecto en un plazo de 60 días, y entendiéndose también que, en caso de que exista tal solicitud, la obligación de que los Estados adopten las medidas descritas en el párrafo 1 de la presente resolución se mantendrá durante ese período en relación con esa persona, grupo, empresa o entidad hasta que el Consejo de Seguridad adopte una decisión sobre la cuestión;	1
Todos los Estados han adoptado leyes y medidas para reglamentar y vigilar la producción, la venta y la transferencia de armas y explosivos. Sin embargo, la información suministrada no es suficiente para evaluar la eficacia de la aplicación de esas medidas.	0
c) Ayudar a los Estados a crear capacidad, en colaboración con el Grupo de Lucha contra el Blanqueo de Dinero en África Oriental y Meridional, para constituir o reforzar las unidades de inteligencia financiera de la subregión y desarrollar las capacidades legislativas y operacionales de los Estados para congelar fondos sin demora.	1
Los Estados de la subregión han ido bastante más allá de los enfoques orientados meramente a la aplicación de las leyes y han asumido el desafío que plantean los grupos terroristas.	1
Habida cuenta de la jurisdicción limitada de la Dependencia de Crímenes Graves y del fracaso del proceso del Tribunal Especial de Indonesia, sería necesario tomar medidas correctivas adicionales para que se haga justicia.	0
Se creó un sitio web independiente para la Oficina de la Ombudsman (www.un.org/en/sc/ombudsperson). En el sitio hay información esencial sobre las operaciones de la Oficina, incluidas una descripción del procedimiento seguido para examinar las solicitudes de supresión de nombres de la Lista e indicaciones generales sobre el contenido de las solicitudes que se presentan a la Ombudsman.	1
Pero las mujeres y los niños también habían sido víctimas de matanzas durante muchos ataques.	0
