es	VerConf
Hemos observado con inquietud que el Secretario General estima que muchos de los factores que alimentaron la crisis de 2006 siguen presentes en la sociedad, lo que la hace vulnerable a la inestabilidad.	1
A unos 50 kilómetros de Daloa, el mismo día en que la Misión se hallaba en la región, hubo enfrentamientos entre las fuerzas rebeldes y las fuerzas francesas que vigilaban la cesación del fuego.	1
Pese a nuestra valoración de que es difícil lograr una cesación del fuego completa en estos momentos, sigo opinando que la comunidad internacional debe dejar en claro su postura sobre la necesidad de una cesación inmediata de las hostilidades y de que Israel realice un esfuerzo mucho mayor y más fiable para proteger a los civiles y la infraestructura civil mientras se establecen las condiciones de esa cesación con carácter de urgencia.	1
También hay importantes avances positivos. Cuando el conflicto armado concluyó en 1999, había una carencia prácticamente total de legislación y estructuras económicas.	0
Reiteró con firmeza su condena personal del incidente, y dijo que éste transmitía un mensaje muy indeseable y perjudicial antes de las elecciones de 2012, que podía contradecir y estropear los logros nacionales relativos a cambiar la imagen del país y a establecer y consolidar la paz, lo que se logró con tanto esfuerzo con la ayuda de nuestros asociados para el desarrollo y la comunidad internacional.	1
Desarrollo de un conjunto de políticas, directrices y procedimientos para la planificación, la ejecución y el seguimiento de los programas de desarme, desmovilización y reintegración, conocido como normas integradas para los programas de desarme, desmovilización y reintegración, e integración de perspectivas de género.	0
El Presidente describió enfáticamente el desafortunado incidente como desagradable e inaceptable, ya que presagia una posible violencia durante las próximas elecciones de 2012.	1
Como se subrayó en estas reuniones de información, la decisión de Eritrea de limitar todos los tipos de vuelos de helicóptero de la MINUEE en el espacio aéreo de Eritrea limita gravemente la capacidad de la Misión para aplicar su mandato de supervisión, tal como solicitaron las partes en el Acuerdo de Cesación de Hostilidades de 18 de junio de 2000 y autorizó el Secretario General en sus resoluciones 1312 (2000) y 1320 (2000).	1
Mi delegación condena con firmeza esos hechos de violencia y expresa sus condolencias a la familia del pediatra fallecido.	1
Dos de ellos resultaron heridos pero lograron sobrevivir gracias a que la Cruz Roja les prestó asistencia.	0
Otro Estado ha creado un grupo de trabajo interdepartamental sobre la migración para aplicar medidas destinadas a fomentar la integración, en particular en las esferas de los conocimientos lingüísticos y la capacitación para el empleo, a fin de promover el diálogo con los inmigrantes y controlar la xenofobia, el racismo y el extremismo.	0
El Consejo de Seguridad alienta al Equipo de Tareas Regional de la Unión Africana a que continúe sus operaciones contra todos los grupos del LRA, y al mismo tiempo colabore con las Naciones Unidas y las organizaciones no gubernamentales para establecer centros seguros y proporcionar información para ayudar a los elementos del LRA que demuestren un deseo auténtico de desmovilizarse y deponer las armas.	1
10. Destaca la urgente necesidad de que se aplique plenamente y de inmediato la presente resolución a los combatientes terroristas extranjeros, recalca la particular y urgente necesidad de aplicar la presente resolución a los combatientes terroristas extranjeros asociados con el EIIL, el Frente Al-Nusra y otras células, entidades afiliadas o grupos escindidos o derivados de Al-Qaida, designados por el Comité, y expresa su disposición de considerar la posibilidad de designar, en virtud de la resolución 2161 (2014), a personas asociadas con Al-Qaida que cometan los actos enunciados en el párrafo 6 de la presente resolución;	0
El Consejo de Seguridad pide al Gobierno de unidad nacional y transición que empiece a colaborar de inmediato con el Comité Internacional de Apoyo a la Transición y la MONUC en el establecimiento de mecanismos para una coordinación más estrecha, a fin de acelerar la reforma del sector de la seguridad, la sanción de leyes esenciales y la preparación de elecciones.	0
Las FARDC siguen estando mal equipadas y sostenidas y la MONUC opina que sería necesario reforzar la presencia militar para asegurar el buen desarrollo de las elecciones en varias zonas fundamentales de Katanga.	0
El Centro Jurídico, instituto independiente establecido por el componente de creación de instituciones, continúa también su programa de becas.	0
Asimismo, expresó que el hecho de que el Parlamento libanés no hubiera elegido un nuevo Presidente había socavado la estabilidad del Líbano y su capacidad de recuperación desde el comienzo del conflicto en la República Árabe Siria.	1
Me sigue preocupando que la desconfianza entre las partes, sumada a la continua presencia de las milicias, pueda provocar tensiones, y posiblemente inseguridad e inestabilidad dentro y fuera del Líbano.	0
En realidad, la falta de precisión ha significado que solo para 309 de los 488 nombres que figuran en la Lista existían notificaciones especiales de la INTERPOL y el Consejo de Seguridad de las Naciones Unidas, que son los instrumentos fundamentales para diseminar información sobre personas incluidas en la Lista a los organismos encargados del cumplimiento de la ley; ahora esa cifra se ha elevado a 361 y es probable que aumente.	1
Se trata de un dato importante, ya que hizo que aumentara considerablemente el nivel de frustración y odio de la población afectada, incluidos los partidarios o los presuntos partidarios de los partidos de la oposición y los grupos comunitarios, hacia la policía y las fuerzas de seguridad.	1
