es	VerCoop
En particular, recomienda que el Comité enmiende el apartado i) del párrafo 6 de sus directrices de modo que todos los años se considere automáticamente la conservación de los nombres de personas que se consideran fallecidas, junto con las entradas seleccionadas por el Comité del conjunto de entradas que no han sido actualizadas durante cuatro años o más, salvo que un miembro del Comité pida expresamente que no se considere el caso de una persona de cuyo fallecimiento se ha informado.	1
El Consejo de Seguridad observa que este año se cumplen quince años desde que comenzó a examinar progresivamente la protección de los civiles en los conflictos armados como cuestión temática, y reconoce la persistente necesidad de que el Consejo y los Estados Miembros continúen reforzando la protección de los civiles en los conflictos armados.	1
Ante esta clara situación de amenaza a la paz y la seguridad internacionales, esperamos que el Consejo de Seguridad actúe sin los dobles raseros que lo caracterizan en este tema y adopte, de forma urgente y decidida, el proyecto de resolución presentado por Argelia en nombre de los países que integran el Grupo de Estados Árabes.	0
Perciben a los serbios de Kosovo como instrumentos de Belgrado y, por consiguiente, como parte de una amenaza que aún persiste para su futuro.	0
Los Estados deben establecer más bien un marco jurídico claro, completo y coherente que tipifique expresamente los actos de terrorismo como delitos penales graves, castigue esos actos según su gravedad y facilite a los tribunales el enjuiciamiento de los terroristas.	1
La aldea fue atacada en torno a las 4.00 horas.	0
Es imposible describir en el presente informe todos los casos de asesinato que la Comisión ha documentado.	0
Añadió que se sentía alentado por la renovada determinación de los países de la subregión de colaborar para hacer frente a esas amenazas.	1
Ahora el Equipo recomienda asimismo que en cuanto el Equipo o el Comité reciba la comunicación del fallecimiento de una persona incluida en la Lista, el Equipo haga todo lo posible por determinar los hechos, en colaboración con los Estados interesados, y transmitir sus conclusiones al Comité cuanto antes.	1
Esta invitación, y la cooperación que el Relator Especial recibió durante su visita, reflejan el compromiso del Gobierno de Burkina Faso para velar por que sus actividades de lucha contra el terrorismo se ajusten a las leyes y normas internacionales de derechos humanos.	1
La relación entre Al-Qaida y los talibanes parece ser estrecha. En su mensaje en vídeo del 19 de septiembre de 2007, Al-Zawahiri* volvió a referirse al Mullah Omar (TI.O.4.01) como jefe supremo, y, aunque los talibanes siempre pueden reclutar más soldados, no tienen comandantes experimentados para sustituir a los muchos que han sido muertos, y han recurrido a Al-Qaida, no sólo para obtener adiestramiento, sino también para cubrir las bajas.	0
Esto es consecuencia de la negociación política en la Conferencia de Reconciliación Nacional de Somalia, que se basa en gran medida en el poder de los dirigentes de las milicias y sus asociaciones de clanes.	1
En la resolución el Consejo afirmó que las autorizaciones solo eran aplicables a la situación de Somalia y no afectarían a los derechos, obligaciones ni responsabilidades que incumbían a los Estados Miembros en virtud del derecho internacional respecto de cualquier otra situación, incluidos los derechos u obligaciones en virtud de la Convención de las Naciones Unidas sobre el Derecho del Mar, incluso el principio general de la jurisdicción exclusiva del Estado del pabellón sobre sus buques en alta mar, recalcó en particular que la resolución no se consideraría precedente del derecho consuetudinario internacional y señaló que dichas autorizaciones se habían conferido únicamente tras recibirse la carta de fecha 8 de octubre de 2014 en que figuraba la solicitud del Presidente de la República Federal de Somalia.	1
9. Exhorta a los Estados que todavía no lo hayan hecho a que consideren la posibilidad de ratificar los instrumentos de derecho internacional humanitario, derechos humanos y derecho de los refugiados y de adoptar medidas apropiadas de orden legislativo, judicial y administrativo para cumplir las obligaciones que les imponen estos instrumentos;	1
La Comisión recibió información fidedigna de que varias personas habían sido arrestadas por agentes de seguridad o de los servicios de inteligencia militar.	1
El Consejo de Seguridad reafirma las disposiciones pertinentes del Documento Final de la Cumbre Mundial 2005 relativas a la protección de los civiles en los conflictos armados, en particular los párrafos 138 y 139, respecto de la responsabilidad de proteger a las poblaciones del genocidio, los crímenes de guerra, la limpieza étnica y los crímenes de lesa humanidad.	1
Las medidas adoptadas por los Estados abarcan las actividades prohibidas a cargo de agentes no estatales que se enumeran en el párrafo 2 de la resolución 1540 (2004) en relación con las armas nucleares, químicas y biológicas y sus sistemas vectores, así como los controles de los materiales conexos, de conformidad con el párrafo 3 de dicha resolución.	0
Además de los civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche.	0
Tengo el honor de informarle que, en su calidad de Presidente del Consejo de Seguridad durante el mes de agosto, el Reino Unido ha previsto celebrar una reunión informativa el 19 de agosto, fecha en que se celebra el Día Mundial de la Asistencia Humanitaria. La reunión se centrará en la protección de los trabajadores humanitarios, en relación con el tema del programa sobre la protección de los civiles en los conflictos armados.	1
Convencido de que es inaceptable en principio que alguien en cualquier lugar evada su responsabilidad por un acto terrorista por razón alguna, entre ellas haber obstruido la investigación o no haber cooperado de buena fe,	0
