es_en_DEEPL	MatConf
At the same time, Cuba expresses its condemnation of the suicide bombings and other acts directed against Israeli civilians, innocent victims of the spiral of violence caused by the policy of its Government, while opposing the manipulation of such isolated acts to question the exercise of legitimate self-defense by the Palestinian people, and to justify actions, both selective and large-scale, against the Palestinian population.	0
15. Recognizes the importance of the good offices of the Secretary-General in Africa, and encourages the Secretary-General to continue to use mediation whenever possible to contribute to the peaceful settlement of disputes, coordinating his work and working closely with the African Union and other subregional organizations in this regard, as appropriate;	0
In a deeply divided society, still recovering from post-conflict trauma, the establishment of justice and interior ministries could give the impression that they have fallen under the control of one political party or ethnic group.	0
The argument that the prohibition of torture in customary international law has such a legal character was made by the International Criminal Tribunal for the former Yugoslavia in FurundÅ¾ija (at para. 144 and paras. 153-157) and by the House of Lords in Pinochet, as well as by the United Nations Special Rapporteur on the question of torture.	0
At the same time, it is imperative that all Somali parties, especially the transitional federal institutions, honor their pledges to resolve the enormous political, economic and security challenges before them.	0
Reiterates its concern at the persistence of the crisis and the worsening situation in CÃ´te d'Ivoire, which seriously threatens peace and stability in the West African region;	1
Bin Laden needs to provide a counterbalance to Zarqawi's action and demonstrate that he can continue to act all over the world by mounting spectacular attacks elsewhere, in order to resume the strategic project he had adopted before losing his base in Afghanistan in 2001.	1
Among the obstacles to humanitarian access that most harm people in need are restrictions on the movement of humanitarian workers or goods (including physical and bureaucratic impediments); the absence of mechanisms agreed with the parties to the conflict for the provision of assistance during hostilities; interference with the provision of humanitarian assistance, including payment claims; and violence against humanitarian actors, including attacks on their physical integrity or their convoys.	1
Reiterates its demand that all parties to armed conflict put an end completely and with immediate effect to all acts of sexual violence, and its call for those parties to make and implement concrete and time-bound commitments to combat sexual violence, which should include, inter alia, the issuance of clear orders through chains of command prohibiting sexual violence, and accountability for failure to comply with such orders, the prohibition of sexual violence in military and police codes of conduct and campaign manuals or their equivalent, and to make and implement specific commitments on the timely investigation of alleged abuses; further calls upon all relevant parties to armed conflict, within the framework of these commitments, to cooperate with appropriate United Nations mission personnel who monitor their implementation; and calls upon the parties to designate, as appropriate, a high-level representative responsible for ensuring compliance with these commitments;	0
Four of the eight South Asian States have enacted legislation to criminalize terrorist recruitment and prohibit the use of their territories to commit or prepare terrorist acts against other States or their citizens.	1
