es_en_DEEPL	MatCoop
In the last of these (S/2012/376), as in the previous ones (S/2009/277 and S/2010/579), the Secretary-General identified five basic challenges around which the debate should revolve: promoting compliance with international law by parties to conflict; improving compliance by non-State armed groups; enhancing protection by peacekeeping and other relevant United Nations missions; improving access for humanitarian purposes; and enhancing accountability for violations.	1
The information presented for this study leaves no doubt that, in the view of many States, incitement to commit terrorist acts continues to pose a serious risk and threat in much of the world, albeit at different levels.	0
The Team noted in its second report (S/2005/83, para. 135) that the European Union, the most developed of these areas, guarantees its citizens freedom of movement within the territory of its 25 Member States, while the Schengen Agreement eliminated border controls between many of the European States, while strengthening controls at the external borders of the Schengen area and increasing judicial and police cooperation within the Schengen system.	1
During the reporting period, there was 1 shooting, 14 robberies, 3 abductions and 1 demonstration. On 9 July, a stone thrown by a resident of Zugdidi town caused damage to a UNOMIG vehicle.	0
Azerbaijan is deeply concerned about the continuing illegal settlement activities in the occupied Palestinian territories.	0
n) Coordinate and cooperate with the national counter-terrorism focal point or similar coordinating body in the country being visited, as appropriate;	1
- Demand that parties to an armed conflict strictly comply with the norms of international humanitarian and human rights law prohibiting rape, sexual slavery, forced prostitution, forced pregnancy, forced sterilization or any other form of sexual violence.	0
Many States have also moved to strengthen the role and effectiveness of the judiciary, which is an essential pillar in ensuring that responses to the threat of terrorism are based on the principles of the rule of law.	1
The subregion has made good progress in complying with resolution 1373 (2001), particularly in combating the financing of terrorism and adopting measures related to port and airport control.	1
Turkey has launched the National Unity Project to address socio-economic inequalities in Turkish society that are allegedly fueling Kurdish discontent and PKK recruitment.	1
43. Reiterates the need for closer cooperation among the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, where appropriate, through enhanced exchange of information, coordination of country visits as part of their respective mandates, facilitation and monitoring of technical assistance, relations with international and regional organizations and agencies, and other matters of importance to the three committees, expresses its intention to provide guidance to the committees on matters of common interest in order to better coordinate their activities and facilitate this cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to share facilities as soon as possible;	1
Urges appropriate regional and sub-regional bodies in particular to consider developing and implementing policies, activities and advocacy for the benefit of women and girls affected by sexual violence in armed conflict.	0
The victims were buried many days later in the areas surrounding Kulbus.	0
579. Third, given that the investigation and prosecution would relate to individuals who enjoy authority and prestige in the country and exercise control over the State apparatus, it seems unlikely that a special tribunal would be created through an agreement between the Government and the United Nations to investigate and prosecute members of that same Government.	1
Yemeni officials informed the Team that about 30 per cent of the kidnappings in Yemen were the work of AQAP.	0
We take this opportunity to review the political and security situation in the Sahelo-Saharan region, as well as initiatives aimed at overcoming existing difficulties and promoting lasting peace, security and stability.	1
(d) To adopt a victim-centered and human rights-based approach to trafficking in persons, in particular by recognizing the right of victims to remain in the country and providing them with access to legal protection and basic services such as medical treatment, education, and employment opportunities equivalent to those afforded to their own citizens.	0
The Commission has been able to establish a detailed and accurate account of the events of April and May that resulted in a considerable number of deaths and injuries and extensive material damage.	1
I welcome the progress that has been made in clearing mines and explosive remnants of war in Western Sahara.	1
On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honour to inform you that the Committee has agreed to hold an open meeting, as envisaged in its report on the modalities for a comprehensive review of the status of implementation of resolution 1540 (2004) pursuant to paragraph 8 of resolution 1810 (2008) (S/2009/170).	0
The Mission arrived in Daloa by road, escorted by a detachment of the Ivorian army.	1
The success of counter-terrorism measures depends to a large extent on the coordination of the international community's efforts to suppress the various forms of support for terrorism, especially its financing.	0
I urge the parties to the CPA and the international community to extend their fullest cooperation to the independent panel I established at the request of the parties.	1
Condemning the illicit trade in small arms and light weapons	0
In addition, the Committee received a notification, to which it responded, regarding the arms embargo linked to paragraph 13(a) of resolution 2009 (2011), which should not have been submitted, as it concerned non-lethal material to be provided to the Government of Libya.	0
I also remember how unpopular it was to talk to Israelis about the 1967 borders, and for a long time it was almost inconceivable to propose the evacuation of Israeli settlements.	0
3. Decides also that all States shall take and enforce effective measures to establish domestic controls to prevent the proliferation of nuclear, chemical or biological weapons and their means of delivery, including by establishing appropriate controls over related materials, and to this end shall:	1
Expressing concern at the continuing allegations, including those made by the Secretary-General, in [the relevant report], of human rights abuses and violations of international humanitarian law, including against women and children, and at reports of increasing incidents of sexual violence, in particular those attributed to armed men, stressing the importance of investigating such alleged abuses and violations ... committed by all parties, regardless of their status or political affiliation, reaffirming that those responsible for such violations must be held accountable and brought to justice regardless of their political affiliation, respecting the rights of detainees ... and urging the Government to intensify and expedite its efforts to combat impunity,	0
