es_en_DEEPL	VerConf
It requires all armed groups, in particular members of [specific armed group], to prevent the recruitment and use of children, also requires all parties to protect and consider as victims children who have been released or otherwise separated from armed forces and armed groups, and emphasizes the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;	1
Third, in many situations the Security Council has recognized that serious violations of human rights and international humanitarian law are potential threats to peace and security.	1
(e) To work closely with the Government ... to ensure the implementation of its commitments to address grave violations against children, in particular the completion of the action plan to release children present in [the armed forces] and prevent re-recruitment, with the support of the monitoring and reporting mechanism.	0
The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to [the affected country], and encourages the countries neighbouring [the affected country] to protect all persons fleeing violence in [the affected country], including [the inhabitants of a specific area of the region]. Urges all Member States, on the basis of burden-sharing principles, to support those countries in providing assistance to refugees and affected communities ...	0
The firing of Qassam rockets from Gaza continues, even as we speak; these rockets are deliberately aimed at the civilian community, targeted at innocent civilians, who are terrorized while lying in their beds, sitting in the living rooms of their homes or taking their children to school.	1
The existence of a system of communicating vessels between the criminal activities that fuel terrorism in Africa and the criminal activities that thrive in other regions of the world cannot be ruled out.	1
The two parties to the CPA appointed coordinating officers for the issue of children and armed conflict.	0
Reiterates its demand that all parties to armed conflict put an end completely and with immediate effect to all acts of sexual violence, and its call for those parties to make and implement concrete and time-bound commitments to combat sexual violence, which should include, inter alia, the issuance of clear orders through chains of command prohibiting sexual violence, and accountability for failure to comply with such orders, the prohibition of sexual violence in military and police codes of conduct and campaign manuals or their equivalent, and to make and implement specific commitments on the timely investigation of alleged abuses; further calls upon all relevant parties to armed conflict, within the framework of these commitments, to cooperate with appropriate United Nations mission personnel who monitor their implementation; and calls upon the parties to designate, as appropriate, a high-level representative responsible for ensuring compliance with these commitments;	1
I condemned the terrorist attack on the Indian Embassy in Kabul.	1
However, we do not believe that sovereignty requires the Council to remain silent when governments massacre their own people, threatening regional peace and security in the process.	1
The unit shares information with its counterparts in other countries, both directly and through law enforcement agencies.	0
This rapid assistance was invaluable, as it allowed the researchers to quickly analyze specific subscriber phone calls and establish patterns of communication between particular groups of subscribers.	0
The supervisory body, the Superior Council of the Prosecutor's Office, has not yet been established.	1
The militiamen also brought other women they had abducted in attacks on villages near Tawila to the camp.	0
Demands that the parties to the conflict immediately take appropriate measures to protect civilians, especially women and children, from all forms of sexual violence, in accordance with resolution 1820 (2008).	1
The Security Council stresses the importance of a coordinated international response to the causes of conflict, recognizes the need to develop effective long-term strategies, and emphasizes the need for all United Nations bodies and agencies to adopt preventive strategies and take action in their respective areas of competence to assist Member States and regional and subregional organizations in eradicating poverty, strengthening cooperation and development assistance, and promoting respect for human rights and fundamental freedoms.	0
The system of settling political differences and protecting interests through the use of arms is still in place, maintained by the acquisition of arms, from outside Somalia, which is currently occurring and rapidly increasing, in violation of the embargo.	0
Given the urgency of the current situation, the international community's efforts must be immediate, coordinated and decisive.	1
This idea could further radicalize some Kosovo Albanian nationalist elements and increase the risks for Kosovo's minorities.	1
Journalists in C̫te d'Ivoire, especially supporters of opposition parties, are subjected to violence, pressure and death threats.	0
This success will be threatened if elections in the Democratic Republic of Congo are not held before June 30, 2006.	1
b) Failure to impose effective measures to prevent the rape of Ethiopian women and girls;	0
