es_en_DEEPL	VerCoop
In close cooperation with the Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and in accordance with its mandate, the Committee will pay particular attention to States for which information on how they implement resolution 1373 (2001) is lacking and will consider how best to address the problem.	1
In addition, on February 14, he was received in Nouakchott by the President of Mauritania, Mr. Sidi Mohamed Ould Cheikh Abdellahi, and met with the Minister of Foreign Affairs and Cooperation, Mr. Mohamed Saleck Ould Mohamed Lemine, and other senior government officials.	1
The prison has been built to provide humane and safe detention conditions in line with international human rights standards.	0
[R]eiterates its call upon parties to armed conflict [identified in the relevant report of the Secretary-General] that have not yet done so to prepare and implement, without further delay, concrete and time-bound action plans to halt the recruitment and use of children in violation of applicable international law, and to address all violations and abuses against children in close cooperation with [the Special Representative of the Secretary-General for Children and Armed Conflict], as well as with UNICEF and the United Nations country task forces responsible for monitoring and reporting.	0
13. Encourages INTERPOL to intensify its efforts with respect to the threat posed by foreign terrorist fighters and to recommend or establish additional resources to support and encourage national, regional and international measures to monitor and prevent the transit of foreign terrorist fighters, such as expanding the use of INTERPOL Special Notices to include foreign terrorist fighters;	1
The Committee said that in Baram the rebels had killed some soldiers and 13 civilians inside the local hospital.	0
Proposed approach to make the conflict analysis framework more gender-responsive, including the development of gender-sensitive indicators and conflict-related variables.	1
The authorities acknowledged that members of the ethnic Albanian minority had been victims of social and institutional discrimination and accepted that confidence-building measures, such as integrating ethnic Albanians into the local police force and increasing their representation in political institutions, would help to significantly reduce tensions and create long-term stability in the region.	1
Elsewhere in the region, along the Blue Line, acts of violence had threatened to disrupt the precarious stability.	0
With the arrival of the rains, inter-tribal violence has generally decreased, especially cattle rustling and conflicts over water and grazing areas.	0
However, flows of immigrants and refugees into the region from conflict zones in the Middle East and Africa continue to pose a problem for immigration authorities.	0
The remarkable level of collaboration between the Committee and other Member States during the review indicated that a broad group of States continues to share the Security Council's concern about the desirability of a coordinated international response to the threat posed by Al-Qaida and the Taliban.	0
Establishment of support systems for victims of gender-based violence.	0
Some members noted the importance of coordination -- between Council sanctions committees, expert groups and Member States, as well as between UN entities, field missions and force commanders -- to ensure effective implementation of Council sanctions.	1
The Council requests MONUC to monitor and report on reports of extrajudicial violence.	1
Some States in the region are implementing the European Union's 2005 Strategy for Combating Radicalization and Recruitment to Terrorism, which aims to disrupt the activities of networks and individuals that lead to terrorism; to ensure that mainstream discourse prevails over extremism; to further promote security, justice, democracy and opportunity for all".	0
