es_en_DEEP	MatCoop
Seven have established in their domestic legislation their jurisdiction over the relevant crimes, five have adopted some measures to that end, and for nine States there is insufficient information on the matter.	1
Within the framework of the Task Force on Countering the Financing of Terrorism, which is part of the Counter-Terrorism Implementation Task Force, and its global initiative to protect non-profit organizations from the abuse of terrorists, the Executive Directorate organized a regional seminar for East African Member States, which was held in March 2012 in Nairobi. The seminar reviewed national practices and identified gaps in oversight of the nonprofit sector with respect to certain terrorist financing risks.	0
The Democratic People's Republic of Korea also uses propaganda to incite nationalist hatred towards the official enemies of the state, namely Japan, the United States of America and the Republic of Korea, and their citizens.	0
Commander Reinado and 11 of his men had arrived in the area that morning from Aileu. They were with several civilians and 10 URP agents armed with automatic rifles.	0
- Urge the competent regional and/or subregional bodies to develop and implement policies and carry out activities and promotional work for the benefit of children affected by armed conflict.	0
It is clear that the failure to ensure accountability, provide reparations and bring about reconciliation can hinder a peace process and post-conflict situation, thereby creating a new threat to peace and security.	0
Persistent rumors had also circulated that Ivorian helicopters were stationed in Guinea and that the helicopters destroyed by French forces in November 2004 had been loaned by Guinea.	1
In this regard, Prime Minister Soro's request that UNOCI publish regular public reports on the media in C̫te d'Ivoire would help control dangerous trends in the media, which could incite violence around the electoral process.	0
The Team noted in its second report (S/2005/83, para. 135) that the European Union, the most developed of these areas, guarantees its citizens freedom of movement within the territory of its 25 Member States, while with The Schengen Agreement eliminated border controls between many European States, while strengthening controls at the external borders of the Schengen area and increasing judicial and police cooperation within the Schengen system.	1
Throughout 2007, there were more than 8,000 casualties in Afghanistan as a result of incidents involving insurgents (A/62/722-S/2008/159, para. 17), compared to 6,000 deaths in 2006 in acts of violence of all kinds.	0
As indicated in the report of the Secretary-General on the situation in Abkhazia, Georgia (S/2005/657), dated 19 October 2005, since last summer there have been positive developments in the conflict resolution process in that region.	1
It is clear that these circumstances represent the greatest obstacle to the stability and progress of Afghanistan and, if allowed to continue, threaten to undo the progress achieved over the course of almost three years.	0
