es_en_DEEP	VerConf
Noting that the situation in the region continues to be a threat to international peace and security,	1
The main risk is that Africa becomes a training ground, a recruiting base and a transit point for terrorists and a centre for mobilising funds for other illicit activities.	1
The Security Council calls on all parties to armed conflicts, including non-State parties, to end such practices.	1
That State stated that cooperation between government and civil society was an essential part of efforts to prevent people from resorting to terrorism and noted that it was increasing its efforts to detect and investigate hate speech on the Internet.	0
The two leaders laid the foundations for a continued dialogue between Lebanon and the Palestinians, which in my opinion constitutes an important measure to definitively overcome a difficult past and reaffirm the sovereignty and political independence of Lebanon.	0
In return, the authorities in Belgrade should end the obstruction tactic that prevents Kosovo Serbs from participating in Kosovo's public institutions. The "empty chair policy" carries a great risk, the risk that the history of Kosovo will be written without the Kosovo Serbs.	1
Only one of the eight States in this subregion has enacted adequate legislation covering all terrorist offences; Four States have passed laws covering only some of these crimes.	0
The full and complete implementation of the travel ban could have real benefits in the fight against Al-Qaida and Taliban terrorism, but available data suggest that its effects are currently limited.	0
The CPN-Maoist has often specifically targeted girls and has managed to recruit large numbers, many of whom have joined in order to escape traditional restrictions.	0
Half an hour later, three other jeeps from Chad arrived at the scene, supported by a military helicopter, and a new confrontation took place with the Sudanese military unit, in which a soldier and several civilians were injured.	0
First, as the Security Council has recognized on several occasions, under international law, when acts of gross violations of international human rights standards and serious violations of international humanitarian law are committed that may constitute crimes under international law, Internationally, States have the obligation to investigate and, if there is sufficient evidence, prosecute the person allegedly responsible for violations.	0
In that context, we continue to be concerned about the most vulnerable citizens of Timor-Leste: the poor and the displaced.	1
In one case in Deleba, Western Darfur, the victim was beaten to death.	0
Strongly condemns the recruitment and use of child soldiers by parties to armed conflicts in contravention of international obligations applicable to them, the killing and mutilation of children, rape and other acts of sexual violence committed mainly against girls, kidnapping and forced displacement, denial of children access to humanitarian aid, attacks on schools and hospitals, as well as trafficking, forced labor and all forms of slavery and all other violations and abuses committed against children affected by armed conflicts.	1
The Council underlines the importance of national ownership, constructive dialogue and partnership between national authorities and the international community to help address priority peacebuilding needs and the underlying causes of recurrent instability.	0
The information presented for this study leaves no doubt that, in the view of many States, incitement to commit acts of terrorism continues to pose a serious risk and threat in much of the world, albeit at different levels.	1
The Commission failed to confirm a claim made by the Government that some wounded soldiers and civilians had been killed inside the hospital.	1
Promote and support good conflict information management	0
We cannot fail to express our concern at the worsening security situation in regions that previously enjoyed relative calm.	1
Their tactics are classic terrorism: forcing political change through assassinations and intimidation. Al-Qaida is a takfiri movement that claims to be the only one that follows the authentic teachings of Islam and justifies the violence it exercises by stating that it is a consequence of the sacred obligation of defense against all those who disagree, who are therefore infidels and can be attacked.	0
Even worse, the activities of these terrorist groups constitute a serious threat to the peacebuilding efforts and peacekeeping missions of the international community, such as those in Somalia and Mali.	1
The current embargo could have a greater impact on the Taliban if this were taken into account and all non-state actors in Afghanistan were prevented from purchasing weapons, with the necessary exemptions for humanitarian and other reasons authorized by the Government of Afghanistan or the Council of security.	0
As Prosecutor, I will deal with any judicial challenges of President Al-Bashir and other suspects in court.	1
In the week of June 19 to 26, in the Bay region, about ten people were killed and another nine were injured in fighting between subclans of the Digil-Mirifle clan in the area, including the Leysan, Luway and Yantar.	0
"Weapons of Mass Destruction and Nonproliferation as a Best Business Practice" followed by an exercise	0
Furthermore, neither the characteristics nor the flight maneuvers of the planes before the attacks can in any way be interpreted as warning signs, as they were clearly part of the attacks.	0
