es_en_GOOGLE	MatConf
In total, through interviews with 116 eyewitnesses and 12 indirect witnesses, the research team gathered information on attacks on 51 towns or villages and 11 cases of rape.	1
Recalls the prohibition of the forced displacement of civilians in situations of armed conflict, which violates the obligations of the parties under international humanitarian law.	1
He called on Somalia&#39;s leaders to redouble their efforts to implement the road map and meet the planned transition deadline of August 2012.	0
Emphasizing that in international law there are prohibitions against attacks deliberately and intentionally directed against personnel participating in a humanitarian assistance or peacekeeping mission carried out in accordance with the Charter of the United Nations, which, in conflict situations armed, constitute war crimes, and remembering the need for States to put an end to impunity for these criminal acts.	1
38. Instructs the Committee to identify possible cases of non-compliance with the measures set out in paragraph 1 above and to establish appropriate action in each case, and requests the Chairman to include information on the progress of the Committee&#39;s work on this matter in the reports submitted periodically to the Council in accordance with paragraph 46 below;	0
Subsequently, soldiers raided homes and detained young people and took them away in military buses.	1
The more numerous the casualties or the more spectacular the attacks, the greater the coverage given to them by the media.	1
The report reflects developments since my last report on MINURCAT, dated 30 July 2010 (S/2010/409), related to the security and humanitarian situation in eastern Chad and the northeast region of Chad. Central African Republic; the progress made in fulfilling the tasks and parameters set out in paragraphs 2 and 3 of Security Council resolution 1923 (2010); and the fulfillment of the mandate of MINURCAT, including preparations for its withdrawal.	0
Military and police operations, as well as targeted measures against gang leaders, have increased in districts affected by gang violence.	1
Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and may be granted for the following: supplies intended solely for the support or use of the Peacebuilding Mission in the Central African Republic, the Mission African-led Central African Republic Support International, the United Nations Integrated Peacebuilding Office in the Central African Republic and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 a)); supplies of non-lethal military equipment for exclusively humanitarian or protective purposes, and related technical assistance or training (para. 54 (b)); protective clothing, including flak vests and military helmets, temporarily exported to the Central African Republic by United Nations personnel, media representatives and humanitarian and development workers and associated personnel, exclusively for their personal use (para. . 54 c)); supplies of small arms and other related equipment intended exclusively for use in international patrols providing security services in the Sangha River Trinational Protected Area to prevent poaching, ivory and weapons smuggling and other illegal activities national status of the Central African Republic or its international legal obligations (para. 54 d)); supplies of weapons and other related deadly equipment to the security forces of the Central African Republic for the sole purpose of supporting or using the country&#39;s security sector reform process, subject to approval by the Committee (para. 54 e) ); or other sales or supplies of arms and related materiel, or the provision of assistance or personnel (para. 54 f)).	0
To this end, one of the instruments at the disposal of Member States is the United Nations Register of Conventional Arms. This Registry includes data provided by States on international arms transfers and also information on military stocks, national production acquisitions and relevant policies.	0
Serious clashes between armed factions also took place in the Ain el-Hilweh Palestinian refugee camp, and a United Nations Relief and Works Agency for Palestine Refugees in the Near East school was attacked and damaged.	1
Sanctions list of the Security Council Committee established pursuant to resolution 1718 (2006)	1
Taking into account the limits of the functions entrusted to it, the Commission has not been able to determine with certainty the number of civilian victims in Darfur.	1
The note proposes that the Security Council launch a formal &quot;strategic review&quot; process to study how the intersection of cross-border crime and terrorism may affect its conflict prevention and resolution work, particularly in Africa, and examine the instruments at their disposal to reduce the strategic space that cross-border crime provides to terrorist groups.	0
During the reporting period, UNIFIL once again found its freedom of movement in its area of operations impeded, in some cases jeopardizing the safety of United Nations peacekeepers. .	1
Mr. Malik wanted to send UNPOL officers with Colonel Reis to meet with Brigadier General Ruak, to which Colonel Reis refused, believing that the presence of more blue-shirted police officers would aggravate the situation. .	0
The Government was thus in the final stage of approving military guidelines to prevent military use of schools; and in the process of developing a comprehensive strategy on children and armed conflict for its armed forces.	1
This was largely possible thanks to the leadership of Prime Minister Gusṃo as well as the cooperation of all political parties represented in parliament, including the opposition, which demonstrated its willingness to move forward on an issue of national priority.	0
38. Reaffirms that the Monitoring Team will transmit to the Committee every six months a list of individuals on the Al-Qaida Sanctions List known to have died, together with an assessment of relevant information, such as death certificate and, to the extent possible, the status and location of the frozen assets and the names of the persons or entities who could receive the unfrozen assets, directs the Committee to review those entries to decide whether they remain appropriate, and Urges the Committee to delete entries for deceased persons where reliable information on the death is available;	0
Colonel Reis and his deputy protested to Brigadier General Ruak, who apologized for the shooting.	1
b) Address shortcomings in the criminalization of terrorist financing and the freezing of terrorist assets and strengthen surveillance of the non-profit sector and alternative remittance systems;	0
The progress of the last ten years has managed to weaken some terrorist networks that have attacked the international community since September 2001.	1
Law No. 535/2004 on preventing and combating terrorism was promulgated by the President of Romania by Decree No. 994/2004 of November 24, 2004, and entered into force three days later.	0
At some point between 1:15 p.m. and 1:30 p.m., Lieutenant Colonel Ahmed Al-Assir informed him of the explosion and that the target had been Mr. Hariri&#39;s motorcade.	0
F-FDTL soldier Francisco Amaral appeared at the intersection of the Ministry of Justice. His uniform was partially soaked in blood.	1
Several recent peace operations, notably MINUSMA, have incorporated an analysis of cross-border crime into their joint analysis and mission planning structures.	1
They are widely used in conflicts between states and are the weapons of choice in civil wars and in terrorism, organized crime and gang warfare.	1
Others have been identified for their possible participation in planning or ordering the commission of international crimes or for their complicity in the commission of these crimes.	1
In other cases the deaths have occurred in violent circumstances and the authorities have been unable or unwilling to issue an official document certifying the death.	1
The Security Council, by its resolution 1575 (2004) of 22 November 2004, requested Member States, through or in cooperation with the European Union, to report to it on the activity of the military mission of the European Union in Bosnia and Herzegovina (EUFOR), through appropriate channels and at least every three months.	0
The Security Council reiterates its support for the establishment of a Core Group to maintain the mobilization of the international community, increase consultations among key stakeholders to increase the coordination and effectiveness of assistance provided to Haiti, and contribute to the definition of a long-term development strategy aimed at promoting lasting peace and stability in the country.	0
The trucks had 12.7 mm DShK machine guns mounted on tripods installed in the rear and one of them was equipped with a Hound rocket launcher with which they fired on the village.	1
MPCI fighters have established themselves in several public places.	1
:: On November 18, 2014, regime helicopters dropped a barrel bomb on the road between Kafr Hamra and Hreitan, killing 16 people, including 5 children, 3 women and 1 paramedic.	1
On November 9, 2005, suicide bombers attacked three hotels in Amman, leaving 60 dead and at least 115 injured.	1
:: Another very important aspect of monitoring is reparation to victims of violations.	1
However, in many areas of the country there is neither detention capacity nor functioning courts, forcing law enforcement authorities to release suspected dangerous criminals, or to ask law enforcement MONUC to intern suspects for security reasons and to protect civilians.	1
The visit to Bouak̩ took place a day after the clash between the rebels and the French ceasefire monitoring force in Du̩kou̩.	1
Some members of the Council mentioned with concern the fact that investigations into crimes committed by the rebels had not yet progressed.	0
First, during the early part of the Monitoring Group&#39;s mandate period, surveillance activities by foreign naval forces deployed in the Gulf of Aden affected the availability of arms in the Bakaraaha market.	1
Some members called for the Council to contribute more meaningfully to efforts to bring the parties back to the negotiating table on the two-State solution, saying that Israeli settlements undermined prospects for peace.	0
Demands that armed rebel groups immediately end the violence and calls on all parties to re-establish dialogue within the framework of the Sirte Agreement of 25 October 2007.	1
There have been no notable changes in the operational status and capabilities of Hezbollah, which according to its own leaders has more than 12,000 missiles.	1
Some States have developed national counter-terrorism strategies, but the level of implementation needs to improve and greater attention should be paid to preventive aspects, including in particular addressing incitement to terrorism and the threat of any radicalization leading to extremism. violent.	0
We believe that Somalia faces a challenge comparable to that of a marathon runner, since the drafting of the constitution must be completed by April 20, which must then be adopted by May 22.	0
The Security Council reaffirms the principle of non-refoulement of refugees, as set out in the relevant instruments of international law, notes with satisfaction that countries neighboring the [affected State] have recently taken measures to support the voluntary repatriation of [such] refugees in conditions of security and dignity and urges these host States to continue providing international protection to refugees in need. The Council encourages the international community to provide the necessary assistance in this regard.	0
b) Prevent the entry into its territory or the transit through it of those persons, it being understood that nothing in this paragraph shall oblige a State to deny entry into its territory or require the departure of its own nationals and that this paragraph will not apply when the entry or transit is necessary for a judicial proceeding or when the Committee determines, in each particular case, that the entry or transit is justified, including cases in which this is directly related to the support of Afghanistan&#39;s efforts to promote reconciliation;	1
In addition to the spectacular increase in the entry of weapons into Somalia, both contenders are also carrying out great activity distributing weapons and ammunition to their militias, equipping their men with combat elements, obtaining and storing food, medicine, fuel and other essential items. to participate in continuous combat, organizing into military-type structures, intensifying the recruitment and training of militias, and devising strategies and plans to militarily defeat the adversary.	1
Government interlocutors reaffirmed that the neutralization of armed groups continued to have a high degree of priority and reiterated that operations against the ADF were the highest priority. Recognizing the support provided by MONUSCO in organized operations against armed groups, the Government stressed the need for more joint combat operations to be organized.	1
In a new show of hostility, Hamas celebrated its 27th anniversary in Gaza with a parade of 2,000 armed fighters and truck-mounted rockets.	1
Several national and international journalists were detained (and released almost immediately thanks to pressure from abroad) and threatened in the exercise of their profession by the Ivorian security forces.	1
The Special Court for Sierra Leone, the first war crimes court since Nuremberg based in the country where the atrocities were committed, was determined to make public outreach and the spread of justice a priority.	0
We wish to draw the attention of the international community to the alarming fact that by withdrawing from the aforementioned decision, the Russian Federation no longer considers itself subject to the obligation to prevent the sale and supply to the Abkhazian side of all types of weapons, defense equipment and spare parts, ammunition, armored vehicles and other equipment (para. 3), as well as to prevent the hiring of its own citizens or their recruitment into any armed group in the conflict zone (para. 5 a)).	1
They had done everything possible to ensure that the conflict did not affect civilians. Its objective was to restore the dignity of the people of C̫te d&#39;Ivoire.	0
Various States in the African region highlighted their determination to ensure that measures are taken to protect the population from terrorist acts within the framework of the law and in accordance with their obligations under international law.	0
