es_en_GOOGLE	VerConf
To continue in this fight, it is necessary for the international community to make a greater contribution and pay more attention to this important aspect of the fight against terrorism.	1
Requires all armed groups, in particular members of [specific armed group], to prevent the recruitment and use of children, and requires all parties to protect and consider as victims children who have been released or separated from any other mode of armed forces and armed groups, and highlights the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;	1
The bill, which will be presented to Parliament, establishes that a minimum of 30% of parliamentary seats must be reserved for women; that one district in each constituency at the local council level should be awarded to female candidates and that political parties should allocate &quot;safe&quot; seats for female candidates.	0
1. Expresses its strong condemnation of all forms of violence, including, but not limited to, murder, rape and sexual assault, intimidation, armed robbery, kidnapping, hostage-taking, kidnapping, harassment and unlawful detention and apprehension, to which those participating in humanitarian operations are increasingly exposed, as well as attacks against humanitarian convoys and acts of destruction and looting of their property;	1
The Commission first notes that it has identified 10 senior central government officials, 17 local government officials in Darfur, 14 members of the Janjaweed militias, and 7 members of various rebel groups and 3 officers of a foreign army (who participated as individuals in the conflict) who are suspected of having individual criminal responsibility for crimes committed in Darfur.	1
The detention and physical assault of United Nations personnel is totally unacceptable.	1
:: On November 7, 2014, regime forces shelled the surroundings of the Tayba al-Qadim mosque in Damascus Rural, wounding 14 civilians as they left Friday prayers.	0
The Undersecretary also provided an update on vehicles, items and equipment taken by armed opposition groups in recent incidents with the Force.	0
My Special Representative participated in both forums. On 16 August, the Secretary of State for Youth and Sports inaugurated the Youth Parliament (see S/2010/85, para. 105), a forum made up of 130 young people (including 66 girls) between 12 and 17 years of age who will receive two years of training in leadership and representation skills and who will have the opportunity to participate in a dialogue on policy issues affecting young people.	0
We urge all parties to exercise restraint and avoid actions or statements that could incite further violence.	1
The Security Council welcomes the measures taken to implement an enhanced, comprehensive and more regional approach to the humanitarian situation, including the provision of assistance to victims of sexual violence and other attacks, and urges further advancing in that area.	0
One victim also identified him as a leader of the Janjaweed who had carried out attacks that killed civilians.	0
The Security Council strongly condemns this attempt to destabilize Lebanese institutions, in particular the Lebanese armed forces.	1
The resolution marks the second major change in the processing of humanitarian supply contracts under the program since the adoption of resolution 1284 (1999), which raised the maximum amount of oil that Iraq could sell under the program. and expedited procedures were established for certain humanitarian items.	0
Recognizing the need to intensify the coordination of efforts at the national, regional, subregional and international levels, as appropriate, in order to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of destruction massive and its vector systems,	0
In the following decade, the counter-terrorism bodies tasked by the Council with the implementation of resolution 1373 (2001) routinely considered possible links between terrorism and organized crime to be an issue within their scope of competence.	0
This is a delicate issue, as there has been a lack of trust between some police officers in different places.	1
On the basis of the Commission&#39;s conclusions and the investigations carried out to date by the Lebanese authorities, as well as the material and documentary evidence obtained, and taking into account the leads followed so far, there is evidence pointing to joint participation of Lebanese and Syrians in this terrorist act.	1
They expressed concern about the security situation and stressed that unless it is addressed quickly and effectively, normalization could stall and efforts by the authorities to stabilize the State would be undermined.	1
The Committee seeks to ensure that the List is dynamic and adjusts to the evolving danger posed by Al-Qaida.	1
Council members expressed deep concern at reports that hostilities had resumed and at the humanitarian consequences of this.	1
The purpose of the meeting was to initiate a dialogue with the private sector, to better understand the difficulties that the financial community was experiencing in implementing the sanctions regime, to find ways to simplify compliance and make it more economical and effective, and to develop ideas for its improvement.	0
As indicated in the report of the Secretary-General (S/2004/634), this is a truly daunting challenge.	1
66. The vast majority of abductions and enforced disappearances are related to the Korean War and the organized displacement of ethnic Koreans from Japan that began in 1959.	0
76. All parties to the conflict (the Government of the Sudan, SLMA and JEM) have recognized that it is an internal armed conflict.	0
He also said that the displaced persons camps were used to launch attacks against the Government.	0
Significant progress was made regarding the overall legislative and regulatory framework of the security sector, particularly with the President&#39;s promulgation of the national security, national defense and internal security laws on April 21.	0
However, I remain concerned that restrictions on the freedom of movement of United Nations military observers seeking to visit the parties&#39; units, barracks and strongholds for verification purposes continue.	1
Although the F-FDTL have declared that in 2006 they had 1,200 M16 rifles, the files reveal that 45 of these rifles have disappeared, to which must be added three FN-FNC semi-automatic rifles, three SKS semi-automatic rifles and two Uzi submachine guns, which were previously under the custody and control of the F-FDTL.	1
In this regard, I received a letter dated December 6, 2007 from the Permanent Representative of Morocco to the United Nations (S/2007/714) and another dated December 12, 2007 from the Minister of Foreign Affairs and Cooperation of Morocco (S /2007/731, annex) in which they denounced violations of the terms of the military agreements negotiated in 1991.	1
The Government also shares a number of concerns expressed in the report which refer, among other things, to human rights and the situation of children and women.	1
These challenges, together, exert political pressure on governments and have direct and dangerous impacts on peace, security and stability in the affected countries.	1
All States in the subregion have enacted immigration and passport laws to regulate issues relating to the security of immigration and travel documents and have established procedures to determine the true identity of individuals before issuing identity documents.	0
However, the Commission notes that there were deficiencies in the preparation and methodology applied by UNOTIL in this intervention.	1
The Security Council particularly welcomes the decision of the Secretary-General to prioritize, for the remainder of his mandate, the work of the Organization to consolidate the rule of law and transitional judicial institutions in societies suffering from conflict or leave it.	0
They also went to police stations and the district prosecutor&#39;s office to obtain information about the rape cases already reported.	0
Furthermore, and this is important, the Commission has gathered a considerable amount of material on various influential individuals, institutions, groups of people or committees that have played an important role in the Darfur conflict and have even planned, ordered, authorized or instigated attacks.	0
To that end, the Department determined several crucial objectives for that process. One was the mandatory establishment of three committees on politics and finance, community affairs and mediation.	0
The third and final group was based on the premise that, although individual criminal responsibility brought those accused of rape to justice and could have a deterrent effect, in the vast majority of cases it did not offer reparation to the victims of rape. .	0
12. Given the deep mistrust among the Lebanese people towards their judicial and security authorities, the Commission has become a source of great expectations and hopes for change, as well as an intermediary between the Lebanese people and their authorities. .	0
Al-Qaida terrorism currently encompasses three distinct but interrelated groups: first, the former leaders, who are well known; secondly, the fighters who trained in the camps of Afghanistan to become expert terrorists; and third, a new and growing generation of supporters who may not have left their countries of residence but have accepted the core elements of Al-Qaida&#39;s message.	0
The lack of participation in these institutions prevents progress on specific issues of public administration, and does not contribute to improving the international image of Kosovo.	1
Furthermore, the Commission considers that the fact that the rapes and other acts of sexual violence were committed mainly against three &quot;African&quot; tribes demonstrates the discriminatory intent of the perpetrators.	0
