es_en_GOOGLE	VerCoop
She was raped successively by four soldiers.	0
38. Reaffirms that the Monitoring Team will transmit to the Committee every six months a list of individuals on the Al-Qaida Sanctions List known to have died, together with an assessment of relevant information, such as death certificate and, to the extent possible, the status and location of the frozen assets and the names of the persons or entities who could receive the unfrozen assets, directs the Committee to review those entries to decide whether they remain appropriate, and Urges the Committee to delete entries for deceased persons where reliable information on the death is available;	1
On September 20, 778 officers completed their training at the police academy. Of these agents, 35 were women and 148 were former soldiers.	0
Urges all stakeholders, including Member States, United Nations entities and financial institutions, to support the development and strengthening of the capacity of national institutions, in particular the judicial and health systems, and local civil society networks to provide sustainable assistance to victims of sexual violence in armed conflict and post-conflict situations.	1
Complex criminal investigations are being carried out regarding piracy and criminal networks involved in piracy activities, focusing in particular on the leaders, financiers and organizers of such activities.	0
v) Collaborate with competent international and regional organizations in order to promote knowledge and compliance with the measures;	1
23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to submit a report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days, and to provide orally updated preliminary information to the Committee within 60 days on the threat posed by foreign terrorist fighters joining ISIL, Nusra Front and all groups, companies and entities associated with or recruited by Al-Qaida, and in particular:	0
Providing support to women&#39;s organizations in communities where peacekeepers are deployed to increase awareness of HIV/AIDS and strengthen community prevention strategies.	1
However, one of the characteristics common to virtually all areas is the pressing need to ensure sufficient resources for state institutions and national security forces, specifically a sufficient number of properly trained and equipped personnel, as well as logistical support and infrastructure. adequate to provide state services.	1
Council members further emphasized that national reconciliation, the preservation of a climate of security and stability, the administration of justice and the reconstruction of the country ultimately depended on the people and Government of Haiti.	1
Council members reaffirmed their condemnation of the criminal attack against defenseless refugees and expressed their hope to receive a final report on the investigation as soon as possible.	0
MINURSO continued to maintain good relations with the Royal Moroccan Army and the armed forces of the Polisario Front.	1
Thus, the conflict does not merely consist of a situation of internal tensions and internal disturbances, riots or sporadic and isolated acts of violence, but the requirements of a) existence of organized armed groups fighting against the central authorities, b ) control by the rebels of part of the territory and c) prolonged armed confrontation, provided for in common article 3 of the Geneva Conventions, which confers on this situation the character of an internal armed conflict.	0
Notably, other senior Lebanese representatives, such as former Prime Minister Najib Miqati, have stated that &quot;there should be no weapons inside or outside the camps.&quot;	0
In the longer term, and as soon as conditions are considered favorable, these foundations and companies should join forces with the governments concerned to coordinate efforts to adopt a coherent plan for the development of the country, create livelihoods for the population and improve the human rights situation.	1
