es_en_TRANSOFMERS	MatConf
The Convention on the Rights of the Child further requires States parties to undertake to protect children from all forms of sexual exploitation and abuse.	0
Measures relating to border control, internal security and law enforcement are fully implemented in most States, although some States have not provided sufficient information to assess the situation on some specific points. (a) Encourage measures to improve the ability to freeze funds and assets linked to terrorism without delay in most States, and protect the non-profit sector from misuse for the financing of terrorism;	0
Collaboration in the development and implementation of a gender-sensitive HIV/AIDS policy, such as training, codes of conduct, HIV testing, civil and military cooperation, resource information and best practice materials; integration of an HIV/AIDS policy within DPKO; and strengthening the capacity of peacekeeping operations, including future peacekeepers, to address HIV/AIDS.	0
When the work of all panels of Commissioners of the United Nations Compensation Commission came to an end in June 2005, 1.55 million claims (out of a total of $2.69 million) had been identified as compensation.	0
The information presented in previous reports considered by the Commission is based mainly on witness statements obtained through interviews with internally displaced persons and refugees.	0
As a result, 1,045 soldiers were killed and 1,452 soldiers and 692 civilians were injured.	1
The Minister of the Interior told Commander da Cruz to hand over to Rai Los in LiquiÃ§a 10 of the rifles, 6,000 cartridges and 10 loaders.	0
âThe Security Council reiterates its deep concern at the threat of terrorism and the risk that non-State actors may acquire, develop, traffic in or use weapons of mass destruction and their means of delivery.	0
The dividing lines between underdevelopment, instability, fragility, crisis, conflict and war are increasingly blurred; therefore conflict prevention, conflict resolution and peacebuilding require multidimensional responses.	0
With regard to the disarmament, demobilization and reintegration of ex-combatants, the parties agreed that the Chiefs of Staff of the National Armed Forces of CÃ´te d'Ivoire (FANCI) and the Forces nouvelles would meet on 7 July to finalize the schedule of the disarmament, demobilization and reintegration process, which was expected to begin at the end of July.	0
Within the army, reports and other communications circulate in both directions of the chain of command, as is the case in most conventional armed forces.	0
Human rights violations continued to be reported, many of them associated with untrained elements integrated into FARDC from the CongrÃ¨s national pour la dÃ©fense du peuple (CNDP) and armed groups.	1
The following sections describe the Commission's findings regarding the series of attacks on civilians in the three Darfur States.	1
On 18 July 2011, the Council held a private meeting with troop- and police-contributing countries to the African Union-United Nations Hybrid Operation in Darfur (UNAMID).	0
The conduct of joint or parallel operations by MONUC and FARDC, including presence-building and cordon-and-search missions and day and night patrols, has resulted in an improvement in the security situation in South Kivu; two FARDC battalions, some 1,000 in total, participated in one of these operations in the Kahuzi Beiga Park area, where FDLR is concentrated, from 6 to 9 September.	0
While outside the mandate of UNMISET, the recent decision of an Indonesian Court of Appeal to overturn four convictions handed down by the Indonesian Special Human Rights Court directly affects the broader issue of responsibilities.	0
In this regard, the Executive Directorate will continue to link identified priority needs with existing and potential donor and assistance programmes in order to enhance the capacity of Member States to combat terrorism and strengthen dialogue between the donor community and recipient States.	0
As at 8 September, the total strength of UNOCI stood at 6,430 out of an authorized strength of 7,090, including 200 military observers.	0
No exact figures were available, but the information before the Commission indicated that nine persons might have been killed and that three others had been shot as a result of that violence.	1
To request that parties to an armed conflict strictly comply with the rules of international humanitarian law and human rights law prohibiting rape, sexual slavery, forced prostitution, forced pregnancy, forced sterilization or any other form of sexual violence.	0
The United Nations Interregional Crime and Justice Research Institute, at the request of Working Group 2 of the Contact Group on Piracy off the Coast of Somalia and with the support of the Government of Italy, organized two meetings of the informal expert working group in 2013 to draft a set of guidelines, standards and best practices on the use of private armed protection personnel on board merchant ships, for use by private sector companies and interested Governments.	0
Underlining the obligation imposed on all Member States to implement fully resolution 1373 (2001), especially with regard to the Taliban or Al-Qaida and individuals, groups, undertakings and entities associated with Al-Qaida, Osama bin Laden or the Taliban who have been involved in the financing, planning, facilitating, preparing or perpetrating of terrorist acts, recruited or otherwise supported for them, and to facilitate the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,	0
The Mission has reassessed its operational commitments in the light of the limited reinforcements authorized by the resolution.	1
Australia, Denmark, France, the Netherlands, New Zealand, Norway, the United Kingdom and the United States have dependent or overseas regions and territories, each with different levels of autonomy and different capacities to establish its own counter-terrorism regulatory framework.	0
In addition, Eritrea's restraint dramatically affects the security of United Nations peacekeeping forces and their operations, to the extent that it has become unsustainable to continue to occupy small posts in isolated locations -- which make up 18 locations out of a total of 40 -- and is no longer operationally viable.	1
The Committee and Interpol have only begun the process of producing and publishing notices on each of the individuals on the Consolidated List.	0
Decides hereby, having received the request made by [affected State], to establish an international tribunal for the sole purpose of prosecuting those responsible for genocide and other serious violations of international humanitarian law committed in the territory of [affected State] and citizens of [affected State] responsible for genocide and other such violations committed in the territory of neighbouring States between [dates].	1
As members of the Security Council are aware, the situation regarding the United Nations Mission in Ethiopia and Eritrea (UNMEE) has seriously deteriorated.	1
The addition of those names demonstrates the Committee's continued concern about the threat the Taliban pose to international peace and security.	0
Security Council resolution 1373 (2001), adopted following the heinous attacks of 11 September 2001 in the United States of America, was a milestone in United Nations-level initiatives.	0
:: 19 September 2005: one person dies and two are injured in a small explosion at the Kuwait information office in Beirut.	1
It was to be hoped that the Assembly's discussions on the issue would provide an important additional impetus to the establishment of an effective global system to avert new dangers and threats for the benefit of all members of the international community.	0
In addition, between 27 September 2003 and May 2004, seven villages near Nyala were repeatedly attacked by the Janjaweed.	1
The Group noted with satisfaction that some countries have suspended or blocked the export of military goods and services to CÃ´te d'Ivoire.	1
The Security Council must recognize that the fight against violent extremism is an essential element of the international community's response to this threat.	0
There have also been reports of the presence of Al-Qaida cells in Zambia, and both South Africa and Zambia have extradited suspected terrorists in the past.	0
The Council reiterates its strongest condemnation of such practices, urges all parties to armed conflict to ensure the full and effective protection of women, and stresses the need to end impunity for those responsible for gender-based violence.	0
The conversation lasted from 5 to 10 minutes, during which the shooting continued.	1
First, there were over 1 million internally displaced persons (1,650,000 according to the United Nations) and more than 200,000 refugees from Darfur in the neighbouring country of Chad, east of the Sudan.	1
According to some estimates, more than 700 villages in the three Darfur states have been totally or partially destroyed, and the Commission was also informed that the police had assessed the destruction and recorded the number of villages destroyed by more than 2,000.	1
Reports of rape of minors, including very young girls, remained a matter of great concern, and MONUC had regularly participated in the regional commissions on sexual violence in order to strengthen support for child victims of rape.	1
In 2006, there were 136 incidents of collective abductions, of which a total of 324 children were victims, 210 in November 2006 and the rest between May and December 2006.	1
Recalling resolution 1373 (2001) of 28 September 2001, by which it established the Counter-Terrorism Committee, and recalling also its other resolutions concerning threats to international peace and security caused by terrorist acts,	0
The witnesses were unable to establish clearly who had fired on the demonstrators: the parallel forces, the police or the gendarmerie.	1
(a) To call upon parties to armed conflict to comply with their obligations under international humanitarian law to take all necessary measures to protect civilians and facilitate the rapid and unhindered transit of relief items, equipment and personnel;	0
These include those identified as critical to the indoctrination and recruitment of suicide bombers.	1
Based on the findings of the investigations conducted to date by the Commission and the Lebanese authorities, the evidence and documentary materials collected, and the clues investigated so far, there is a convergence of evidence that elements from both Lebanon and Syria were involved in this terrorist act.	1
This amendment, which is in line with article 5 of the Council of Europe Convention on the Prevention of Terrorism, would entail a penalty of 30 years'imprisonment for perpetrators.	1
Incidents with DEI often result in a large number of civilian casualties, extensive destruction of infrastructure and economic disruption of entire communities.	1
Bosnia and Herzegovina expresses concern at the current political impasse in the establishment of a new government and the definition of a clear constitutional reform process.	0
7. Notes with concern the reports of the UNOCI Media Observatory and the media referred to therein for inciting violence and the resumption of internal conflict, and stresses its continuing readiness to impose sanctions against those obstructing the electoral process, specifically the activities of the Independent Electoral Commission and all other participants, and the proclamation and certification of the results of the presidential and parliamentary elections;	0
4. Calls upon armed opposition groups and relevant elements in Syria to respect the relevant provisions of the Preliminary Understanding;	0
On 7 May 2005, General Michel Aoun returned to the country after 14 years of exile and created the Free Patriotic Movement to participate in the legislative elections that began on 29 May and concluded, after four rounds, on 19 June 2005.	1
1. Syria once again highlights the initiative it proposed more than 20 years ago for the holding, under the auspices of the United Nations, of an international conference to define terrorism and to make a difference between terrorism and the struggle of peoples against foreign occupation.	0
Many States should also continue to address issues such as radicalization, violent extremism and cross-border movements of terrorists.	1
Demands that all parties put an end to violence, attacks on civilians, peacekeepers and humanitarian personnel and other violations of human rights and international humanitarian law...	0
Governments play the leading role in ensuring the security of military arsenals or in preventing leakage from official procurement channels.	0
(a) Victims of crimes who have suffered significant bodily injury or impairment of their physical or mental health as a result of serious crimes;	1
In paragraph 67 of his opinion, the Advocate General sets out five reasons why thorough monitoring is not applicable in this context: (a) the preventive nature of sanctions against Al-Qaida; (b) the international context of the contested act; (c) the need to strike a balance between the requirements of the fight against terrorism and those of the protection of fundamental rights; (d) the political nature of the 1267 Committee assessments; and (e) improvements in delisting procedures by the 1267 Committee in recent years, particularly since the 2008 decision of the Court of Justice of the European Union in the Kadi case.	0
Educational establishments that refused to register or had links to prohibited terrorist organizations were closed.	0
But while the manufacturing method is relatively simple, the product is unstable and unreliable, unlike military explosives.	1
The Council will exercise particular vigilance over those who might seek to obstruct the transition process, in particular those who might contravene the arms embargo in the Democratic Republic of the Congo or refuse to participate in the disarmament, demobilization and reintegration processes; disarmament, demobilization, reintegration, repatriation or resettlement; and integration of the armed forces of the Democratic Republic of the Congo.	0
The Deputy Special Representative of the Secretary-General indicated that since the outbreak of the conflict in December 2013, information had been received through the monitoring and reporting mechanism, indicating that both parties to the conflict were responsible for violations and abuses against children, including killing and maiming, recruitment and use, and sexual violence.	1
In May 2004, all aspects of police training were grouped into a separate programme and agreement has been reached on the establishment of a training system throughout Bosnia and Herzegovina.	0
It is believed that ransoms paid for the release of retained ships, cargoes and crews could be used to finance terrorist groups or activities.	0
âThe Security Council renews its call upon all States to become parties to all relevant international conventions and protocols related to terrorism as soon as possible and to implement those instruments to which they are already a party.	0
One of the detainees was the driver and bodyguard of Majed Hamdan, the brother of Mustapha Hamdan, who runs a company that allegedly deals with security at the St.	1
:: Regional and subregional organizations should be part of an integrated anti-terrorism approach.	0
While no case of actual use of such a device has been reported since the issuance of the Team's previous report, concern remains that listed groups and individuals remain interested in committing such an attack, as well as reports that illicit sources of radiological materials still exist, particularly in the Al-Qaida and Taliban areas of activity.	0
The fact-finding mission considered that, since the credibility of the Lebanese authorities leading the investigation had been questioned, an independent international investigation was required to uncover the truth.	0
(h) To submit, through the Committee, a midterm report within 90 days of its establishment;	0
The posts had been completely destroyed and the cattle had been stolen.	1
Council members called for a peaceful resolution of the conflict in the region and condemned support for armed groups and terrorist groups.	0
Emphasizing that the United Nations has a central role to play in the global fight against terrorism, and welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (resolution 60/288 of 8 September 2006), the institutionalization of the Counter-Terrorism Implementation Task Force, in accordance with General Assembly resolution 64/235 of 24 December 2009, which will further strengthen the efforts of the Counter-Terrorism Implementation Task Force to ensure overall coordination and coherence of the activities of the United Nations system, including in the field, and the call for greater participation of Member States in the work of the Task Force (resolution 64/297),	0
On a smaller scale, FN uses natural resources under its control to finance its military activities and gain personal profits. Cocoa smuggling to Ghana and Togo is transiting through the north, where FN units collect transit rights on the roads they control. In addition to cotton and diamonds, which are discussed below, the production of timber, gold, sugar cane and coffee contributes to the FN economy through the profits its military draws from these products,	1
Half an hour later, three other jeeps arrived from Chad, supported by a military helicopter, and there was a further clash with the Sudanese military unit, in which one soldier and several civilians were injured.	1
10. Calls upon all States, as another means of addressing this threat, to undertake, in accordance with their national legislation and legislation and in accordance with international law, cooperative activities to prevent illicit trafficking in nuclear, chemical or biological weapons, their means of delivery and related materials;	0
For this reason, the rebels had targeted Government facilities and deliberately avoided attacking Arab tribes.	1
The Government also cited its recognition of three cases of bombing by mistake, stating that it had compensated the victims of Habila, Umm Gozin and Tulo.	1
By way of example, the nuclear industry responded to increased scrutiny and new fears that terrorists would acquire weapons of mass destruction after the attacks of 11 September 2001 and sought to address non-proliferation concerns proactively.	1
