es_en_TRANSOFMERS	MatCoop
Mr. Å imonoviÄ considered it imperative that the whereabouts of the missing persons be clarified and that those responsible be held accountable for their actions.	1
During my visit to Lebanon in January, I pointed out to my Lebanese interlocutors, both in public and in private, the grave dangers posed to the stability of the country and internal peace by the continued presence of those militias.	1
States in the subregion have gone well beyond purely law enforcement approaches and have taken on the challenge posed by terrorist groups.	1
Cross-border trafficking in charcoal has sustained Al-Shabaab and enabled it to support its incursions into Kenya.	0
The Government of the Syrian Arab Republic stresses that it is its duty to protect citizens, disarm terrorists and hold those responsible accountable for their actions; the Government reiterates that it is making every effort to find a political solution to the crisis in the Syrian Arab Republic, in cooperation with the Special Envoy, Kofi Annan, by strengthening the democratizing measures that it launched in March last year in various sectors; including the lifting of the state of emergency; the enactment of laws on multipartyism; elections to local governments and freedom of the media; measures relating to the economic situation of citizens; the promulgation of the new constitution; and other measures to revitalize political participation and promote pluralism and democracy with a view to adopting a process of general reform.	1
The frequent attacks in Afghanistan by the Taliban and terrorists associated with Al-Qaida demonstrate the persistence of violations of the arms embargo despite the Government's disarmament programme.	0
The Commission also received reliable information about the murder of another policeman by a mob in the same area.	0
Taking note of the request of the Government of Afghanistan that the Security Council support national reconciliation, for example by removing from the United Nations sanctions lists the names of those who comply with the reconciliation measures and thus cease to participate in or support activities that threaten the peace, stability and security of Afghanistan,	1
2. Reaffirms the need for full respect for the military agreements reached with the United Nations Mission for the Referendum in Western Sahara (MINURSO) on the ceasefire, and calls upon the parties to accede fully to those agreements;	1
The trial of the killings of human rights activist Floribert Chebeya Bahizire and his driver, Mr. FidÃ¨le Bazana, on 2 June 2010, continues.	1
His intention and ability to plan attacks were evident in Algeria and Niger in 2013.	0
This mechanism will ensure that the listed party does not control the assets of the enterprise and cannot divert revenue in support of terrorism.	1
While the sanctions regime could force some Taliban to remain in remote areas, and the Team notes that this may be one of the reasons why some main Taliban want their names removed from the List, the preventive objective pursued by such measures is largely not met.	0
However, the Office of the Prosecutor believes that we should not wait until the end of judicial proceedings in the Court for the victims of the crimes prosecuted to receive assistance.	0
The Council underlines the need for the new Government, when formed, to work with the international community and use the transition period constructively for reconciliation, stability and reconstruction.	0
The violence in Rai Kotu on the afternoon of 28 April resulted in the death of a civilian, as described in paragraphs 50 and 51.	0
The Mission is reviewing with some Rwandan fighters'leaders and with the Transitional Government the technical modalities of repatriation, and has issued the decision of the Government of Rwanda not to prosecute any former combatants who were 14 years of age or younger during the 1994 genocide.	0
In addition, further research is needed to demonstrate that such programmes produce real and positive results with regard to the possibility of such persons committing new acts of terrorism or inciting others to commit them.	1
Mali and Niger are members of the Joint Subregional Intelligence Centre, which has just been established in Tamanrasset, Algeria.	1
The Monitoring Team is mandated to study and report on the evolution of the threat, including through dialogue with relevant specialists and academic bodies.	0
It is recommended that the Committee strengthen and, as appropriate, institutionalize its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and, where appropriate, nuclear-weapon-free zones, which could provide added value in the implementation of resolution 1540 (2004), by expanding formal and informal working relations with those bodies.	1
I call on all parties concerned to ensure that the 2 January 2015 deadline for completing the voluntary disarmament of FDLR remains mandatory and non-negotiable.	0
Implementation subject to availability of funds Provision of practical operational tools to staff to systematically integrate gender issues into security sector reform work; implementation of recommendations emanating from the African Forum on Gender and Governance 2005 to achieve the African Union target of 30 per cent women in national assemblies.	1
The Executive Directorate of the United Nations Counter-Terrorism Committee, for example, has worked intensively with States to strengthen their border management capacity to control terrorist movements and their criminal justice capacity to combat money-laundering.	1
I also welcome the initiatives being taken by the Lake Chad Basin Commission to find durable solutions and to combat terrorism, violent insurgency and extremism through a common strategy.	0
